"reference","label","name","id","instanceType","synonyms","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept_20","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","49a4ec72-fc27-4d13-a698-2388c00b353e"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","Sex","BiomedicalConcept_21","BiomedicalConcept","","0d7d133d-4d8e-4096-98e8-2ba55a21314d"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","Race","BiomedicalConcept_22","BiomedicalConcept","['Racial Group']","dfcc9b0c-c4b5-4ab5-b1b9-2ca60d6111fc"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","Temperature","BiomedicalConcept_23","BiomedicalConcept","['Temperature', 'Body Temperature']","99aa67b8-0858-482c-a667-5c41f2ad508c"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","Weight","BiomedicalConcept_24","BiomedicalConcept","['Weight', 'Body Weight']","c8df7b8d-7771-416a-9801-b475f3df0215"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","Height","BiomedicalConcept_25","BiomedicalConcept","['Height', 'Body Height']","39a670ca-05cf-44de-bc32-c6101611e2e7"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","53ddf1cb-d9c0-4fb2-b030-816fad61c5be"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_27","BiomedicalConcept","['Albumin', 'Albumin Measurement']","09851401-577b-4b89-a9ae-3dd6e6a26a3b"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","2ccf8ae8-fec8-4f09-9f86-993d398a05e1"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","7790e628-2b95-49b1-a99b-ddc0c6f6cbfc"
