"label","name","id","instanceType","description","uuid:ID"
"Informed consent","Informed consent","Activity_1","Activity","","0c33f3cd-0da5-4730-97a3-720fdd1b097c"
"Inclusion and exclusion criteria","Inclusion/exclusion criteria","Activity_2","Activity","","22326c11-8ac7-4532-8086-7612d3f1fe04"
"Patient number assigned","Patient number assigned","Activity_3","Activity","","73e4c741-5ffb-41a3-a45a-804b64604e56"
"Demographics","Demographics","Activity_4","Activity","","ba87f1aa-b783-4854-996e-9d12106af748"
"Hachinski Ischemic Scale","Hachinski","Activity_5","Activity","","57f8f214-050c-4da0-8acb-6c56a428fa60"
"MMSE","MMSE","Activity_6","Activity","","389075dc-5c17-43a3-b4c6-64c81f7ef269"
"Physical examination","Physical examination","Activity_7","Activity","","fcdccccb-ee3f-49da-9fba-e93710073eaa"
"Medical history","Medical history","Activity_8","Activity","","81802cbb-d082-45a8-9dfc-270c5aa9e582"
"Habits","Habits","Activity_9","Activity","","5fccb7e0-deba-4de6-8291-5bf7d5235771"
"Chest X-ray","Chest X-ray","Activity_10","Activity","","c21c1236-4270-473f-97a9-3050067a02a3"
"Apo E genotyping","Apo E genotyping","Activity_11","Activity","","07ad6189-7e28-40d0-bba1-af177b90d5ee"
"Patient randomised","Patient randomised","Activity_12","Activity","","c267a59c-8d43-4383-b71a-88b515b3b739"
"Vital Signs and Temperature","Vital signs / Temperature","Activity_13","Activity","","50a370b8-c21d-4cf9-a3f8-babc7038231b"
"Ambulatory ECG placed","Ambulatory ECG placed","Activity_14","Activity","","96ff8e95-7038-46e0-9c08-b755dc09d0ad"
"Ambulatory ECG removed","Ambulatory ECG removed","Activity_15","Activity","","02260e8a-d103-4204-8c61-626ae6466978"
"ECG","ECG","Activity_16","Activity","","cc05a89a-8f53-4f3f-9397-939edf2724a3"
"Placebo TTS test","Placebo TTS test","Activity_17","Activity","","141979a5-96ed-40d9-ad78-d918ee28ea98"
"CT scan","CT scan","Activity_18","Activity","","83864582-9ed2-4d09-af2a-a821aa25619b"
"Concomitant medications","Concomitant medications","Activity_19","Activity","","98a58f15-7d04-444e-bebb-acfe77931e36"
"Hematology","Hematology","Activity_20","Activity","","13cee27b-953e-4430-a690-7ff2d9216e54"
"Chemistry","Chemistry","Activity_21","Activity","","1f552f8d-8dda-4549-8d76-a973d9e46a68"
"Uninalysis","Uninalysis","Activity_22","Activity","","4e99b53d-17cd-43fa-872e-8e6075efb526"
"Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23","Activity","","58b3293c-3f87-4286-9fb6-a7c6cf272c58"
"Hemoglobin A1C","Hemoglobin A1C","Activity_24","Activity","","4e842223-e072-43f6-929d-cdca2ac5ef48"
"Study drug record , Medications dispensed, Medications returned","Study drug","Activity_25","Activity","","2ca1eec2-da3c-4fbd-b003-0b504ad19e8b"
"TTS Acceptability Survey","TTS Acceptability Survey","Activity_26","Activity","","12b54434-ac67-40d8-b0e6-0db92dce9c77"
"ADAS-Cog","ADAS-Cog","Activity_27","Activity","","2000837b-affa-4b26-a3a8-a7b0eaa6e713"
"CIBIC+","CIBIC+","Activity_28","Activity","","fe926d35-1884-4083-b30a-c538b7a7e386"
"DAD","DAD","Activity_29","Activity","","cdcd53d3-de44-4e5e-bd3c-f1967c6ceec6"
"NPI-X","NPI-X","Activity_30","Activity","","73df8c74-c215-4487-bd03-a1c079e15934"
"Adverse events","Adverse events","Activity_31","Activity","","b2e7136f-1eed-46bc-836a-8ba81af8389b"
"Check adverse events","Check adverse events","Activity_32","Activity","","dbefadcf-49fa-4c31-be44-24b510b13e8a"
"Subject supine","Supine","Activity_33","Activity","","830bfbb5-33f6-473b-b90d-9fb5ddcaa2aa"
"Vital signs while supine","Vital Signs Supine","Activity_34","Activity","","f5b599c3-e268-4b3d-abac-478eb555923c"
"Subject Standing","Stand","Activity_35","Activity","","f8b4c19e-411b-4ef4-83f7-bfe2308c5338"
"Vital signs while standing","Vital Signs Standing","Activity_36","Activity","","c2574b47-24f3-410e-a78b-3f3526268b8f"
