"name","id","text","instanceType","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule","e5cf043a-6c78-47c4-9d9d-4f86e35dc80e"
"ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule","b1b5c081-1012-42cd-ae1e-fd07ad796687"
"ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","05907f01-92d2-47a7-b7f3-3cc675de797b"
"ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","c1d0dd65-c543-4dd1-91d7-167314b23262"
"ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule","30e6310d-7778-48c0-8a0c-edfc63343d44"
"ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule","959b9905-44f4-4291-b52e-7319313886da"
"ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule","97f1f19a-96e3-4b29-a44c-4e33b4421860"
"ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","9d01bd2c-bf0e-43ae-b9fb-d51fa7da7e8b"
"ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule","ed3ee9f0-e61c-4bda-baf3-74b4547e7122"
"ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","9a4ba833-325d-48be-bb16-29bf61a37740"
"ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","21d71658-8389-4fed-badd-456c13f2cf61"
"ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule","e3ac9817-6440-4ca0-ae54-17c6623f8331"
"ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule","a05cf97d-d0fc-4ea5-b531-835b387e7ec1"
"ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","878e11af-ff92-417b-a20f-d727d054c62a"
"ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","e4faf4fb-06bf-47b5-a300-e7fedc6cbf22"
