"codeSystem","id","codeSystemVersion","instanceType","decode","code","uuid:ID"
"http://www.cdisc.org","Code_1","2023-12-15","Code","Interventional Study","C98388","e40fa8a7-4d54-4ad8-bdb7-9676f3f3a9e2"
"http://www.cdisc.org","Code_2","2023-12-15","Code","Phase II Trial","C15601","6340c293-25e9-42de-b907-ff46b0b7e507"
"http://www.cdisc.org","Code_9","2023-12-15","Code","Sponsor Approval Date","C132352","f440941d-ea23-465f-b3ce-dc811a9d109f"
"http://www.cdisc.org","Code_10","2023-12-15","Code","Global","C68846","f03df4cb-e28b-416e-b069-fa15195e4718"
"http://www.cdisc.org","Code_72","2023-12-15","Code","IRB/IEC Feedback","C99904x3","8ea3ade7-1718-4142-aafa-a9d8137ee1f9"
"http://www.cdisc.org","Code_73","2023-12-15","Code","Other","C17649","6bc6c8f7-2eb2-4e95-8ca0-639108514303"
"http://www.cdisc.org","Code_75","2023-12-15","Code","Region","C41129","c407db3f-3698-4a0d-ab6e-19a916576c0b"
"ISO 3166 1 alpha3","Code_74","2020-08","Code","Europe","150","4e6fe077-9f9d-4a20-b89c-326f608a207a"
"SPONSOR","Code_4","12","Code","Eli Lilly","PHARMA","42e906bf-60b8-43a9-96e9-fb1190646549"
"http://www.cdisc.org","Code_76","2023-12-15","Code","Clinical Study Sponsor","C70793","b41b6635-cbd6-4c04-93a5-983cc46f33c2"
"ISO 3166 1 alpha3","Code_77","2020-08","Code","United States of America","USA","e23c30b0-8554-485f-b20a-d1ce6ba02202"
"http://www.cdisc.org","Code_78","2023-12-15","Code","Study Registry","C93453","0fb75981-0d0f-4adf-b0ad-d67874f1bc52"
"ISO 3166 1 alpha3","Code_79","2020-08","Code","United States of America","USA","374c3417-6a41-452f-be2e-53e0f1d8bbf4"
"http://www.cdisc.org","Code_137","2023-12-15","Code","Treatment Study","C49656","0847f55a-ce13-4233-b1a6-b72eb6ff4038"
"http://www.cdisc.org","Code_138","2023-12-15","Code","Efficacy Study","C49666","b9aa9cd2-3bde-496f-bd98-b5a5f502d7d5"
"http://www.cdisc.org","Code_139","2023-12-15","Code","Safety Study","C49667","9fc9452e-5e6d-445b-b46b-f2097df09ac2"
"http://www.cdisc.org","Code_140","2023-12-15","Code","Pharmacokinetic Study","C49663","15fe8713-9dac-4f16-a9af-c317604a8cc3"
"SPONSOR","Code_134","12","Code","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","db4f6ac7-cd57-4015-a641-25cb1abda243"
"SNOMED","Code_135","January 31, 2018","Code","Alzheimer's disease","26929004","7ed6353d-f666-4b37-b42a-0504b686b2ea"
"http://www.cdisc.org","Code_143","2023-12-15","Code","EXTENSION","C99907x1","9a995830-f2b2-45af-8409-671a5cb04057"
"http://www.cdisc.org","Code_144","2023-12-15","Code","ADAPTIVE","C98704","2f7e50e8-c98d-4add-8f91-7bb5f8952a3f"
"http://www.cdisc.org","Code_141","2023-12-15","Code","Parallel Study","C82639","c7ac1b6c-c474-4c5c-a7c2-baad6b615d2c"
"http://www.cdisc.org","Code_83","2023-12-15","Code","Visit","C25716","fbf5d64e-3faf-4acb-81f5-dcdcf9a61bf5"
"http://www.cdisc.org","Code_84","2023-12-15","Code","Clinic","C51282","7a27f5ee-8421-4220-9b8b-6bd1d16b5d22"
"http://www.cdisc.org","Code_85","2023-12-15","Code","In Person","C175574","96920536-1ecb-4dbb-bb1e-ec6c0b1b0ff4"
"http://www.cdisc.org","Code_86","2023-12-15","Code","Visit","C25716","7367f13f-10be-40b8-b8d8-ca0c7383ebcb"
"http://www.cdisc.org","Code_87","2023-12-15","Code","Clinic","C51282","c4780a1f-e6f8-4e6f-8e47-e9a73ce5165f"
"http://www.cdisc.org","Code_88","2023-12-15","Code","In Person","C175574","8ddf8342-f4e7-4f81-b331-da9309e8313c"
"http://www.cdisc.org","Code_89","2023-12-15","Code","Visit","C25716","7554ff3e-ab46-4419-8013-da8debccb82f"
"http://www.cdisc.org","Code_90","2023-12-15","Code","Clinic","C51282","6e06c375-33b7-4830-bbda-d249b694b290"
"http://www.cdisc.org","Code_91","2023-12-15","Code","In Person","C175574","d190c148-fb22-4030-989b-6ae502622298"
"http://www.cdisc.org","Code_92","2023-12-15","Code","Visit","C25716","ed7befe4-4152-4dd3-a481-3d6769d6ef02"
"http://www.cdisc.org","Code_93","2023-12-15","Code","Clinic","C51282","e4764eab-efa1-434a-a793-561c09506e7d"
"http://www.cdisc.org","Code_94","2023-12-15","Code","In Person","C175574","8b84c886-8136-47f8-bf09-d5c94c60e6e6"
"http://www.cdisc.org","Code_95","2023-12-15","Code","Visit","C25716","540a57d6-8a8b-4b7c-bb1c-9b18b4479789"
"http://www.cdisc.org","Code_96","2023-12-15","Code","Clinic","C51282","38b13623-8bf7-43df-bba1-6fa8a4136f07"
"http://www.cdisc.org","Code_97","2023-12-15","Code","In Person","C175574","d5db0b3e-240f-4700-b189-ef1ac6c58364"
"http://www.cdisc.org","Code_98","2023-12-15","Code","Visit","C25716","fe9d43fe-02a1-4ea0-85ad-8f46199d1da5"
"http://www.cdisc.org","Code_99","2023-12-15","Code","Clinic","C51282","47e85b53-d7e7-41f8-8e7b-a951ec330c24"
"http://www.cdisc.org","Code_100","2023-12-15","Code","In Person","C175574","00a6056a-1b72-4246-83a2-f8cbf94e9aa5"
"http://www.cdisc.org","Code_101","2023-12-15","Code","Visit","C25716","e901bc5d-2887-4939-9315-168239a573ee"
"http://www.cdisc.org","Code_102","2023-12-15","Code","Clinic","C51282","f94cdd39-40c6-4968-92bc-396f4361d4ed"
"http://www.cdisc.org","Code_103","2023-12-15","Code","In Person","C175574","0b33f3d9-b61a-47bd-b55f-54a63d9aa623"
"http://www.cdisc.org","Code_104","2023-12-15","Code","Telephone Call","C171537","11ab7f20-e45c-4ccc-b236-465d54eaf757"
"http://www.cdisc.org","Code_105","2023-12-15","Code","Visit","C25716","bee12f01-58ce-45b5-819b-977939fc727f"
"http://www.cdisc.org","Code_106","2023-12-15","Code","Clinic","C51282","4dabd595-2e30-467a-9232-950a93886ee4"
"http://www.cdisc.org","Code_107","2023-12-15","Code","In Person","C175574","26b79207-c50e-43d2-ba98-241bd1b368cf"
"http://www.cdisc.org","Code_108","2023-12-15","Code","Telephone Call","C171537","1c4bf1f3-780c-4e0d-a9e8-82bd1be374fa"
"http://www.cdisc.org","Code_109","2023-12-15","Code","Visit","C25716","c05e64e8-22f6-4184-8a75-36d4dd7bef8d"
"http://www.cdisc.org","Code_110","2023-12-15","Code","Clinic","C51282","4defad55-3a94-48a4-bebb-1a24c6c819d5"
"http://www.cdisc.org","Code_111","2023-12-15","Code","In Person","C175574","2984508c-b604-4da6-9471-d441ac305d6f"
"http://www.cdisc.org","Code_112","2023-12-15","Code","Telephone Call","C171537","20c96e09-93d7-4dfa-b9f4-50f52979b3f9"
"http://www.cdisc.org","Code_113","2023-12-15","Code","Visit","C25716","1b2dbca8-ca0d-468e-9619-d55222efbf2e"
"http://www.cdisc.org","Code_114","2023-12-15","Code","Clinic","C51282","0b16115d-e765-4f95-b18a-0f89d6f4cc7d"
"http://www.cdisc.org","Code_115","2023-12-15","Code","In Person","C175574","9a68768c-16f2-41a4-ad81-ce938b301925"
"http://www.cdisc.org","Code_116","2023-12-15","Code","Telephone Call","C171537","09239e72-d40b-4393-9e57-fe321f6874d3"
"http://www.cdisc.org","Code_117","2023-12-15","Code","Visit","C25716","2613bb2d-ccae-4c76-adde-f6a0d9f86fa2"
"http://www.cdisc.org","Code_118","2023-12-15","Code","Clinic","C51282","97b2a08d-93fa-458c-ad77-4e81187674b1"
"http://www.cdisc.org","Code_119","2023-12-15","Code","In Person","C175574","34372de5-fa6f-4909-bc51-35745acc0f34"
"http://www.cdisc.org","Code_120","2023-12-15","Code","Visit","C25716","ea9c153a-3c40-4050-8caa-4df8450ece13"
"http://www.cdisc.org","Code_121","2023-12-15","Code","Clinic","C51282","09c300b4-301b-4772-9ee7-f6ad98d39cb9"
"http://www.cdisc.org","Code_122","2023-12-15","Code","In Person","C175574","58abd42d-89c6-4cdf-af4c-1497fc9a8911"
"SNOMED","Code_80","January 31, 2018","Code","CT of head without contrast","383371000119108","04cdd7f2-a10b-41d0-ad93-6496e2e7e3cb"
"SPONSOR","Code_81","12","Code","Subject Supine","123","58201b9d-2ed8-4376-8afb-ac025ce6f291"
"SPONSOR","Code_82","12","Code","Subject Standing","124","86a97239-8572-4231-8fa6-f0c8bbc0d317"
"http://www.cdisc.org","Code_429","2023-12-15","Code","Dictionary-derived Term","C82977","ede7695f-994b-4baf-8344-9f8315e32bb3"
"http://www.cdisc.org","Code_430","2023-12-15","Code","Reported Event Term","C82571","315a4188-3974-4c83-a14a-0a48b6faa335"
"http://www.cdisc.org","Code_431","2023-12-15","Code","Observation Start Date Time","C82517","fb652490-3c93-4f4d-8bc5-7199b4b66b01"
"http://www.cdisc.org","Code_432","2023-12-15","Code","Informed Consent","C16735","9674c478-c6e2-4567-b42d-8256067f7b25"
"http://www.cdisc.org","Code_433","2023-12-15","Code","Male","C20197","ef3a2b23-6623-4b99-94c8-9d5228967ae9"
"http://www.cdisc.org","Code_434","2023-12-15","Code","Female","C16576","8b2dd91e-94b1-404e-8d0a-177a28ec78ff"
"http://www.cdisc.org","Code_435","2023-12-15","Code","Sex","C28421","574abec1-34ad-4715-9fdc-508921a78091"
"http://www.cdisc.org","Code_436","2023-12-15","Code","Sex","C28421","a2e2bccd-5bb0-482e-993a-a8d12dd45c60"
"http://www.cdisc.org","Code_437","2023-12-15","Code","Race","C17049","88ec30a4-f9e1-4125-bb9c-23aa179f8da3"
"http://www.cdisc.org","Code_438","2023-12-15","Code","Race","C17049","c64ef6f1-ab2c-4836-91df-a0ef19be81d0"
"http://www.cdisc.org","Code_439","2023-12-15","Code","TEMP","C174446","f031756f-07b5-4c01-b57c-be94c195b893"
"http://www.cdisc.org","Code_440","2023-12-15","Code","Clinical Test Result","C77140","6beb62cc-2dfe-45a6-8ef8-2522507520b2"
"http://www.cdisc.org","Code_441","2023-12-15","Code","Degree Celsius","C42559","5e92e356-2b22-4035-b88c-888ccdede229"
"http://www.cdisc.org","Code_442","2023-12-15","Code","Degree Fahrenheit","C44277","7e685780-5620-46f8-aa89-eb1cc846acea"
"http://www.cdisc.org","Code_443","2023-12-15","Code","Kelvin","C42537","ece52ba5-6776-416b-a2b3-6c1d497ff209"
"http://www.cdisc.org","Code_444","2023-12-15","Code","Unit of Temperature","C44276","0359d7ea-351e-46cc-9522-af1c115bfecc"
"http://www.cdisc.org","Code_445","2023-12-15","Code","Axilla","C12674","af8b2dac-29f1-4f7f-b6a2-b6b671977106"
"http://www.cdisc.org","Code_446","2023-12-15","Code","Ear","C12394","a03e72cc-30de-4cff-9165-94d1f967f7bc"
"http://www.cdisc.org","Code_447","2023-12-15","Code","Forehead","C89803","5adcc4ad-052f-41cb-9e01-6f5926a3fefc"
"http://www.cdisc.org","Code_448","2023-12-15","Code","Oral Cavity","C12421","008c3757-7ebf-4d96-92be-45e15a919e58"
"http://www.cdisc.org","Code_449","2023-12-15","Code","Rectum","C12390","d711eeda-b935-429e-bfc2-e80615a02426"
"http://www.cdisc.org","Code_450","2023-12-15","Code","Anatomic Site","C13717","c015c474-984d-4ec1-a882-6fa6034532ce"
"http://www.cdisc.org","Code_451","2023-12-15","Code","TEMP","C174446","adf87197-558b-4ba8-a896-3231c0ea1628"
"http://www.cdisc.org","Code_452","2023-12-15","Code","WEIGHT","C25208","76778418-d635-436e-986b-23ccbe605717"
"http://www.cdisc.org","Code_453","2023-12-15","Code","Clinical Test Result","C77140","93ad40ea-07a1-42af-82e5-d1c29769f170"
"http://www.cdisc.org","Code_454","2023-12-15","Code","Pound","C48531","5b21fa40-f91f-41bd-9017-8df1e4d45160"
"http://www.cdisc.org","Code_455","2023-12-15","Code","Gram","C48155","32e7c150-c62d-4a20-9c4a-4d1b8fac2cd4"
"http://www.cdisc.org","Code_456","2023-12-15","Code","Kilogram","C28252","6b2bfa3e-66c5-4764-9eda-0edc529d9037"
"http://www.cdisc.org","Code_457","2023-12-15","Code","Unit of Weight","C48208","f83bdf9d-f306-48b9-91c7-61cf4ba65945"
"http://www.cdisc.org","Code_458","2023-12-15","Code","WEIGHT","C25208","50f42e1b-98cb-4bee-96bf-2c63132dd74a"
"http://www.cdisc.org","Code_459","2023-12-15","Code","HEIGHT","C25347","ac76dadb-84dd-4999-9375-21537bfe82ea"
"http://www.cdisc.org","Code_460","2023-12-15","Code","Clinical Test Result","C77140","0d9fe30f-fe90-4b45-92c0-cdad4c7c2cd5"
"http://www.cdisc.org","Code_461","2023-12-15","Code","Centimeter","C49668","b3c90565-ce08-424a-acfa-1e2b7fb6c80d"
"http://www.cdisc.org","Code_462","2023-12-15","Code","Inch","C48500","95b6d1f4-777f-4b3a-acaa-660f9033cb48"
"http://www.cdisc.org","Code_463","2023-12-15","Code","Meter","C41139","9320344b-9eed-4365-aa67-d17d74a5d13d"
"http://www.cdisc.org","Code_464","2023-12-15","Code","Unit of Height","C168688","15346890-f3ae-4b98-98d4-71264de78d0d"
"http://www.cdisc.org","Code_465","2023-12-15","Code","HEIGHT","C25347","fc1d5483-7374-408d-a492-46ee5a74e572"
"http://www.cdisc.org","Code_466","2023-12-15","Code","ALT","C64433","24b66f32-a54b-4288-bc50-200ec43aeae0"
"http://www.cdisc.org","Code_467","2023-12-15","Code","Laboratory Test Result","C36292","b0001a40-33af-4a7c-9853-7e1feb2137d0"
"http://www.cdisc.org","Code_468","2023-12-15","Code","Unit per Liter","C67456","2cd7feac-5925-4982-a8e6-4e0efd2545dd"
"http://www.cdisc.org","Code_469","2023-12-15","Code","Microkatal per Liter","C67397","7a9a783b-9770-4b0e-861d-aa8219bff2ba"
"http://www.cdisc.org","Code_470","2023-12-15","Code","International Unit per Liter","C67376","746ce631-b65b-46d4-b56d-89005e859b77"
"http://www.cdisc.org","Code_471","2023-12-15","Code","Nanokatal per Liter","C70510","e5809c94-8a4e-4271-be79-a245fdf5578c"
"http://www.cdisc.org","Code_472","2023-12-15","Code","Unit of Catalytic Activity Concentration","C67365","377fc334-11ab-4aff-99c7-108efa442b76"
"http://www.cdisc.org","Code_473","2023-12-15","Code","Biospecimen Type","C70713","342d64a3-1625-4d7e-80da-911694105967"
"http://www.cdisc.org","Code_474","2023-12-15","Code","No","C49487","0fee0544-3fa8-464c-bd30-7631034188ab"
"http://www.cdisc.org","Code_475","2023-12-15","Code","Yes","C49488","131867e1-08be-4e9a-bf1a-8710b0cda810"
"http://www.cdisc.org","Code_476","2023-12-15","Code","Laboratory Test Fasting Status","C83309","db3a949d-cc21-4776-a475-f265f78d43d7"
"http://www.cdisc.org","Code_477","2023-12-15","Code","ALT","C64433","1f931653-f011-4998-977d-c85b7b3b2945"
"http://www.cdisc.org","Code_478","2023-12-15","Code","ALB","C64431","fe9641f5-9d8f-4378-a9c0-554660643964"
"http://www.cdisc.org","Code_479","2023-12-15","Code","Laboratory Test Result","C36292","99436a89-07af-404c-ab26-44c7e44069a9"
"http://www.cdisc.org","Code_480","2023-12-15","Code","Biospecimen Type","C70713","effbe0d6-81b4-47dd-b1b9-7a99dbe7fb7d"
"http://www.cdisc.org","Code_481","2023-12-15","Code","No","C49487","26bd4c4f-4728-452c-8758-db3798ee62ff"
"http://www.cdisc.org","Code_482","2023-12-15","Code","Yes","C49488","b59e4a52-459e-498d-bcca-b6d4dc817a5c"
"http://www.cdisc.org","Code_483","2023-12-15","Code","Laboratory Test Fasting Status","C83309","785eff8f-6bde-422e-b380-1ff025412fd6"
"http://www.cdisc.org","Code_484","2023-12-15","Code","ALB","C64431","aba2aaf2-b19b-4a78-9ff8-f36f9f9df3ef"
"http://www.cdisc.org","Code_485","2023-12-15","Code","ALP","C64432","2d1170f1-a883-43af-a01d-b9ebed3b2fb1"
"http://www.cdisc.org","Code_486","2023-12-15","Code","Laboratory Test Result","C36292","3203db93-be06-41f6-ad1c-430cd809671e"
"http://www.cdisc.org","Code_487","2023-12-15","Code","Unit per Liter","C67456","a3e47d13-b2a0-49ee-8c6b-0e5116a1497f"
"http://www.cdisc.org","Code_488","2023-12-15","Code","Microkatal per Liter","C67397","b74c6e71-082c-4026-9ca1-924d23d433ca"
"http://www.cdisc.org","Code_489","2023-12-15","Code","International Unit per Liter","C67376","a1dbac30-103a-4f38-938b-42555d0e860d"
"http://www.cdisc.org","Code_490","2023-12-15","Code","Unit of Catalytic Activity Concentration","C67365","808a6e4e-71b3-467d-be1c-bd42ae4e5a1e"
"http://www.cdisc.org","Code_491","2023-12-15","Code","Biospecimen Type","C70713","ece93e00-8128-44fd-8fe9-ad6ed27a4ab5"
"http://www.cdisc.org","Code_492","2023-12-15","Code","No","C49487","e2300d69-124c-4286-b5d5-929bd3f5f99c"
"http://www.cdisc.org","Code_493","2023-12-15","Code","Yes","C49488","b09733c6-f8c8-4c1d-9e5e-7b1e7a471177"
"http://www.cdisc.org","Code_494","2023-12-15","Code","Laboratory Test Fasting Status","C83309","19eed246-a32d-4583-93ad-17a946bc676a"
"http://www.cdisc.org","Code_495","2023-12-15","Code","ALP","C64432","f2e73804-6c24-4578-b08f-081eb9d01931"
"http://www.cdisc.org","Code_496","2023-12-15","Code","AST","C64467","6ca9b8a1-3aac-4d20-a1f4-9b0e95978c4e"
"http://www.cdisc.org","Code_497","2023-12-15","Code","Laboratory Test Result","C36292","592eb0a8-837a-49dd-935d-4b6e0ce2b8ba"
"http://www.cdisc.org","Code_498","2023-12-15","Code","Unit per Liter","C67456","4394d2e8-7d62-4d68-b6c0-9c67dcc3fe69"
"http://www.cdisc.org","Code_499","2023-12-15","Code","Microkatal per Liter","C67397","967146c9-e80f-4627-a9da-4546fcdd57c5"
"http://www.cdisc.org","Code_500","2023-12-15","Code","International Unit per Liter","C67376","12f1392d-1260-40b1-b63b-c5b2c6102959"
"http://www.cdisc.org","Code_501","2023-12-15","Code","Unit of Catalytic Activity Concentration","C67365","15f58eca-7288-4655-af80-78ba633fc766"
"http://www.cdisc.org","Code_502","2023-12-15","Code","Biospecimen Type","C70713","05783e6d-e800-46ef-9a1f-21fa5c438685"
"http://www.cdisc.org","Code_503","2023-12-15","Code","No","C49487","6f9fc8d6-2a8e-4d9f-a603-82fdc221bed6"
"http://www.cdisc.org","Code_504","2023-12-15","Code","Yes","C49488","4189ec98-cfa6-4f00-9ef3-7a354a3250a3"
"http://www.cdisc.org","Code_505","2023-12-15","Code","Laboratory Test Fasting Status","C83309","f43eb142-0513-463c-a5d2-5b0296022c37"
"http://www.cdisc.org","Code_506","2023-12-15","Code","AST","C64467","00f5237b-72af-422b-a9f0-507df7c17b56"
"http://www.cdisc.org","Code_507","2023-12-15","Code","CREAT","C64547","f10ea796-9d98-4923-951d-ecd5197d307e"
"http://www.cdisc.org","Code_508","2023-12-15","Code","Laboratory Test Result","C36292","e89e1b98-c5a0-4aa8-8b66-12f8c630bda0"
"http://www.cdisc.org","Code_509","2023-12-15","Code","Milligram per Deciliter","C67015","b30014bd-6a4a-4c91-8626-42a5a59de573"
"http://www.cdisc.org","Code_510","2023-12-15","Code","Microgram per Milliliter","C64572","2b944e14-692b-41f0-b2d8-dd66e859df97"
"http://www.cdisc.org","Code_511","2023-12-15","Code","Millimole per Liter","C64387","41fba9d7-e26b-4d2a-ab45-98ca90e7757d"
"http://www.cdisc.org","Code_512","2023-12-15","Code","Micromole per Liter","C48508","e66d045c-2648-44e3-bc62-92fddbf17836"
"http://www.cdisc.org","Code_513","2023-12-15","Code","Unit of Concentration","C48207","342f5412-d27e-4e59-93cc-3f76f648193f"
"http://www.cdisc.org","Code_514","2023-12-15","Code","Biospecimen Type","C70713","73bfa56c-3a21-4ae9-8078-c4f630407e20"
"http://www.cdisc.org","Code_515","2023-12-15","Code","No","C49487","5cc84018-6f3e-4642-bf87-1cf4ee18d87e"
"http://www.cdisc.org","Code_516","2023-12-15","Code","Yes","C49488","b1d74e8c-6c35-4e46-9b71-bfe49a3213d6"
"http://www.cdisc.org","Code_517","2023-12-15","Code","Laboratory Test Fasting Status","C83309","e3014aa4-fe31-4f87-8044-d9ed21a12a1e"
"http://www.cdisc.org","Code_518","2023-12-15","Code","CREAT","C64547","fdde002d-4ed2-421f-823c-ca8faeac0dd0"
"http://www.cdisc.org","Code_519","2023-12-15","Code","K","C64853","7a90df4d-67ad-401a-8051-fe4814880477"
"http://www.cdisc.org","Code_520","2023-12-15","Code","Laboratory Test Result","C36292","4f393f34-b7a5-48d2-9bc4-804a6ff021de"
"http://www.cdisc.org","Code_521","2023-12-15","Code","Milliequivalent per Liter","C67474","980c178d-fd44-40da-b3b8-1d264e4fad44"
