"label","name","valueLabel","id","windowLabel","instanceType","description","windowUpper","windowLower","value","uuid:ID"
"Screening","TIM1","2 weeks","Timing_1","","Timing","Screening timing","","","P2W","b0bc0522-c50b-416c-bc89-8706edaf2f68"
"Pre dose","TIM2","2 days","Timing_2","-4..0 hours","Timing","Pre dose timing","PT0H","PT4H","P2D","974a3695-9600-43f5-a05a-a2db120e655e"
"Dosing","TIM3","1 Day","Timing_3","","Timing","Dosing anchor","","","P1D","504f0e63-d518-4ba0-875b-ebbd2dfe5c01"
"Week 2","TIM4","2 Weeks","Timing_4","-3..3 days","Timing","Week 2 timing","P3D","P3D","P2W","24fba3bf-d30f-43ba-bfbe-89ddf4395c44"
"Week 4","TIM5","4 Weeks","Timing_5","-3..3 days","Timing","Week 4 timing","P3D","P3D","P4W","9a58d5a2-575d-445d-874c-b9baa71bfa53"
"Week 6","TIM6","6 Weeks","Timing_6","-3..3 days","Timing","Week 6 timing","P3D","P3D","P6W","4a35558c-af41-4da5-a609-b8aaa35405e2"
"Week 8","TIM7","8 Weeks","Timing_7","-3..3 days","Timing","Week 8 timing","P3D","P3D","P8W","bb0a8cc2-3a0d-4a05-89e9-7e364144bfa3"
"Week 12","TIM9","12 Weeks","Timing_9","-4..4 days","Timing","Week 12 timing","P4D","P4D","P12W","6cb2100d-730c-43d5-a5fd-5d39e378fde0"
"Week 16","TIM11","16 Weeks","Timing_11","-4..4 days","Timing","Week 16 timing","P4D","P4D","P16W","0f957d56-9f45-4c79-b287-31458e7894c7"
"Week 20","TIM13","20 Weeks","Timing_13","-4..4 days","Timing","Week 20 timing","P4D","P4D","P20W","fe8b938d-eda2-47b0-9791-372ed570ca6b"
"Week 24","TIM15","24 Weeks","Timing_15","-4..4 days","Timing","Week 24 timing","P4D","P4D","P24W","284132c5-8316-49ef-b854-e85247dbcba2"
"Week 26","TIM16","26 Weeks","Timing_16","-3..3 days","Timing","Week 26 timing","P3D","P3D","P26W","d7cabdcd-c7d2-4b5e-a6e3-5382f40f7d3a"
"Week 8 Home","TIM8","2 Weeks","Timing_8","","Timing","Week 8 at home timing","","","P2W","86320342-1b65-41bb-824c-f54a6316b058"
"Week 12 Home","TIM10","2 Weeks","Timing_10","","Timing","Week 12 at home timing","","","P2W","6443d754-c72f-4def-a87d-56d131c4f75b"
"Week 16 Home","TIM12","2 Weeks","Timing_12","","Timing","Week 16 at home timing","","","P2W","246f277b-688c-4f17-ad9d-a353b65d9362"
"Week 20 Home","TIM14","2 Weeks","Timing_14","","Timing","Week 20 at home timing","","","P2W","6dd3b40e-a54f-4a73-ab73-9cded2c5ce8a"
"Adverse Event","TIM17","1 Day","Timing_17","","Timing","Adverse Event","","","P1D","7ed990f4-1150-47d7-924b-d0b2fe29e8a3"
"Early Termination","TIM18","1 Day","Timing_18","","Timing","Early Termination","","","P1D","4717b01a-9e86-4352-83e0-029e5f024848"
"Supine","TIM19","0 mins","Timing_19","","Timing","Supine","","","PT0M","35a1c4cd-126f-440f-8ce7-b444e3c4c2e3"
"VS while supine","TIM20","5 mins","Timing_20","","Timing","VS while supine","","","PT5M","6423397d-395c-4705-922d-568a820606ab"
"Standing","TIM21","0 min","Timing_21","","Timing","Standing","","","PT0M","7b8bcbef-fa36-4484-9810-b9f77022dc61"
"VS while standing","TIM22","1 min","Timing_22","","Timing","VS while standing","","","PT1M","750030d5-4821-4ba3-8b25-0e389d0f96e0"
"Standing","TIM23","0 min","Timing_23","","Timing","Standing","","","PT0M","f77f3c11-a3cb-4b0d-8350-c9708d6f61db"
"VS while standing","TIM24","2 min","Timing_24","","Timing","VS while standing","","","PT2M","bfc50ea3-b50f-4177-881f-6a28b6e8e783"
