"label","name","id","instanceType","description","uuid:ID"
"Screening 1","E1","Encounter_1","Encounter","Screening encounter","08033b5d-4a5d-4f47-9aec-696927b98941"
"Screening 2","E2","Encounter_2","Encounter","Screening encounter - Ambulatory ECG Placement","c6729ccf-bfa5-4d36-9bbe-07ef34e17422"
"Baseline","E3","Encounter_3","Encounter","Baseline encounter - Ambulatory ECG Removal","3532b7e9-692d-4397-8c66-cc78046307c2"
"Week 2","E4","Encounter_4","Encounter","Day 14","12c32b4d-50ca-4ab7-89dc-a3671d3c6f0d"
"Week 4","E5","Encounter_5","Encounter","Day 28","e949a8d7-2038-4de9-aa5e-ed49500293fd"
"Week 6","E7","Encounter_6","Encounter","Day 42","263e7d1c-7068-4789-941d-45076594bfde"
"Week 8","E8","Encounter_7","Encounter","Day 56","92282553-4e32-4beb-8d14-9394abebca78"
"Week 12","E9","Encounter_8","Encounter","Day 84","46d67247-efa7-4525-bb3a-0614e4d04115"
"Week 16","E10","Encounter_9","Encounter","Day 112","889174f7-400d-4d08-9ec9-8268754c4f89"
"Week 20","E11","Encounter_10","Encounter","Day 140","23598e29-3526-40df-a63e-1578dc7a57c7"
"Week 24","E12","Encounter_11","Encounter","Day 168","ae07eac5-6553-4745-aeb1-ab6fa244b6a0"
"Week 26","E13","Encounter_12","Encounter","Day 182","14cfcdf1-f2c9-4f63-8441-986d63db343d"
