"text","id","uuid:ID","name","instanceType"
"Subject identifier","TransitionRule_1","0e3fc378-5d42-42f0-81f3-717c77be52fe","ENCOUNTER_START_RULE_1","TransitionRule"
"completion of screening activities","TransitionRule_2","cd408234-6b6e-4451-8daa-c10eee7f352d","ENCOUNTER_START_RULE_1","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","5107e4c2-dc8d-43f4-9f42-fdb0081ec107","ENCOUNTER_START_RULE_2","TransitionRule"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","47adade3-fcc8-4a02-9102-7a4a95e77e6e","ENCOUNTER_START_RULE_3","TransitionRule"
"Radomized","TransitionRule_5","3ab4fcb1-ac2f-44ce-9ff1-71767539a5d5","ENCOUNTER_START_RULE_3","TransitionRule"
"End of treatment","TransitionRule_6","6ba156e0-ddf5-4398-86d3-510d290fc1e5","ENCOUNTER_START_RULE_12","TransitionRule"
"Informed consent","TransitionRule_7","35792b7f-fc96-4227-8fbb-c4cd54c4eb06","ELEMENT_START_RULE_1","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","2910dc4e-b95b-4bf0-bb80-472a7c28c490","ELEMENT_END_RULE_1","TransitionRule"
"Administration of first dose","TransitionRule_9","c58092ea-8864-49f2-95be-980461d00f87","ELEMENT_START_RULE_2","TransitionRule"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","acad3e85-e2e2-4dea-885d-b39384abb218","ELEMENT_START_RULE_7","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","81d30e21-c1c8-4af7-a930-84f89005360c","ELEMENT_END_RULE_7","TransitionRule"
"Administration of first dose","TransitionRule_10","21a8c907-751b-45d2-af57-db3abb8b1f00","ELEMENT_START_RULE_3","TransitionRule"
"Randomized","TransitionRule_11","2462e94a-a2a6-45e5-9a1a-b88460931b59","ELEMENT_START_RULE_4","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","7a46da7f-55d8-45bf-9ef4-12ba9644cee3","ELEMENT_START_RULE_5","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","8869edda-bb72-48d8-a27e-482f473d1a0d","ELEMENT_START_RULE_6","TransitionRule"
