"windowLower","value","description","id","label","valueLabel","windowLabel","name","instanceType","uuid:ID","windowUpper"
"","P2W","Screening timing","Timing_1","Screening","2 weeks","","TIM1","Timing","af98a738-fa6a-4045-973d-d0b2b08c2faa",""
"PT4H","P2D","Pre dose timing","Timing_2","Pre dose","2 days","-4..0 hours","TIM2","Timing","d9f681b3-b844-4e3a-9e78-07daca272766","PT0H"
"","P1D","Dosing anchor","Timing_3","Dosing","1 Day","","TIM3","Timing","b326dac0-99c1-4bba-a5ed-39de9a282d8a",""
"P3D","P2W","Week 2 timing","Timing_4","Week 2","2 Weeks","-3..3 days","TIM4","Timing","d9e31747-a3cf-4699-943e-f1cff274d4f5","P3D"
"P3D","P4W","Week 4 timing","Timing_5","Week 4","4 Weeks","-3..3 days","TIM5","Timing","3d85de95-e042-489e-b4e7-0740599cee6a","P3D"
"P3D","P6W","Week 6 timing","Timing_6","Week 6","6 Weeks","-3..3 days","TIM6","Timing","9b456ec9-05b5-49ca-82bf-11587ab65c06","P3D"
"P3D","P8W","Week 8 timing","Timing_7","Week 8","8 Weeks","-3..3 days","TIM7","Timing","5e362856-6a42-4a69-81b0-1b06fc0998e1","P3D"
"P4D","P12W","Week 12 timing","Timing_9","Week 12","12 Weeks","-4..4 days","TIM9","Timing","d09119ac-0176-4d63-ae75-1aa20fdf2f42","P4D"
"P4D","P16W","Week 16 timing","Timing_11","Week 16","16 Weeks","-4..4 days","TIM11","Timing","d61d4b3c-2d3c-441f-a32e-9b0ef3e9def6","P4D"
"P4D","P20W","Week 20 timing","Timing_13","Week 20","20 Weeks","-4..4 days","TIM13","Timing","dccf5583-67bf-4a67-980c-ff77cca5a4ff","P4D"
"P4D","P24W","Week 24 timing","Timing_15","Week 24","24 Weeks","-4..4 days","TIM15","Timing","3d7bbd12-9bbc-41c0-a168-5244214f6cae","P4D"
"P3D","P26W","Week 26 timing","Timing_16","Week 26","26 Weeks","-3..3 days","TIM16","Timing","858e3279-9399-4a67-a87d-31fffd4a7b57","P3D"
"","P2W","Week 8 at home timing","Timing_8","Week 8 Home","2 Weeks","","TIM8","Timing","aa8c53d1-fe8b-4564-8568-f693eb09a834",""
"","P2W","Week 12 at home timing","Timing_10","Week 12 Home","2 Weeks","","TIM10","Timing","b71bd730-451e-46a5-a3e7-702e5441b1b7",""
"","P2W","Week 16 at home timing","Timing_12","Week 16 Home","2 Weeks","","TIM12","Timing","052e93c2-3231-4e7d-a6fc-86096ca03382",""
"","P2W","Week 20 at home timing","Timing_14","Week 20 Home","2 Weeks","","TIM14","Timing","f2c9a2c9-0791-4184-92a6-7e1f9a06ebef",""
"","P1D","Adverse Event","Timing_17","Adverse Event","1 Day","","TIM17","Timing","5eae5666-ec48-4602-9393-3a5e4b5e9e3e",""
"","P1D","Early Termination","Timing_18","Early Termination","1 Day","","TIM18","Timing","d61928ae-7fcb-4b16-a7ff-636368e118fc",""
"","PT0M","Supine","Timing_19","Supine","0 mins","","TIM19","Timing","9692e482-64f9-42c3-817f-b8a9af28177f",""
"","PT5M","VS while supine","Timing_20","VS while supine","5 mins","","TIM20","Timing","f15165d8-2ae2-4332-a51d-1f9d0913c601",""
"","PT0M","Standing","Timing_21","Standing","0 min","","TIM21","Timing","3d083ebc-58b7-4725-8f6f-480df0ee77b3",""
"","PT1M","VS while standing","Timing_22","VS while standing","1 min","","TIM22","Timing","8d57766b-55d5-4c80-9c2c-db25a35685bb",""
"","PT0M","Standing","Timing_23","Standing","0 min","","TIM23","Timing","4c65f08d-bf49-41fd-9d5b-f9769cc7e190",""
"","PT2M","VS while standing","Timing_24","VS while standing","2 min","","TIM24","Timing","a5349519-aff7-4001-bdb2-b08e63659fbe",""
