"codeSystem","id","code","codeSystemVersion","instanceType","uuid:ID","decode"
"http://www.cdisc.org","Code_1","C98388","2023-12-15","Code","dfe0e288-0316-41b2-ad19-29bb3465032c","Interventional Study"
"http://www.cdisc.org","Code_2","C15601","2023-12-15","Code","1680d5d8-3ab6-45ab-9f9e-8c37349ded63","Phase II Trial"
"http://www.cdisc.org","Code_9","C132352","2023-12-15","Code","b6fd305a-5b1b-4b90-a708-7d87f640eb98","Sponsor Approval Date"
"http://www.cdisc.org","Code_10","C68846","2023-12-15","Code","f5875011-5008-4807-a537-8c3da874de2a","Global"
"http://www.cdisc.org","Code_72","C99904x3","2023-12-15","Code","00bc1ff0-0608-4f00-9a28-79af8032abdf","IRB/IEC Feedback"
"http://www.cdisc.org","Code_73","C17649","2023-12-15","Code","807fe329-f1ec-4acd-815a-aca4557715b5","Other"
"http://www.cdisc.org","Code_75","C41129","2023-12-15","Code","9502b34a-1577-44cf-a494-b2ec9a85130e","Region"
"ISO 3166 1 alpha3","Code_74","150","2020-08","Code","f1ae9174-2d47-4b04-af2d-90ffafd41196","Europe"
"SPONSOR","Code_4","PHARMA","12","Code","d849dbc4-7792-4f28-b437-3669d6c2328b","Eli Lilly"
"http://www.cdisc.org","Code_76","C70793","2023-12-15","Code","94106f00-2731-4207-a8e1-b131f6fc7eba","Clinical Study Sponsor"
"ISO 3166 1 alpha3","Code_77","USA","2020-08","Code","8d27c99f-82c7-42e0-8e49-f90ccfea3410","United States of America"
"http://www.cdisc.org","Code_78","C93453","2023-12-15","Code","625c5ac9-3012-4e3d-b1e7-4e8055f6f922","Study Registry"
"ISO 3166 1 alpha3","Code_79","USA","2020-08","Code","f49a22d1-d152-4024-a8a8-07c68a0571b0","United States of America"
"http://www.cdisc.org","Code_137","C49656","2023-12-15","Code","a4ef2f3c-171a-4f72-a661-ab77d5458182","Treatment Study"
"http://www.cdisc.org","Code_138","C49666","2023-12-15","Code","a00ef851-5912-44b3-8b3f-422b3876f758","Efficacy Study"
"http://www.cdisc.org","Code_139","C49667","2023-12-15","Code","9eea1095-d959-4f5d-b5a0-713899397954","Safety Study"
"http://www.cdisc.org","Code_140","C49663","2023-12-15","Code","4c217f1b-54c8-43db-9764-625b6b719f3d","Pharmacokinetic Study"
