"description","id","label","name","instanceType","uuid:ID"
"Screening encounter","Encounter_1","Screening 1","E1","Encounter","f7fe7379-2156-4388-b17d-4664f561d1db"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","E2","Encounter","6de01dd3-df54-4019-92a5-5c07578180e3"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","E3","Encounter","8299d6f2-d5d3-4b20-a32e-1f91f9a5698c"
"Day 14","Encounter_4","Week 2","E4","Encounter","8bc07be1-a267-4cc7-8002-b2b90d1c30f3"
"Day 28","Encounter_5","Week 4","E5","Encounter","2a0868e8-058d-425f-97fa-8b7ad5b29dfa"
"Day 42","Encounter_6","Week 6","E7","Encounter","94b7da8b-3122-4895-bbe4-43ab313d2b06"
"Day 56","Encounter_7","Week 8","E8","Encounter","9b4bc8b4-51f1-460f-af8f-7e53f11f8c9d"
"Day 84","Encounter_8","Week 12","E9","Encounter","b8c38285-dac8-4078-bf0f-047f63545b20"
"Day 112","Encounter_9","Week 16","E10","Encounter","b7a79758-d4ec-48f7-945c-b3cdfc7e918d"
"Day 140","Encounter_10","Week 20","E11","Encounter","5dfcc76c-1d50-4181-9140-466ce74c01cd"
"Day 168","Encounter_11","Week 24","E12","Encounter","3b788099-3608-425f-b114-11f568a8a1d7"
"Day 182","Encounter_12","Week 26","E13","Encounter","6befc85b-ff4d-463b-aea9-d41c53bf07d6"
