"text","description","id","label","purpose","name","instanceType","uuid:ID"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1","","","END1","Endpoint","e699101d-c6ec-4bf9-927a-848cd5343302"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2","","","END2","Endpoint","342ad051-b55f-4779-937b-fb2b3c463484"
"Adverse events","","Endpoint_3","","","END3","Endpoint","49502458-9c49-43e3-84b5-87be8799a4f6"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4","","","END4","Endpoint","10952e68-3311-4980-a16d-7ca75ec8aa2a"
"Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","","","END5","Endpoint","30c87a1c-01f8-442d-bd3a-6f555cc87128"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6","","","END6","Endpoint","7e9ee64d-a68e-49d1-9340-9e76fc113bb0"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7","","","END7","Endpoint","ef779ca9-db87-455b-b645-dc278e90cf2d"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8","","","END8","Endpoint","9a83a2aa-8d8c-4684-a022-ca2d50967b0e"
"*** To be determined from protocol ***","","Endpoint_9","","","END9","Endpoint","39ce820a-e489-4cf3-980d-0574a2c265ad"
"*** To be determined from protocol ***","","Endpoint_10","","","END10","Endpoint","82df69af-6032-43e5-98d2-9d488ac69a21"
"*** To be determined from protocol ***","","Endpoint_11","","","END11","Endpoint","6d1d0646-2963-4712-9702-a993552d6b4c"
