"value","description","id","valueLabel","uuid:ID","name","instanceType","windowUpper","windowLower","label","windowLabel"
"P2W","Screening timing","Timing_1","2 weeks","488d8a1c-8c56-460f-9f9b-dc50d351edab","TIM1","Timing","","","Screening",""
"P2D","Pre dose timing","Timing_2","2 days","86e2cd6f-03d6-45f1-8bbb-db0c67565e64","TIM2","Timing","PT0H","PT4H","Pre dose","-4..0 hours"
"P1D","Dosing anchor","Timing_3","1 Day","c420812b-e453-40ec-89a9-87405548300b","TIM3","Timing","","","Dosing",""
"P2W","Week 2 timing","Timing_4","2 Weeks","52ab8214-bea4-43ad-9c38-864b9a39bb0f","TIM4","Timing","P3D","P3D","Week 2","-3..3 days"
"P4W","Week 4 timing","Timing_5","4 Weeks","da0a0399-5514-42e1-ba64-7d1fd02691db","TIM5","Timing","P3D","P3D","Week 4","-3..3 days"
"P6W","Week 6 timing","Timing_6","6 Weeks","79646354-074b-4b28-ae3f-aa113a920a65","TIM6","Timing","P3D","P3D","Week 6","-3..3 days"
"P8W","Week 8 timing","Timing_7","8 Weeks","4830bb1d-1ce9-45f4-87a7-e21c65f5e305","TIM7","Timing","P3D","P3D","Week 8","-3..3 days"
"P12W","Week 12 timing","Timing_9","12 Weeks","0df25349-7095-4baa-9f93-ba3962b2efae","TIM9","Timing","P4D","P4D","Week 12","-4..4 days"
"P16W","Week 16 timing","Timing_11","16 Weeks","7fc0c602-65fe-4652-830d-997141a8c814","TIM11","Timing","P4D","P4D","Week 16","-4..4 days"
"P20W","Week 20 timing","Timing_13","20 Weeks","e27c772b-ac83-47a6-acfa-b3f58d05cd11","TIM13","Timing","P4D","P4D","Week 20","-4..4 days"
"P24W","Week 24 timing","Timing_15","24 Weeks","90012a89-a930-4003-993b-650dc40ca3c6","TIM15","Timing","P4D","P4D","Week 24","-4..4 days"
"P26W","Week 26 timing","Timing_16","26 Weeks","750b3f15-8604-4dde-82a4-5ce5c6b07876","TIM16","Timing","P3D","P3D","Week 26","-3..3 days"
"P2W","Week 8 at home timing","Timing_8","2 Weeks","bdd7ddf1-bacd-4e29-90c2-4008bfb6b4fe","TIM8","Timing","","","Week 8 Home",""
"P2W","Week 12 at home timing","Timing_10","2 Weeks","39ef617b-2bd9-4868-b96b-b7ef22b3c8e6","TIM10","Timing","","","Week 12 Home",""
"P2W","Week 16 at home timing","Timing_12","2 Weeks","601a3ecc-5ca7-45c3-8302-94d6c607453d","TIM12","Timing","","","Week 16 Home",""
"P2W","Week 20 at home timing","Timing_14","2 Weeks","a8ce5d90-79f7-495e-8170-c74abc919a59","TIM14","Timing","","","Week 20 Home",""
"P1D","Adverse Event","Timing_17","1 Day","ed2daccb-8a7e-4ea6-ac23-b4295216ed63","TIM17","Timing","","","Adverse Event",""
"P1D","Early Termination","Timing_18","1 Day","fe4854f8-471d-4159-9e56-1e00b5c4b1fc","TIM18","Timing","","","Early Termination",""
"PT0M","Supine","Timing_19","0 mins","124565e1-a77e-4299-8e44-b9d7c69be671","TIM19","Timing","","","Supine",""
"PT5M","VS while supine","Timing_20","5 mins","5be28003-696e-4fc9-8f45-0a822a8ad42e","TIM20","Timing","","","VS while supine",""
"PT0M","Standing","Timing_21","0 min","a84f94ad-bc5a-411f-9b57-fc333ffaed69","TIM21","Timing","","","Standing",""
"PT1M","VS while standing","Timing_22","1 min","5f441f1b-bfe5-4451-9587-f78b32a6fea3","TIM22","Timing","","","VS while standing",""
"PT0M","Standing","Timing_23","0 min","c9d1b8e6-77e3-4893-87c7-cd317aa6c600","TIM23","Timing","","","Standing",""
"PT2M","VS while standing","Timing_24","2 min","184dbcc8-d074-4326-b89d-40f1eb9f4608","TIM24","Timing","","","VS while standing",""
