"id","decode","uuid:ID","instanceType","code","codeSystem","codeSystemVersion"
"Code_1","Interventional Study","148eb506-98b0-49b0-b19e-5327d0e718dd","Code","C98388","http://www.cdisc.org","2023-12-15"
"Code_2","Phase II Trial","f7f60ed5-9397-4734-b0fb-6e4aa96f9fb9","Code","C15601","http://www.cdisc.org","2023-12-15"
"Code_9","Sponsor Approval Date","dc077eff-8402-4782-9296-4f092ddefa82","Code","C132352","http://www.cdisc.org","2023-12-15"
"Code_10","Global","c9dca24e-d731-4e4c-846c-af926d88d654","Code","C68846","http://www.cdisc.org","2023-12-15"
"Code_72","IRB/IEC Feedback","9b78fba1-aeb5-45c9-9835-b67c88fb9d34","Code","C99904x3","http://www.cdisc.org","2023-12-15"
"Code_73","Other","41c0ec46-e6c3-4179-b19d-337fd9bec6d2","Code","C17649","http://www.cdisc.org","2023-12-15"
"Code_75","Region","532c63b1-e415-4b21-ad84-63a33fd8ffec","Code","C41129","http://www.cdisc.org","2023-12-15"
"Code_74","Europe","b379ec5b-eb1b-4943-a9ef-c68e139b53a6","Code","150","ISO 3166 1 alpha3","2020-08"
"Code_4","Eli Lilly","7f964d61-285a-4607-b93f-a5be5015d587","Code","PHARMA","SPONSOR","12"
"Code_76","Clinical Study Sponsor","a1203e31-0294-4c7d-9671-95ef9ed7553e","Code","C70793","http://www.cdisc.org","2023-12-15"
"Code_77","United States of America","b88933a1-ec45-46ff-9d5f-f52d6d184218","Code","USA","ISO 3166 1 alpha3","2020-08"
"Code_78","Study Registry","f922b395-c7ea-4ae5-9d94-77184a42d65c","Code","C93453","http://www.cdisc.org","2023-12-15"
"Code_79","United States of America","08930d83-7249-42dc-9162-1c4f5c63ec46","Code","USA","ISO 3166 1 alpha3","2020-08"
"Code_137","Treatment Study","202e6f39-ff67-4a02-94a0-a606eecf5717","Code","C49656","http://www.cdisc.org","2023-12-15"
"Code_138","Efficacy Study","9a6efbf3-c527-4f6a-ba83-26a4b19a40b7","Code","C49666","http://www.cdisc.org","2023-12-15"
"Code_139","Safety Study","01304e83-eaa2-4ff6-93e9-27b2dad8bfa1","Code","C49667","http://www.cdisc.org","2023-12-15"
"Code_140","Pharmacokinetic Study","471d8f93-2004-4491-bf6d-dc54cc6dbec2","Code","C49663","http://www.cdisc.org","2023-12-15"
"Code_134","Mild to Moderate Alzheimer's Disease","6efa7701-b821-40f6-bbc4-c39488c20bc8","Code","MILD_MOD_ALZ","SPONSOR","12"
"Code_135","Alzheimer's disease","1a0ee630-803c-48f6-afc0-4c04c0933ccf","Code","26929004","SNOMED","January 31, 2018"
"Code_143","EXTENSION","0acfe922-081c-4147-a3f9-7d5c3fa53a31","Code","C99907x1","http://www.cdisc.org","2023-12-15"
"Code_144","ADAPTIVE","5c99170a-b807-4612-b4fa-912ed69fc3dc","Code","C98704","http://www.cdisc.org","2023-12-15"
"Code_141","Parallel Study","c67b3a3c-dbac-4989-b4dd-ef2bbb7ea395","Code","C82639","http://www.cdisc.org","2023-12-15"
"Code_83","Visit","cdc7f94d-aa88-4849-9255-be966d05ba40","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_84","Clinic","dbef7154-e18a-4b9b-a225-90421de1a7c8","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_85","In Person","8c8feac0-c995-4b86-93e3-4212b8419915","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_86","Visit","00684524-b996-409b-8f90-dbf66d4471ca","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_87","Clinic","b738b3e2-3abb-4311-9995-729843376ba7","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_88","In Person","84198609-d918-44b3-bf71-6ca8659e01bd","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_89","Visit","2a19f804-6a93-487f-8836-4391a4711e88","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_90","Clinic","16af105e-bc2b-486e-9466-79f40a1040e7","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_91","In Person","caafa98c-534a-4971-8b9c-f69fca5a02c9","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_92","Visit","68dfb4cb-a353-4657-b23b-1f39216a4b00","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_93","Clinic","4e3d70a4-b391-4f3d-823e-6ef47bc8c64c","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_94","In Person","a71605a6-5aa8-468a-8362-c895b1ca4c5e","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_95","Visit","952f49ef-c365-4b79-b9a6-33b4aa72e380","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_96","Clinic","2806830f-a318-4c5a-bbb9-6ddcdd41d09d","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_97","In Person","9a522206-fb3d-41b5-9798-f9047b41aaee","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_98","Visit","d5a5fcf5-054a-446e-b180-c1947cb098be","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_99","Clinic","2d505580-bc9c-41fd-b282-df6f2ba269c7","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_100","In Person","051b1d3b-d3a0-431c-affe-ef7595bb101e","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_101","Visit","357065e1-75df-4362-9e21-57602ceb7086","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_102","Clinic","b1f2e632-ddd0-472e-8ecb-10c3d62bdfa6","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_103","In Person","31e107af-e897-4e67-9ba9-dc90c7186960","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_104","Telephone Call","99ce675f-f0a9-4c25-aa43-cc902ec7e6f9","Code","C171537","http://www.cdisc.org","2023-12-15"
