"id","uuid:ID","name","instanceType","text"
"TransitionRule_1","ae0150a2-77bc-413c-a0c2-1eb8f65953c0","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier"
"TransitionRule_2","f6a01795-4e3c-48e9-b296-be744451f8a9","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities"
"TransitionRule_3","7e40bb05-1c6d-4861-abc9-58a6436594d5","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","0ab52ee2-6699-4110-9818-65277cbcbc5e","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","f03af397-e230-471b-aa5d-f6164fac090a","ENCOUNTER_START_RULE_3","TransitionRule","Radomized"
"TransitionRule_6","05979ae7-ef7b-4259-810a-ff4cf9714d38","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment"
"TransitionRule_7","3db5141f-77d7-4bcd-909f-3058c56e600b","ELEMENT_START_RULE_1","TransitionRule","Informed consent"
"TransitionRule_8","cc860667-b94d-4e7d-86e2-bb65a520c11a","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","d99bf60b-c5c4-4657-989a-639034752a92","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose"
"TransitionRule_14","ef32541f-e7d1-4c81-8758-383d86dca400","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","89cc5ba0-86ae-4e9f-99c6-e0d41f554e60","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","a2985d3b-fea9-4e47-b946-f81305fe8d1d","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose"
"TransitionRule_11","30f1ac82-2f21-40cc-9c50-d1b44212982e","ELEMENT_START_RULE_4","TransitionRule","Randomized"
"TransitionRule_12","41a5cfd8-ac8d-4017-b615-d76112e8577e","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","4831df88-9589-493b-aafe-bbb3c53c7908","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
