"id","uuid:ID","name","instanceType","synonyms","label","reference"
"BiomedicalConcept_20","60574a95-5acb-4289-8aac-554b5a3bdb7d","Informed Consent Obtained","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"BiomedicalConcept_21","48c480be-8bf5-41dd-9644-0a197fbc2c6b","Sex","BiomedicalConcept","","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"BiomedicalConcept_22","7f6add23-97ba-4146-94f9-bd95fabba6ca","Race","BiomedicalConcept","['Racial Group']","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"BiomedicalConcept_23","9e230fd6-1771-47a8-b5ca-5ba6c2ad326f","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_24","d76407c2-639c-492b-a516-e68de5800ea4","Weight","BiomedicalConcept","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_25","acd2df1d-fa9e-4df1-83c8-842346de1efd","Height","BiomedicalConcept","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_26","824ee689-33ac-4b6a-b794-f3aa1337ea01","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_27","b258c7cd-e63c-4f4b-b0af-f06eca034b9c","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_28","4bc46cae-044e-4db2-b561-11c84f8c4acb","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_29","b1e0de91-4acc-4e43-99f5-1c5bd9950cb9","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
