"description","id","uuid:ID","name","instanceType","label"
"Screening encounter","Encounter_1","89a92af5-e70d-44ff-a8ed-845b8f2a4c9d","E1","Encounter","Screening 1"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","a87f1bd4-6c28-4387-8a81-824ceb970cd0","E2","Encounter","Screening 2"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","11395fae-49e9-4f5b-aae0-e9a5e53c1715","E3","Encounter","Baseline"
"Day 14","Encounter_4","99fc0faa-4dda-41ef-8fd5-1dca90e9b8a7","E4","Encounter","Week 2"
"Day 28","Encounter_5","ecb8f5ab-65c9-4630-ba79-f59a5c0e7c47","E5","Encounter","Week 4"
"Day 42","Encounter_6","7e44d27d-a776-42d6-8225-a9ea4bd94f75","E7","Encounter","Week 6"
"Day 56","Encounter_7","a03a9960-4e7b-49a4-8825-9d29e3a67553","E8","Encounter","Week 8"
"Day 84","Encounter_8","90bc8772-38dd-4b32-bc31-9f1b6d98c2ef","E9","Encounter","Week 12"
"Day 112","Encounter_9","7638414a-ce50-480c-8cf0-4241bf9e598e","E10","Encounter","Week 16"
"Day 140","Encounter_10","8464fd59-6368-4f19-95fa-24ebdcb99a4a","E11","Encounter","Week 20"
"Day 168","Encounter_11","409c048b-5ce8-45e1-9f1d-8811d070c248","E12","Encounter","Week 24"
"Day 182","Encounter_12","63843e1f-f4ef-4f2a-9e93-f5011a89d21a","E13","Encounter","Week 26"
