"description","id","uuid:ID","name","instanceType","label"
"","Activity_1","4c7b4a68-4952-4f8b-9475-272989227333","Informed consent","Activity","Informed consent"
"","Activity_2","ca401b62-ae5d-4d4d-8cbb-dd9868888125","Inclusion/exclusion criteria","Activity","Inclusion and exclusion criteria"
"","Activity_3","c3bd7790-0cdb-42e3-a434-191fec73f970","Patient number assigned","Activity","Patient number assigned"
"","Activity_4","6116ec9e-d215-4edc-8f1b-deff632dbb10","Demographics","Activity","Demographics"
"","Activity_5","f671d50a-af7c-4a11-a774-749fdb13f772","Hachinski","Activity","Hachinski Ischemic Scale"
"","Activity_6","9b77ea06-35c1-49ab-9228-b3b9bd4e43cc","MMSE","Activity","MMSE"
"","Activity_7","cee61893-a372-4b93-bde0-795f25e4d4ab","Physical examination","Activity","Physical examination"
"","Activity_8","ed9e04fa-16cf-4429-9d58-124f7a0c89ae","Medical history","Activity","Medical history"
"","Activity_9","ee456ed6-a6bb-401e-8d6c-611bd2e7e12e","Habits","Activity","Habits"
"","Activity_10","d6ad73aa-ac40-4ff6-bcd2-94dbf2bb6be5","Chest X-ray","Activity","Chest X-ray"
"","Activity_11","4ea49d30-63a4-44c2-943a-bbe027bf7b36","Apo E genotyping","Activity","Apo E genotyping"
"","Activity_12","6f209201-d855-46a6-b327-baaac87f3921","Patient randomised","Activity","Patient randomised"
"","Activity_13","e4746df8-bcb0-4b39-9b75-f71abbd0644e","Vital signs / Temperature","Activity","Vital Signs and Temperature"
"","Activity_14","b35fab0d-8e86-4541-a9e0-4ca5a221cbe2","Ambulatory ECG placed","Activity","Ambulatory ECG placed"
"","Activity_15","a59d1e9a-3767-449b-925f-85f72ae4a312","Ambulatory ECG removed","Activity","Ambulatory ECG removed"
"","Activity_16","de3a8e46-8f0e-4375-833b-160d02103521","ECG","Activity","ECG"
"","Activity_17","cf88e3c4-c5bc-417b-9e85-f40f816732cc","Placebo TTS test","Activity","Placebo TTS test"
"","Activity_18","99b261e1-c8f0-4920-a70d-2b1d84a38c60","CT scan","Activity","CT scan"
"","Activity_19","f5811784-8266-4ee5-9190-8bca3d70885f","Concomitant medications","Activity","Concomitant medications"
"","Activity_20","f54bd320-f74b-4777-8dfc-4339c9f6b1a0","Hematology","Activity","Hematology"
"","Activity_21","f98bd493-f367-42ef-82ca-c3fd82d7fcc3","Chemistry","Activity","Chemistry"
"","Activity_22","d138c351-8539-4933-8b9c-7aae0fd47b36","Uninalysis","Activity","Uninalysis"
"","Activity_23","68bb8d6d-9236-4a35-a219-f4f7d5ce0e44","Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)"
"","Activity_24","0bc5b736-6b84-40e9-9aae-e00cf804dac5","Hemoglobin A1C","Activity","Hemoglobin A1C"
"","Activity_25","0a903285-d253-4a65-aebd-1b2230316cf6","Study drug","Activity","Study drug record , Medications dispensed, Medications returned"
"","Activity_26","ae361a83-3b77-4c1b-95d7-ee3998b05dda","TTS Acceptability Survey","Activity","TTS Acceptability Survey"
"","Activity_27","a84b8dc6-38a0-448e-a20c-7e1cd3ed9a92","ADAS-Cog","Activity","ADAS-Cog"
"","Activity_28","35006682-215d-4bf5-97aa-a24482f6ad5c","CIBIC+","Activity","CIBIC+"
"","Activity_29","d8a5f119-872d-4ac1-aa92-2c7953ed00f8","DAD","Activity","DAD"
"","Activity_30","9cfe6374-da76-43fa-8236-66298594215b","NPI-X","Activity","NPI-X"
"","Activity_31","6a5880c9-bbd8-4910-9571-4e37827b58f5","Adverse events","Activity","Adverse events"
"","Activity_32","b4cacc52-87e3-4f99-892e-6cebf6690f55","Check adverse events","Activity","Check adverse events"
"","Activity_33","03fb6d6f-94c9-464e-9675-8db5a93a6d12","Supine","Activity","Subject supine"
"","Activity_34","d4122ecc-3f0a-4c9e-bb7a-bd3383970d9f","Vital Signs Supine","Activity","Vital signs while supine"
"","Activity_35","4b0ca305-dc27-495e-814c-b210542ba3f1","Stand","Activity","Subject Standing"
"","Activity_36","d120ffd5-592c-4524-864f-0d59d2d72c31","Vital Signs Standing","Activity","Vital signs while standing"
