"description","id","uuid:ID","name","instanceType","label"
"-","ScheduledActivityInstance_9","9a1de17c-1fc2-4615-afe0-8f0ab475d57a","SCREEN1","ScheduledActivityInstance","Screen One"
"-","ScheduledActivityInstance_10","cca232fb-fcfe-444e-88d8-577c11f213e9","SCREEN2","ScheduledActivityInstance","Screen Two"
"-","ScheduledActivityInstance_11","38890852-7d51-47ce-8919-cb958e83b1b1","DOSE","ScheduledActivityInstance","Dose"
"-","ScheduledActivityInstance_12","b929f490-24a7-462b-b9af-3c5ba7cb9b3c","WK2","ScheduledActivityInstance","Week 2"
"-","ScheduledActivityInstance_13","e82394d4-4b8f-43b8-bc9b-60ed99327b4c","WK4","ScheduledActivityInstance","Week 4"
"-","ScheduledActivityInstance_14","2b66adda-ffdc-4eff-87f8-86afa50e1686","WK6","ScheduledActivityInstance","Week 6"
"-","ScheduledActivityInstance_15","2c28f29d-b5de-495d-8966-91f8f68ba854","WK8","ScheduledActivityInstance","Week 8"
"-","ScheduledActivityInstance_16","a55dcee4-8de5-494d-9945-6caaea898dd1","WK8N","ScheduledActivityInstance","Week NPI"
"-","ScheduledActivityInstance_17","f317affb-d7ef-42d0-af25-fcef9a45131f","WK12","ScheduledActivityInstance","Week 12"
"-","ScheduledActivityInstance_18","50ecee35-e89e-499e-8519-7e798c1d59a4","WK12N","ScheduledActivityInstance","Week 12 NPI"
"-","ScheduledActivityInstance_19","1fb172c7-133d-4ae4-9b95-456ca03ad750","WK16","ScheduledActivityInstance","Week 16"
"-","ScheduledActivityInstance_20","312262c1-b59c-49ca-9ef8-29e1251cbe8a","WK16N","ScheduledActivityInstance","Week 16 NPI"
"-","ScheduledActivityInstance_21","b4b362f8-6367-4b89-a4f1-e456e85c6520","WK20","ScheduledActivityInstance","Week 20"
"-","ScheduledActivityInstance_22","1420a868-2354-48b1-94f3-8f9ae4b439b0","WK20N","ScheduledActivityInstance","Week 20 NPI"
"-","ScheduledActivityInstance_23","82c00112-be1b-4d0e-8c7b-fc9fd9a03e22","WK24","ScheduledActivityInstance","Week 24"
"-","ScheduledActivityInstance_24","1fc19957-17ed-4224-9829-8f297dbed508","WK26","ScheduledActivityInstance","Week 26"
"-","ScheduledActivityInstance_1","3548b0e7-2c71-46a1-b410-0f1b09295614","AE","ScheduledActivityInstance","Adevers Event"
"-","ScheduledActivityInstance_2","7bae9f48-22b4-40d7-a418-fa021c9e976c","ET","ScheduledActivityInstance","Early Termination"
"","ScheduledActivityInstance_3","2127db52-8cab-4044-a546-2a266fd1efe0","VS_5MIN","ScheduledActivityInstance","5 minute supine"
"","ScheduledActivityInstance_4","49a48f85-d871-42ec-8448-e970593be576","VS_SUPINE","ScheduledActivityInstance","Vital signs supine"
"","ScheduledActivityInstance_5","598505b6-e56e-4cdb-9d1f-c05baa5729d2","VS_1MIN","ScheduledActivityInstance","1 minute standing"
"","ScheduledActivityInstance_6","ce17e39d-9cf2-4240-bb66-2676c795aa1c","VS_STAND1","ScheduledActivityInstance","Vital signs after 1 min standing"
"","ScheduledActivityInstance_7","766bb796-6eb0-4d67-9e9f-f0ace26154f4","VS_2MIN","ScheduledActivityInstance","2 minute standing"
"","ScheduledActivityInstance_8","ec27e36f-6ec2-4c7f-94a7-727a37d5cd49","VS_STAND3","ScheduledActivityInstance","Vital signs after 3 min standing"
