"uuid:ID","description","label","id","instanceType","name"
"a8e6eb71-f8dc-4797-939f-697b236a1fe2","-","Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","SCREEN1"
"1c362177-f351-4421-bcbc-cc911b508bff","-","Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","SCREEN2"
"64a5989b-e411-4768-94bc-e15f846adc97","-","Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","DOSE"
"9f0ac226-bbb1-45cc-a5c0-40afed10d6aa","-","Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","WK2"
"eee621f3-9ce6-4819-b263-5f699fe27666","-","Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","WK4"
"a1e3ec7b-9373-47d7-af85-67b29e270af6","-","Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","WK6"
"4520937a-ffaa-4980-a919-fab5bf352c90","-","Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","WK8"
"31374a7f-8095-4327-a62f-d3ea343fa29a","-","Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","WK8N"
"fbe011e3-3c65-448a-a9e0-a056342f9dd6","-","Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","WK12"
"bdb7d6ca-c48b-4357-9611-f834c5b1c1e3","-","Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","WK12N"
"ac0bfb31-2856-494a-82a7-5fc73cf1267c","-","Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","WK16"
"c594c1ee-05fd-4263-add4-e6a95c37307b","-","Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","WK16N"
"614265d0-4a89-4389-a6f7-5d1dffc48f03","-","Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","WK20"
"0eb130f3-ac64-4c21-a4d8-027425cfe0a4","-","Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","WK20N"
"1fed99e8-c599-478d-9b75-6e3b74fd8824","-","Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","WK24"
"7083860e-a9db-45c0-956e-eb0028ae4e98","-","Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","WK26"
"938b4b8e-6637-49d3-82e9-1937380c8cea","-","Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","AE"
"d06a7a3f-1c3b-449b-9c04-5e3f23ba7118","-","Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","ET"
"802b1d0f-25f6-4b7f-92ab-cb016b7ae34a","","5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","VS_5MIN"
"4c61952d-6cb2-438e-9cca-57051a3a092e","","Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","VS_SUPINE"
"119aba5e-f2f5-49ef-95bd-cb4a8776c01c","","1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","VS_1MIN"
"50c787d0-9fbe-458c-8ae7-b9a8cd83738c","","Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","VS_STAND1"
"60e5143a-9eff-46c3-bfa0-6788429c5bae","","2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","VS_2MIN"
"8b6435f9-56b2-46bc-baac-e6a6d77de567","","Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","VS_STAND3"
