"valueLabel","uuid:ID","description","windowUpper","windowLower","label","windowLabel","id","value","instanceType","name"
"2 weeks","87f783d1-fc13-419c-a7c3-eba9b9587ed1","Screening timing","","","Screening","","Timing_1","P2W","Timing","TIM1"
"2 days","c2e5ba37-bfa5-4869-91ee-9d66f5ad306b","Pre dose timing","PT0H","PT4H","Pre dose","-4..0 hours","Timing_2","P2D","Timing","TIM2"
"1 Day","11045a5c-c79e-4da4-b5bc-5faa0d2bde43","Dosing anchor","","","Dosing","","Timing_3","P1D","Timing","TIM3"
"2 Weeks","446cfc27-6186-4716-b160-c35476f12c3a","Week 2 timing","P3D","P3D","Week 2","-3..3 days","Timing_4","P2W","Timing","TIM4"
"4 Weeks","f1e6fae4-dfe1-43b9-bbfe-7508e8671bb8","Week 4 timing","P3D","P3D","Week 4","-3..3 days","Timing_5","P4W","Timing","TIM5"
"6 Weeks","b8ac45f7-229f-4bef-a89d-067ecc523640","Week 6 timing","P3D","P3D","Week 6","-3..3 days","Timing_6","P6W","Timing","TIM6"
"8 Weeks","4eb9883d-67f4-4477-90c1-2ab4f3eb0d1c","Week 8 timing","P3D","P3D","Week 8","-3..3 days","Timing_7","P8W","Timing","TIM7"
"12 Weeks","e698afaa-b93e-4184-ae6c-94aedc1d7141","Week 12 timing","P4D","P4D","Week 12","-4..4 days","Timing_9","P12W","Timing","TIM9"
"16 Weeks","2ba65747-24d3-47bf-8e4b-83e1052cbea7","Week 16 timing","P4D","P4D","Week 16","-4..4 days","Timing_11","P16W","Timing","TIM11"
"20 Weeks","658eb3a1-0d60-4cc3-88ac-92933dfeaf31","Week 20 timing","P4D","P4D","Week 20","-4..4 days","Timing_13","P20W","Timing","TIM13"
"24 Weeks","55c4e697-b36f-44b8-9e15-72a9a783edfb","Week 24 timing","P4D","P4D","Week 24","-4..4 days","Timing_15","P24W","Timing","TIM15"
"26 Weeks","aa1d2076-5a5b-44fe-99c8-c1353cf8d0a0","Week 26 timing","P3D","P3D","Week 26","-3..3 days","Timing_16","P26W","Timing","TIM16"
"2 Weeks","b6ab498b-7dcf-43cc-880a-2d45d5757339","Week 8 at home timing","","","Week 8 Home","","Timing_8","P2W","Timing","TIM8"
"2 Weeks","abd53c87-d81b-482c-89c5-2e5f98e009b2","Week 12 at home timing","","","Week 12 Home","","Timing_10","P2W","Timing","TIM10"
"2 Weeks","bbca0b6f-270a-4d15-91ac-a5d3b30c9bb6","Week 16 at home timing","","","Week 16 Home","","Timing_12","P2W","Timing","TIM12"
"2 Weeks","756e59f5-8cb6-49d6-98be-5e967d9b4936","Week 20 at home timing","","","Week 20 Home","","Timing_14","P2W","Timing","TIM14"
"1 Day","09f875e3-4bcb-4c45-80f4-85b4200d4c08","Adverse Event","","","Adverse Event","","Timing_17","P1D","Timing","TIM17"
"1 Day","be71a044-9499-408c-9e9e-24107a73873a","Early Termination","","","Early Termination","","Timing_18","P1D","Timing","TIM18"
"0 mins","3008e975-4a8b-49f6-829d-cb4ac0b9c3d9","Supine","","","Supine","","Timing_19","PT0M","Timing","TIM19"
"5 mins","556898ce-d7d8-4a42-9445-c9be9afb2669","VS while supine","","","VS while supine","","Timing_20","PT5M","Timing","TIM20"
"0 min","10484eb9-4d62-460c-bca0-d8bc3ccfb8bf","Standing","","","Standing","","Timing_21","PT0M","Timing","TIM21"
"1 min","6041c2a9-52f4-41bc-951b-64eff873519f","VS while standing","","","VS while standing","","Timing_22","PT1M","Timing","TIM22"
"0 min","c1dce2f1-6dcc-42cb-b24b-4e8ba1091b10","Standing","","","Standing","","Timing_23","PT0M","Timing","TIM23"
"2 min","ede9327d-d495-41d4-b3da-4570a5a8a69c","VS while standing","","","VS while standing","","Timing_24","PT2M","Timing","TIM24"
