"uuid:ID","description","label","id","instanceType","name"
"e8e65524-7f60-42ae-87d7-bd15a5bd20d3","Screening encounter","Screening 1","Encounter_1","Encounter","E1"
"1cdc7b13-0529-463d-a373-28bc2ff0b622","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","Encounter","E2"
"1c29fdd3-38cb-4806-8622-41fa06259371","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","Encounter","E3"
"cb51aee4-b2e3-47f3-9c0f-36a10675dd60","Day 14","Week 2","Encounter_4","Encounter","E4"
"098aac4b-8aea-45df-a3d4-1c4f71f8edd3","Day 28","Week 4","Encounter_5","Encounter","E5"
"59229ccb-bb08-4bc3-96a5-fe10c76ccac5","Day 42","Week 6","Encounter_6","Encounter","E7"
"7ba2bb02-b7f0-4272-8a82-e8c29d44c63b","Day 56","Week 8","Encounter_7","Encounter","E8"
"18793d99-1d7e-4efd-b18d-8e95dc98ecee","Day 84","Week 12","Encounter_8","Encounter","E9"
"1ecc3aa1-473e-4408-9537-33a8121daf55","Day 112","Week 16","Encounter_9","Encounter","E10"
"fc761f7e-ef02-4bba-846e-5f2e1b4ac233","Day 140","Week 20","Encounter_10","Encounter","E11"
"0a744c44-6c45-4b03-a3fa-a4fbab3c555c","Day 168","Week 24","Encounter_11","Encounter","E12"
"dee50eb2-7a0b-4473-b065-0da64f036587","Day 182","Week 26","Encounter_12","Encounter","E13"
