"uuid:ID","text","id","instanceType","name"
"698276eb-7572-427b-8682-3d7e1a91bda9","Subject identifier","TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1"
"9429ed89-6968-4d88-b2ce-c6500f1ebde2","completion of screening activities","TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1"
"921c4279-277f-458f-addd-78301c4bd98b","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2"
"8d4ec296-d4d3-439d-8e35-c2ea150d863d","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3"
"6be035ba-fb90-458f-8e75-e78094d15a61","Radomized","TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3"
"2e7c978e-948a-4a93-9bd6-f408aa47c606","End of treatment","TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12"
"e1a0fd6d-f89c-49a8-a417-82fb8c253324","Informed consent","TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1"
"ac7114a2-3d5d-4664-8fe8-3ac375f3b212","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1"
"737b4c7e-3bfc-4fa2-8599-b396183db219","Administration of first dose","TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2"
"def3b574-969c-4fb5-ab02-a0bb68e2a994","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7"
"252d8ff5-7b6a-47f2-984c-58c3f9297715","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7"
"9cb22dba-17be-4fe3-b0ee-fe9d6ac63a69","Administration of first dose","TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3"
"7ea89707-d325-4f6d-83e3-616e78d97b71","Randomized","TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4"
"c1501057-b48c-45f9-ab8b-44460fc5494c","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5"
"d5311b67-d1e3-493b-bf5f-3cc0ac6b15af","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6"
