"purpose","uuid:ID","description","text","label","id","instanceType","name"
"","ef85cae6-a13d-40c1-9bcf-8f649057a993","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1","Endpoint","END1"
"","59ce4521-ae65-44cb-8b74-ff55703b9cc0","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2","Endpoint","END2"
"","fd3bbadf-ed08-400e-9eae-7d4da2c32c69","","Adverse events","","Endpoint_3","Endpoint","END3"
"","5e76f864-aa7f-48a4-a6b5-68cc23992b6f","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4","Endpoint","END4"
"","8b627e24-a02b-4630-aac6-1ed3d02bf979","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","","Endpoint_5","Endpoint","END5"
"","ce320b22-aaad-4583-b335-5b027f13c9bf","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6","Endpoint","END6"
"","728d8aae-39d6-414f-ba6e-6ff913996ace","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7","Endpoint","END7"
"","61e3c5c1-dce8-4dfa-81d9-ee081dae5180","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8","Endpoint","END8"
"","8faad550-2914-486f-867b-794286004109","","*** To be determined from protocol ***","","Endpoint_9","Endpoint","END9"
"","45bb682e-f5e3-4ec9-af97-05ee20b02d14","","*** To be determined from protocol ***","","Endpoint_10","Endpoint","END10"
"","97cc455e-a98b-4d38-9bda-0727b0025e65","","*** To be determined from protocol ***","","Endpoint_11","Endpoint","END11"
