"uuid:ID","description","label","id","instanceType","name"
"99cb497c-31f3-4fd1-b3d1-9c39d6bbacf6","","Informed consent","Activity_1","Activity","Informed consent"
"04c39480-472c-4425-b2c9-092a6a2a024c","","Inclusion and exclusion criteria","Activity_2","Activity","Inclusion/exclusion criteria"
"57b5a6e2-6788-4912-90ee-0fc7ac38854d","","Patient number assigned","Activity_3","Activity","Patient number assigned"
"6966648f-3048-4127-bc78-bc1fe3710cad","","Demographics","Activity_4","Activity","Demographics"
"7823a7f1-b3e4-488c-a73f-1f0afd58d38b","","Hachinski Ischemic Scale","Activity_5","Activity","Hachinski"
"e1fe48b8-8a0c-495d-81fc-fb73f0cb9517","","MMSE","Activity_6","Activity","MMSE"
"28a766b1-cb0e-49c9-a343-81eb7d3ae558","","Physical examination","Activity_7","Activity","Physical examination"
"3379e946-973c-4172-a315-4027b5fa391e","","Medical history","Activity_8","Activity","Medical history"
"8af2dca9-ba65-4336-96f2-ad2c462f05fd","","Habits","Activity_9","Activity","Habits"
"46a39267-bd21-422d-b56c-82f5e2ba4a8e","","Chest X-ray","Activity_10","Activity","Chest X-ray"
"7f8b4e99-ddda-4047-a24e-b1b4658eed06","","Apo E genotyping","Activity_11","Activity","Apo E genotyping"
"1d176596-c3c4-4ecb-868e-97132f20f65d","","Patient randomised","Activity_12","Activity","Patient randomised"
"edfd3553-7a34-40bd-8dc3-7ab03ca86a41","","Vital Signs and Temperature","Activity_13","Activity","Vital signs / Temperature"
"1e5db5f2-5e49-42c6-8c1b-0101760696fd","","Ambulatory ECG placed","Activity_14","Activity","Ambulatory ECG placed"
"80f22ce6-39d5-432f-98af-dfcde41118d5","","Ambulatory ECG removed","Activity_15","Activity","Ambulatory ECG removed"
"5aca3c7f-a3ba-4393-a360-21fd2e09b651","","ECG","Activity_16","Activity","ECG"
"852f1afd-c083-4edc-98fe-36352ba3cb6d","","Placebo TTS test","Activity_17","Activity","Placebo TTS test"
"cf58f548-5d43-4ad4-9611-bb9e0585052f","","CT scan","Activity_18","Activity","CT scan"
"a44c0c45-5565-4419-ba7c-8ce51f9bc8fa","","Concomitant medications","Activity_19","Activity","Concomitant medications"
"9a448a6f-3b57-469d-b8f4-7b43da08a8a3","","Hematology","Activity_20","Activity","Hematology"
"e7b9debd-ffa6-4972-8f6c-28fe52dde50f","","Chemistry","Activity_21","Activity","Chemistry"
"242cb161-9e0b-47f3-8c8f-240e2b4d7e84","","Uninalysis","Activity_22","Activity","Uninalysis"
"462cd8fc-1a72-4528-a72b-5855de70b599","","Plasma Specimen (Xanomeline)","Activity_23","Activity","Plasma Specimen (Xanomeline)"
"de8d5fed-b6cc-4f34-b07c-b1138342aabc","","Hemoglobin A1C","Activity_24","Activity","Hemoglobin A1C"
"84ff6af3-2a66-4902-a39c-4c2c10c9865d","","Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","Study drug"
"96c07409-1b41-4db5-971c-5c3b771c8e1d","","TTS Acceptability Survey","Activity_26","Activity","TTS Acceptability Survey"
"e662ef30-43a2-4b8c-a5d5-7fff9a57df74","","ADAS-Cog","Activity_27","Activity","ADAS-Cog"
"ffa1e790-01fa-4df6-b7ff-fa26f02cd7cf","","CIBIC+","Activity_28","Activity","CIBIC+"
"e4477fed-b126-496e-be87-95804e3675f4","","DAD","Activity_29","Activity","DAD"
"2bebd57d-6967-4f16-a384-399457dc9cc4","","NPI-X","Activity_30","Activity","NPI-X"
"afd9662f-e601-48ce-a42a-045250f2d027","","Adverse events","Activity_31","Activity","Adverse events"
"59ae4ee2-fb9c-45ea-8cef-44d86e8025b4","","Check adverse events","Activity_32","Activity","Check adverse events"
"5dbd70cc-f2b0-4cae-ab2c-ca37a1e012c7","","Subject supine","Activity_33","Activity","Supine"
"82783792-0cf5-4fe7-9d90-f30991191f07","","Vital signs while supine","Activity_34","Activity","Vital Signs Supine"
"d934034d-1c7c-4fa0-a94a-484fc1176041","","Subject Standing","Activity_35","Activity","Stand"
"7a948ead-5951-483c-8eb2-228a9b0bb951","","Vital signs while standing","Activity_36","Activity","Vital Signs Standing"
