"instanceType","uuid:ID","isRequired","label","datatype","id","name","isEnabled"
"BiomedicalConceptProperty","4e4252f6-074a-4f89-9ccb-c52bf4605f6b","True","Vital Signs Result","decimal","BiomedicalConceptProperty_98","Vital Signs Result","True"
"BiomedicalConceptProperty","0991148d-25a1-447d-9f71-b1be3bea07ab","True","Unit of Temperature","string","BiomedicalConceptProperty_99","Unit of Temperature","True"
"BiomedicalConceptProperty","d133c482-2111-4eb5-87f9-34a8328389f1","True","Vital Signs Location","string","BiomedicalConceptProperty_100","Vital Signs Location","True"
"BiomedicalConceptProperty","f9b5ce06-ebf9-4708-9d84-b15e2de13c90","True","Vital Signs Result","decimal","BiomedicalConceptProperty_101","Vital Signs Result","True"
"BiomedicalConceptProperty","d5830994-845e-4b55-bedc-b9b714133792","True","Unit of Weight","string","BiomedicalConceptProperty_102","Unit of Weight","True"
"BiomedicalConceptProperty","24e93e4c-4036-44f9-a7f7-0e93a48dbf7a","True","Vital Signs Result","decimal","BiomedicalConceptProperty_103","Vital Signs Result","True"
"BiomedicalConceptProperty","726b4dc1-a0fe-4adc-be48-7bb48756ccba","True","Unit of Height","string","BiomedicalConceptProperty_104","Unit of Height","True"
"BiomedicalConceptProperty","feba6f3a-27b6-46a8-b789-255a387c2ef4","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_105","Laboratory Test Result","True"
"BiomedicalConceptProperty","2e347f41-7666-40f5-af09-48df150ded13","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","42bd5aea-c921-42a5-b965-9638b736efe0","True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","True"
"BiomedicalConceptProperty","89217011-89d9-4068-afa5-50e234a399ec","True","Biospecimen Type","string","BiomedicalConceptProperty_108","Biospecimen Type","True"
"BiomedicalConceptProperty","3df7aced-3122-43c3-9e3d-36a00e04496b","True","Laboratory Test Result","string","BiomedicalConceptProperty_109","Laboratory Test Result","True"
"BiomedicalConceptProperty","13a4eb3e-db79-4a5e-bcfc-1e6dadad41dc","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","2813476b-dd64-4c25-b261-b925c47f1f27","True","Unit of Concentration","string","BiomedicalConceptProperty_111","Unit of Concentration","True"
"BiomedicalConceptProperty","30b4cdf2-9254-49b7-8c19-5259ec73b1dc","True","Biospecimen Type","string","BiomedicalConceptProperty_112","Biospecimen Type","True"
"BiomedicalConceptProperty","c44ec216-12bb-4b74-bf46-17e2e21a0db5","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_113","Laboratory Test Result","True"
"BiomedicalConceptProperty","3a96ab44-c626-4047-bd70-bb3a2b2a6dfa","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","92de770c-7783-4a77-8c5d-bcb7078e8d64","True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration","True"
"BiomedicalConceptProperty","1ce3aca0-0e1d-465c-9095-696d249799a3","True","Biospecimen Type","string","BiomedicalConceptProperty_116","Biospecimen Type","True"
"BiomedicalConceptProperty","0dfbf4f5-aa99-41b9-9407-f4b1164adba1","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_117","Laboratory Test Result","True"
"BiomedicalConceptProperty","fd60ba4b-182f-4fee-ac91-34bfe0ba0e58","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","769a3c52-dbf0-4cb9-86b4-5e884e18d1e9","True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_119","Unit of Catalytic Activity Concentration","True"
"BiomedicalConceptProperty","c32889ff-9d90-4c39-baca-850d46064e02","True","Biospecimen Type","string","BiomedicalConceptProperty_120","Biospecimen Type","True"
"BiomedicalConceptProperty","eb63531e-8135-463a-892f-93dfead5528f","True","Laboratory Test Result","string","BiomedicalConceptProperty_121","Laboratory Test Result","True"
"BiomedicalConceptProperty","93cd9804-683e-455d-aff3-5bb2703cf4df","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_122","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","afe323f0-76ad-42d4-a80b-3743f4e1cd00","True","Unit of Concentration","string","BiomedicalConceptProperty_123","Unit of Concentration","True"
"BiomedicalConceptProperty","7677a053-8a00-4d24-9d8a-7d8ec27e0579","True","Biospecimen Type","string","BiomedicalConceptProperty_124","Biospecimen Type","True"
"BiomedicalConceptProperty","d8886419-1b0c-4f27-b94c-2bb3d0861fab","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_125","Laboratory Test Result","True"
"BiomedicalConceptProperty","71ba0c91-332b-447e-b331-d086c4298195","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_126","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","3896a52b-1d79-4e91-91c4-8ef33a9285af","True","Molarity Unit","string","BiomedicalConceptProperty_127","Molarity Unit","True"
"BiomedicalConceptProperty","d8340a35-d8ef-493d-9baf-9811e323303e","True","Biospecimen Type","string","BiomedicalConceptProperty_128","Biospecimen Type","True"
"BiomedicalConceptProperty","edece59e-25aa-48d6-82a2-a397c17eb01d","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_129","Laboratory Test Result","True"
"BiomedicalConceptProperty","13187ba6-b117-4676-a1c4-8f9f4067f9de","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_130","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","831b00f9-e979-49f4-8714-ef4ad92909ec","True","Molarity Unit","string","BiomedicalConceptProperty_131","Molarity Unit","True"
"BiomedicalConceptProperty","4d19424e-04c6-499b-9dd4-d2bdf58edfe0","True","Biospecimen Type","string","BiomedicalConceptProperty_132","Biospecimen Type","True"
"BiomedicalConceptProperty","03675d66-ee3f-4e85-9af3-5be34f5746f2","True","Adverse Event Verbatim Description","string","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","True"
"BiomedicalConceptProperty","84b9b103-0e1f-466d-8353-be94af68232b","True","Adverse Event Dictionary Derived Term","string","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","True"
"BiomedicalConceptProperty","d5e2551d-b8e3-4050-8d09-3062d42fa701","True","Adverse Event Category","string","BiomedicalConceptProperty_3","Adverse Event Category","True"
"BiomedicalConceptProperty","11d46fea-0096-4af5-b849-40c4f287a944","True","Adverse Event Subcategory","string","BiomedicalConceptProperty_4","Adverse Event Subcategory","True"
"BiomedicalConceptProperty","257fbb4a-97df-4903-9bb3-7097603ef231","True","Adverse Event Pre-specified","boolean","BiomedicalConceptProperty_5","Adverse Event Pre-specified","True"
"BiomedicalConceptProperty","480301d1-60f3-4b52-b9fb-b693b73d43d0","True","Severity of Adverse Event","string","BiomedicalConceptProperty_6","Severity of Adverse Event","True"
"BiomedicalConceptProperty","c76f8666-8c5f-46b3-8bae-2be41cf49796","True","Adverse Event Toxicity Grade","string","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","True"
"BiomedicalConceptProperty","b4cc7da0-24a3-49d9-b040-81e1e49338d2","True","Seriousness of Adverse Event","boolean","BiomedicalConceptProperty_8","Seriousness of Adverse Event","True"
