"instanceType","text","id","name","uuid:ID"
"TransitionRule","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1","437dacc5-3c13-4c95-9cc6-227d6b16c4b3"
"TransitionRule","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1","21a4bb8a-d3f4-46b0-9ac2-7154120f6482"
"TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2","797b2b2d-b6ab-40b2-ac8e-bcf6a74be9e3"
"TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3","aea95ace-1d69-4fba-a6aa-4d16c6cd460f"
"TransitionRule","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3","ccfe22c7-3aee-44c6-9840-57e31705f7c1"
"TransitionRule","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12","f81b184e-af57-45ad-978e-3d8fbe8ce8e2"
"TransitionRule","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1","25408cd9-1dd2-4976-b67c-738950b481fe"
"TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1","21a9f61b-7bab-432a-80ac-e2fe9fcfaa7b"
"TransitionRule","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2","15360bac-b0fa-4c88-a3f2-8e7d1996a797"
"TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7","10c90bd6-e2c3-4544-ad1b-c80f2360aa0f"
"TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7","9b0ea549-e306-4182-9cef-cd094d75e946"
"TransitionRule","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3","8b6eb707-bbe7-4e9e-9d97-d1888f8e33e4"
"TransitionRule","Randomized","TransitionRule_11","ELEMENT_START_RULE_4","a6358cb5-d874-4c8b-909a-ec36ac52c0c2"
"TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5","dfd6d67d-6378-4c4c-9e6c-22a54554392c"
"TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6","ccd14b44-5822-486e-a61f-da9599786374"
