"instanceType","uuid:ID","text","id","sectionNumber","name","sectionTitle"
"NarrativeContent","ee4a159d-a91a-43c1-ab16-8a456117ad90","","NarrativeContent_1","0","ROOT","Root"
"NarrativeContent","ba493aa2-538e-4375-aa71-69a558ba589e","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","0","SECTION 0","TITLE PAGE"
"NarrativeContent","98e95378-28b6-404c-a916-f291d6666dcc","<div></div>","NarrativeContent_3","1","SECTION 1","PROTOCOL SUMMARY"
"NarrativeContent","f4ae9f59-e370-4b0a-8550-ee79e69c248c","<div></div>","NarrativeContent_4","1.1","SECTION 1.1","Protocol Synopsis"
"NarrativeContent","45b06e93-fea3-48da-9b2d-da34e5eeb5f8","<div></div>","NarrativeContent_5","1.2","SECTION 1.2","Trial Schema"
"NarrativeContent","a6182178-a409-47e7-a473-bd24f60f472c","<div></div>","NarrativeContent_6","1.3","SECTION 1.3","Schedule of Activities"
"NarrativeContent","1213a3bf-7d59-43e4-96ee-af289221c8b0","<div></div>","NarrativeContent_7","2","SECTION 2","INTRODUCTION"
"NarrativeContent","c590639a-e684-4933-97b3-d37d29b82468","<div></div>","NarrativeContent_8","2.1","SECTION 2.1","Purpose of Trial"
"NarrativeContent","a9b0da49-31a2-4211-8dc1-ccdcc078c905","<div></div>","NarrativeContent_9","2.2","SECTION 2.2","Summary of Benefits and Risks"
"NarrativeContent","72c9aa35-b136-475c-89f3-7087f6fc7214","<div></div>","NarrativeContent_10","3","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent","21a89e4a-7dc1-4340-a621-b46cb955ab25","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","3.1","SECTION 3.1","Primary Objectives"
"NarrativeContent","fb4f1464-a114-4755-a811-be037454fcca","<div></div>","NarrativeContent_12","4","SECTION 4","TRIAL DESIGN"
"NarrativeContent","d1ee45d9-1238-4db5-9cff-2508ecca8c9f","<div></div>","NarrativeContent_13","4.1","SECTION 4.1","Description of Trial Design"
"NarrativeContent","56c910b4-c894-42ad-90e5-e91741277c90","<div></div>","NarrativeContent_14","4.1.1","SECTION 4.1.1","Participant Input into Design"
"NarrativeContent","737d5726-e79e-4eea-af47-0f1d7cf5d6d4","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","4.2","SECTION 4.2","Rationale for Trial Design"
"NarrativeContent","9c7ef060-f1fc-40c8-8cd2-9d84768c266a","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","4.2.1","SECTION 4.2.1","Rationale for Comparator"
"NarrativeContent","ec9c17f3-db01-4011-84ea-89f3f4e2e88f","<div></div>","NarrativeContent_17","4.2.2","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design"
"NarrativeContent","0d935573-6399-4602-b5f0-f646de638989","<div></div>","NarrativeContent_18","4.2.3","SECTION 4.2.3","Other Trial Design Considerations"
"NarrativeContent","09cba9c2-5905-4611-af97-27fc95c4a8a0","<div></div>","NarrativeContent_19","4.3","SECTION 4.3","Access to Trial Intervention After End of Trial"
"NarrativeContent","dc7c48ef-1a31-4500-b9ce-945c74baba73","<div></div>","NarrativeContent_20","4.4","SECTION 4.4","Start of Trial and End of Trial"
"NarrativeContent","2ce7d64a-c6a6-45c1-bb55-2182399727d7","<div></div>","NarrativeContent_21","5","SECTION 5","TRIAL POPULATION"
"NarrativeContent","1a422b7b-e349-4007-b167-73352470ef96","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","5.1","SECTION 5.1","Selection of Trial Population"
"NarrativeContent","b0a68f5a-94dc-4d33-ae49-1c7bc1ef3908","<div></div>","NarrativeContent_23","5.2","SECTION 5.2","Rationale for Trial Population"
"NarrativeContent","c8e17da6-103d-46a1-95aa-43be38d51c11","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","5.3","SECTION 5.3","Inclusion Criteria"
"NarrativeContent","1d971c20-7676-40be-b76c-422fd47824a2","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","5.4","SECTION 5.4","Exclusion Criteria"
"NarrativeContent","22bee3a2-dc28-46ca-ae6e-4109fa5169a3","<div></div>","NarrativeContent_26","5.5","SECTION 5.5","Lifestyle Considerations"
"NarrativeContent","623b1ebc-e723-45af-8b55-70898a3a8853","<div></div>","NarrativeContent_27","5.5.1","SECTION 5.5.1","Meals and Dietary Restrictions"
"NarrativeContent","3125681d-234c-4b2d-971f-a375d4c0bc7f","<div><p>Not applicable</p></div>","NarrativeContent_28","5.5.2","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits"
"NarrativeContent","dd1d2932-3503-4c9d-a3d1-5dfeaeb30fdc","<div></div>","NarrativeContent_29","5.5.3","SECTION 5.5.3","Physical Activity"
"NarrativeContent","fe7c8a24-74cd-452d-a773-5ccaf055c2e3","<div></div>","NarrativeContent_30","5.5.4","SECTION 5.5.4","Other Activity"
"NarrativeContent","b45f3667-5613-44f8-87b9-29b40c3f1464","<div></div>","NarrativeContent_31","5.6","SECTION 5.6","Screen Failures"
"NarrativeContent","c8403d68-409a-4627-b9c6-a4dbe69a3b89","<div></div>","NarrativeContent_32","6","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"NarrativeContent","cd2c46a5-5f39-4af2-9d25-304be3bf057b","<div></div>","NarrativeContent_33","6.1","SECTION 6.1","Description of Trial Intervention"
"NarrativeContent","1bf09006-9d1a-4dd0-9032-da4cf05d9753","<div></div>","NarrativeContent_34","6.2","SECTION 6.2","Rationale for Trial Intervention"
"NarrativeContent","2b2b7bac-5bce-4a86-acb8-d11939194e53","<div></div>","NarrativeContent_35","6.3","SECTION 6.3","Dosing and Administration"
"NarrativeContent","2288572d-4a3f-49de-8400-a9d59378c029","<div></div>","NarrativeContent_36","6.3.1","SECTION 6.3.1","Trial Intervention Dose Modification"
"NarrativeContent","02f6b0ff-bbd5-4441-bfb2-0d53dd0b65cf","<div></div>","NarrativeContent_37","6.4","SECTION 6.4","Treatment of Overdose"
"NarrativeContent","3f71c571-e731-4775-9fb3-5bbd1c4da255","<div></div>","NarrativeContent_38","6.5","SECTION 6.5","Preparation, Handling, Storage and Accountability"
"NarrativeContent","ff243ab3-a143-4ad5-a3d1-2f3f9ec84feb","<div></div>","NarrativeContent_39","6.5.1","SECTION 6.5.1","Preparation of Trial Intervention"
"NarrativeContent","6acc17fc-9505-4a2d-88dc-711cbd81a984","<div></div>","NarrativeContent_40","6.5.2","SECTION 6.5.2","Handling and Storage of Trial Intervention"
"NarrativeContent","bd549f20-cba4-49e0-8a51-e4a6756a407d","<div></div>","NarrativeContent_41","6.5.3","SECTION 6.5.3","Accountability of Trial Intervention"
"NarrativeContent","a6c6075e-53cb-4cf2-b574-a7c072172cec","<div></div>","NarrativeContent_42","6.6","SECTION 6.6","Participant Assignment, Randomisation and Blinding"
"NarrativeContent","3d0c6fa8-e804-4e8b-ac15-3cde389791ff","<div></div>","NarrativeContent_43","6.6.1","SECTION 6.6.1","Participant Assignment"
"NarrativeContent","c406ef42-7c93-4478-a406-6ac82555d625","<div></div>","NarrativeContent_44","6.6.2","SECTION 6.6.2","Randomisation"
