"instanceType","reference","label","id","name","synonyms","uuid:ID"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_20","Body Temperature","['Temperature']","5b5bd303-85a4-4454-9225-44e3f18a2906"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_21","Body Weight","['Weight']","5ae9ff4f-b307-4c85-9e24-85161d968e6f"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_22","Body Height","['Height']","a9dbe638-aae8-45c2-b1dd-be8b2b35bbe9"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_23","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","b2f6b63f-5f7e-4401-9d10-ab5b51a8c5c6"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_24","Albumin Measurement","['Albumin']","854c7c84-55ea-41d6-a7ae-1852d6fe9945"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_25","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","57877dc1-0e53-4c09-abeb-46691f7601f6"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","0d25e9ee-ce84-43c7-9233-49f6818761bc"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_27","Creatinine Measurement","['Creatinine']","797e971a-fffc-4c34-b0f0-7fecbf870cef"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_28","Potassium Measurement","['Potassium', 'K']","53a69352-96a7-4aec-b6ad-8d32d21e05a6"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_29","Sodium Measurement","['Sodium', 'NA']","ce9b243b-0a2b-4fea-96b3-8e1cd6c158b0"
