"instanceType","label","description","id","name","uuid:ID"
"Encounter","Screening 1","Screening encounter","Encounter_1","E1","09aabbdd-b070-4167-a870-afa21c54d89f"
"Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","E2","7fe3236c-d455-40af-9cf0-6166165ffdb6"
"Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","E3","9c80339a-e2bd-4949-a177-068d40c7c84b"
"Encounter","Week 2","Day 14","Encounter_4","E4","7a357c4c-38d6-4911-93ab-6134c2ab974f"
"Encounter","Week 4","Day 28","Encounter_5","E5","f03099c9-730a-4537-b793-60cd6191ee48"
"Encounter","Week 6","Day 42","Encounter_6","E7","24af0b4c-735d-4758-a7a7-59b332390ce6"
"Encounter","Week 8","Day 56","Encounter_7","E8","bb139bdc-392a-4a04-90a3-3768e938f723"
"Encounter","Week 12","Day 84","Encounter_8","E9","602f70aa-582e-4260-9c51-7b764cdae4ad"
"Encounter","Week 16","Day 112","Encounter_9","E10","df1b93ed-ecd8-4546-ba06-bdb719041dce"
"Encounter","Week 20","Day 140","Encounter_10","E11","f2331cf2-8b29-48c4-8d7a-2be71d2a10f3"
"Encounter","Week 24","Day 168","Encounter_11","E12","6cbaae5f-c579-4fea-a2b9-7bd7f6005ace"
"Encounter","Week 26","Day 182","Encounter_12","E13","c5ec6b6e-0f53-4985-977a-241c62351bcd"
