"instanceType","label","description","windowUpper","windowLower","id","window","name","value","uuid:ID"
"Timing","Screening","Screening timing","","","Timing_1","","TIM1","P2W","ea6193b9-5300-4662-9123-6f17f211f015"
"Timing","Pre dose","Pre dose timing","PT0H","PT4H","Timing_2","-4..0 hours","TIM2","P2D","e98f3eda-662e-498d-be51-d226038feecf"
"Timing","Dosing","Dosing anchor","","","Timing_3","","TIM3","P1D","d37c9bb7-6776-46a9-8af8-b2111735c48f"
"Timing","Week 2","Week 2 timing","P3D","P3D","Timing_4","-3..3 days","TIM4","P2W","c5ea9223-834e-490c-8325-e8e2e7c59d03"
"Timing","Week 4","Week 4 timing","P3D","P3D","Timing_5","-3..3 days","TIM5","P4W","2d738eac-062b-48b9-928c-a8f54b12c6a6"
"Timing","Week 6","Week 6 timing","P3D","P3D","Timing_6","-3..3 days","TIM6","P6W","60e061cf-e0d8-4fc4-8291-614ae3c5b22d"
"Timing","Week 8","Week 8 timing","P3D","P3D","Timing_7","-3..3 days","TIM7","P8W","80198490-f01b-4c53-b9cd-498e259822e6"
"Timing","Week 12","Week 12 timing","P4D","P4D","Timing_9","-4..4 days","TIM9","P12W","a98076d3-38ca-4168-bd65-1a3fccda668b"
"Timing","Week 16","Week 16 timing","P4D","P4D","Timing_11","-4..4 days","TIM11","P16W","43dcf4f0-e6ff-4c16-8242-4c6341d3f1b2"
"Timing","Week 20","Week 20 timing","P4D","P4D","Timing_13","-4..4 days","TIM13","P20W","30f69ccb-be83-415a-9dca-6a59f527cd11"
"Timing","Week 24","Week 24 timing","P4D","P4D","Timing_15","-4..4 days","TIM15","P24W","61ed90d3-0066-4267-9a55-da47726c1ba7"
"Timing","Week 26","Week 26 timing","P3D","P3D","Timing_16","-3..3 days","TIM16","P26W","1723f322-1c3a-4e1e-a1af-963032a0dafc"
"Timing","Week 8 Home","Week 8 at home timing","","","Timing_8","","TIM8","P2W","918ff890-09a2-4219-835b-f4b150e76880"
"Timing","Week 12 Home","Week 12 at home timing","","","Timing_10","","TIM10","P2W","9b02f0c6-9f8c-4185-8d5d-745dfb9b3844"
"Timing","Week 16 Home","Week 16 at home timing","","","Timing_12","","TIM12","P2W","1d15accf-a8eb-4945-857d-b6e1dbf1af04"
"Timing","Week 20 Home","Week 20 at home timing","","","Timing_14","","TIM14","P2W","99bd45ae-b1cb-460c-83c0-dd0cce0fad7f"
"Timing","Adverse Event","Adverse Event","","","Timing_17","","TIM17","P1D","0f9e3a0c-1790-4dd4-abe8-3fb3ad000304"
"Timing","Early Termination","Early Termination","","","Timing_18","","TIM18","P1D","7f6c833b-f5d4-4b8b-8b16-b1bd29871505"
"Timing","Supine","Supine","","","Timing_19","","TIM19","PT0M","47d11a3d-77ea-4166-a922-934d977af738"
"Timing","VS while supine","VS while supine","","","Timing_20","","TIM20","PT5M","7d67ee2d-6f47-4946-8c24-867972721bf1"
"Timing","Standing","Standing","","","Timing_21","","TIM21","PT0M","1542f30b-d337-419a-8aa3-19b3aac5af3d"
"Timing","VS while standing","VS while standing","","","Timing_22","","TIM22","PT1M","0601c260-8b30-4d20-85ae-33d8ce5f97d6"
"Timing","Standing","Standing","","","Timing_23","","TIM23","PT0M","14f19ec8-df91-4753-81eb-6ba7a3945951"
"Timing","VS while standing","VS while standing","","","Timing_24","","TIM24","PT2M","9eb2a290-afb3-4d19-a3e3-a21077d229bd"
