"instanceType","codeSystem","code","codeSystemVersion","id","uuid:ID","decode"
"Code","http://www.cdisc.org","C98388","2023-09-29","Code_1","f74d508d-81fb-43b7-bcf5-47592ef4541d","Interventional Study"
"Code","http://www.cdisc.org","C15601","2023-09-29","Code_2","bcb63af6-eeac-4ee9-9933-9bf94be36347","Phase II Trial"
"Code","http://www.cdisc.org","C132352","2023-09-29","Code_9","7444778c-2362-47d5-b817-7fd540ece56d","Sponsor Approval Date"
"Code","http://www.cdisc.org","C68846","2023-09-29","Code_10","d3c42bb4-d526-4ed8-9713-dba4661d54eb","Global"
"Code","http://www.cdisc.org","C99904x3","2023-09-29","Code_72","e0210ec6-43b1-4ec4-9c4e-061b5ecabc0b","IRB/IEC Feedback"
"Code","http://www.cdisc.org","C17649","2023-09-29","Code_73","218b29f3-1e34-4ef1-ba11-84900710829b","Other"
"Code","http://www.cdisc.org","C41129","2023-09-29","Code_75","7ecbbde3-9b86-4ba4-825c-7ca9f33c27cb","Region"
"Code","ISO 3166 1 alpha3","150","2020-08","Code_74","482d63b7-9a4f-4e2a-8d68-34221665b4c9","Europe"
"Code","SPONSOR","PHARMA","12","Code_4","54887bb3-f20b-43cc-b328-ec5e42a17afe","Eli Lilly"
"Code","http://www.cdisc.org","C70793","2023-09-29","Code_76","fcad4725-135b-4974-9393-4950fc4b6574","Clinical Study Sponsor"
"Code","ISO 3166 1 alpha3","DNK","2020-08","Code_77","adef508e-f102-4bd5-9a55-23ea97df73f2","Denmark"
"Code","http://www.cdisc.org","C93453","2023-09-29","Code_78","102cf879-8972-4223-8625-34393cf4a885","Study Registry"
"Code","http://www.cdisc.org","C49656","2023-09-29","Code_136","8cf6c9b9-1ac8-4f40-897e-7048d0d5bcf3","Treatment Study"
"Code","http://www.cdisc.org","C49666","2023-09-29","Code_137","df6bff03-6e56-402d-9251-1f59b3ddc857","Efficacy Study"
"Code","http://www.cdisc.org","C49667","2023-09-29","Code_138","9ede0a73-ff96-448d-9a03-cb807002ab7b","Safety Study"
"Code","http://www.cdisc.org","C49663","2023-09-29","Code_139","601967a7-dcc6-4696-9404-37af1486b29b","Pharmacokinetic Study"
"Code","SPONSOR","MILD_MOD_ALZ","12","Code_133","772fce03-9b26-441e-a22c-e9894bbfa9b9","Mild to Moderate Alzheimer's Disease"
"Code","SNOMED","26929004","January 31, 2018","Code_134","eee71671-30bf-4094-ba48-971e648afa32","Alzheimer's disease"
"Code","http://www.cdisc.org","C99907x1","2023-09-29","Code_142","c12eb8ea-740e-4bb0-939b-d698148e06f9","EXTENSION"
"Code","http://www.cdisc.org","C98704","2023-09-29","Code_143","8448457a-bd61-4584-b57e-d8752137a0c7","ADAPTIVE"
"Code","http://www.cdisc.org","C82639","2023-09-29","Code_140","dc0d2000-5423-48e3-8e52-95312a509c5d","Parallel Study"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_82","69b4baf2-339c-4271-b6be-324f7f3d0469","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_83","dcc089f4-5d63-481d-a236-023d9878741b","Clinic"
