"label","name","uuid:ID","id","description","instanceType"
"Informed consent","Informed consent","643f3b4e-9aba-4cb5-8317-8ffed89462c0","Activity_1","","Activity"
"Inclusion and exclusion criteria","Inclusion/exclusion criteria","1b53280e-e292-4798-87a3-310dff3e3566","Activity_2","","Activity"
"Patient number assigned","Patient number assigned","0dde8715-044d-4c0d-8fe2-1cd0437e575c","Activity_3","","Activity"
"Demographics","Demographics","f5240f84-b0bb-4b71-82b9-cbefb8b677b3","Activity_4","","Activity"
"Hachinski Ischemic Scale","Hachinski","a828d50d-34fa-4f73-a9a8-58da54c4495b","Activity_5","","Activity"
"MMSE","MMSE","6e0de929-d4c5-45ec-8693-e1c6c626ce41","Activity_6","","Activity"
"Physical examination","Physical examination","5be1c677-913c-47b3-ac29-91a746a5e995","Activity_7","","Activity"
"Medical history","Medical history","3747605d-ce2a-425e-bce3-0b895f857036","Activity_8","","Activity"
"Habits","Habits","d5768a93-b560-4d61-b4fc-b73f49a9a92c","Activity_9","","Activity"
"Chest X-ray","Chest X-ray","830f3646-23a1-4e48-b68a-4ba835ab4eee","Activity_10","","Activity"
"Apo E genotyping","Apo E genotyping","1089ea80-632b-4eaa-ac54-c3eb67ba9561","Activity_11","","Activity"
"Patient randomised","Patient randomised","9214897a-9f86-4fde-aa93-4cea7695d4e7","Activity_12","","Activity"
"Vital Signs and Temperature","Vital signs / Temperature","5c25d350-c874-48f9-abfe-9d7872e73991","Activity_13","","Activity"
"Ambulatory ECG placed","Ambulatory ECG placed","cd1692a5-3b98-40e3-8651-e8160cc1df65","Activity_14","","Activity"
"Ambulatory ECG removed","Ambulatory ECG removed","9bbfed45-ac9c-4419-bbc9-a4fdfbed8c46","Activity_15","","Activity"
"ECG","ECG","a88bd842-6a06-4473-aaf1-5cbbb47bf7a5","Activity_16","","Activity"
"Placebo TTS test","Placebo TTS test","9f9ac79e-d923-4a8d-bfd2-0308148f1f0d","Activity_17","","Activity"
"CT scan","CT scan","cc849113-2cc3-4a46-b2b2-8ff4cc3ef9c2","Activity_18","","Activity"
"Concomitant medications","Concomitant medications","8860f6bb-99ab-4600-a65b-ed2e8b26f2a0","Activity_19","","Activity"
"Hematology","Hematology","11cbaae0-ba87-46d0-b333-52328b6823c6","Activity_20","","Activity"
"Chemistry","Chemistry","088eea3e-447d-4a25-b572-dbca951df0d4","Activity_21","","Activity"
"Uninalysis","Uninalysis","5e0d7d13-a5fd-4245-89a2-bd0731598a77","Activity_22","","Activity"
"Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","d11061b5-29e4-4306-b897-d900f5f0332a","Activity_23","","Activity"
"Hemoglobin A1C","Hemoglobin A1C","2debb98f-757d-40e5-862b-04c84c19e0ed","Activity_24","","Activity"
"Study drug record , Medications dispensed, Medications returned","Study drug","62388ac3-2dd3-4104-88aa-afc05dace7d6","Activity_25","","Activity"
"TTS Acceptability Survey","TTS Acceptability Survey","8a4e308e-b83a-4388-9d4f-ed89241c0ee8","Activity_26","","Activity"
"ADAS-Cog","ADAS-Cog","7e74a584-3745-4b49-a4ed-80652dacafea","Activity_27","","Activity"
"CIBIC+","CIBIC+","66f1344a-3511-457b-826e-6bd763b57a67","Activity_28","","Activity"
"DAD","DAD","77556b04-e40a-4c7b-ae35-e18c11b306bf","Activity_29","","Activity"
"NPI-X","NPI-X","26deecea-f0ec-4fa7-9cb9-4c78fe4b463a","Activity_30","","Activity"
"Adverse events","Adverse events","ede66060-0954-4000-abd4-8a42d57edd27","Activity_31","","Activity"
"Check adverse events","Check adverse events","c31b23ea-df3c-4391-a4ba-9d228c293a9d","Activity_32","","Activity"
"Subject supine","Supine","73bbd362-3d00-4471-a30a-4bd7bf6845ad","Activity_33","","Activity"
"Vital signs while supine","Vital Signs Supine","dfb9f49c-d070-469a-afb2-0d918368fed9","Activity_34","","Activity"
"Subject Standing","Stand","2c275ba5-6ba7-4fe2-98b0-756c3ea1ac93","Activity_35","","Activity"
"Vital signs while standing","Vital Signs Standing","9dfbab08-4bf1-4c63-8b3b-ae63aebc6268","Activity_36","","Activity"
