"label","name","uuid:ID","id","description","instanceType"
"Screen One","SCREEN1","96774931-a1de-4209-9b6a-4e9fc78a6b2f","ScheduledActivityInstance_9","-","ScheduledActivityInstance"
"Screen Two","SCREEN2","280da43b-3cfa-4e42-aa61-14462fb17b1d","ScheduledActivityInstance_10","-","ScheduledActivityInstance"
"Dose","DOSE","47888287-da50-4114-a6d0-c9e105033d44","ScheduledActivityInstance_11","-","ScheduledActivityInstance"
"Week 2","WK2","ac0ed6f7-c058-4b6e-8457-d5dd5556c476","ScheduledActivityInstance_12","-","ScheduledActivityInstance"
"Week 4","WK4","92e31b6b-c9be-4b88-aba9-e8816d6a23cb","ScheduledActivityInstance_13","-","ScheduledActivityInstance"
"Week 6","WK6","9fa2a695-d9d2-4be7-aa31-08146eea29b5","ScheduledActivityInstance_14","-","ScheduledActivityInstance"
"Week 8","WK8","36493f08-c713-454e-b8ea-5eea56fb17c1","ScheduledActivityInstance_15","-","ScheduledActivityInstance"
"Week NPI","WK8N","6a978eb1-23e0-464b-a040-1adf7f606a80","ScheduledActivityInstance_16","-","ScheduledActivityInstance"
"Week 12","WK12","2e3a4b27-3474-4e1b-a695-343b1bc8affb","ScheduledActivityInstance_17","-","ScheduledActivityInstance"
"Week 12 NPI","WK12N","1eb650bc-0bce-4496-a862-21d4820e6ed1","ScheduledActivityInstance_18","-","ScheduledActivityInstance"
"Week 16","WK16","6d8e9585-f948-410d-a771-65419c849f88","ScheduledActivityInstance_19","-","ScheduledActivityInstance"
"Week 16 NPI","WK16N","ba496f53-03d1-4f3e-aed9-afd2281c2cc4","ScheduledActivityInstance_20","-","ScheduledActivityInstance"
"Week 20","WK20","de1f8c33-a082-4efb-a740-4a74c06efb81","ScheduledActivityInstance_21","-","ScheduledActivityInstance"
"Week 20 NPI","WK20N","7115336f-4fd0-416f-84d5-dab7bd4190bd","ScheduledActivityInstance_22","-","ScheduledActivityInstance"
"Week 24","WK24","34672b80-314f-4d12-9db4-283d902bfdb7","ScheduledActivityInstance_23","-","ScheduledActivityInstance"
"Week 26","WK26","c99bda55-4062-4704-994c-298b91fe31e2","ScheduledActivityInstance_24","-","ScheduledActivityInstance"
"Adevers Event","AE","4505dc32-4e07-458e-9e62-f55a8d787191","ScheduledActivityInstance_1","-","ScheduledActivityInstance"
"Early Termination","ET","b2c3ce74-993b-4b4f-b4a1-1fdb5571ae67","ScheduledActivityInstance_2","-","ScheduledActivityInstance"
"5 minute supine","VS_5MIN","1aec36b6-f1ad-4b82-925e-b67e36ac7d80","ScheduledActivityInstance_3","","ScheduledActivityInstance"
"Vital signs supine","VS_SUPINE","1427091b-e08f-4b4b-ac6a-2285d55b5280","ScheduledActivityInstance_4","","ScheduledActivityInstance"
"1 minute standing","VS_1MIN","863af068-e00d-48f7-b502-6e635154dba1","ScheduledActivityInstance_5","","ScheduledActivityInstance"
"Vital signs after 1 min standing","VS_STAND1","42444129-d45f-4797-825e-7a86cb44532a","ScheduledActivityInstance_6","","ScheduledActivityInstance"
"2 minute standing","VS_2MIN","b559bd43-2631-4ba3-ad79-b800ae8abb15","ScheduledActivityInstance_7","","ScheduledActivityInstance"
"Vital signs after 3 min standing","VS_STAND3","dac3d565-b34b-42e7-a065-0a0be06b6fe1","ScheduledActivityInstance_8","","ScheduledActivityInstance"
