"name","uuid:ID","text","id","instanceType"
"ENCOUNTER_START_RULE_1","e43ee216-ca93-4e84-8112-c65104602117","Subject identifier","TransitionRule_1","TransitionRule"
"ENCOUNTER_START_RULE_1","f7999f38-a779-4704-961a-b605a773bae0","completion of screening activities","TransitionRule_2","TransitionRule"
"ENCOUNTER_START_RULE_2","5f67bc82-c935-4a9c-b68c-6fcf73f51c41","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule"
"ENCOUNTER_START_RULE_3","b9a62ee0-9a2d-4137-9b65-c41c482775ec","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule"
"ENCOUNTER_START_RULE_3","75fb5b96-9b59-4e64-b6aa-0a686140e87c","Radomized","TransitionRule_5","TransitionRule"
"ENCOUNTER_START_RULE_12","7be97dec-2bfe-4e31-a05c-23335da5bc6e","End of treatment","TransitionRule_6","TransitionRule"
"ELEMENT_START_RULE_1","3dce44df-e1e8-4074-be78-cea4a0d0224d","Informed consent","TransitionRule_7","TransitionRule"
"ELEMENT_END_RULE_1","03909c1d-a2de-48bb-a8dd-b31bd255b06b","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule"
"ELEMENT_START_RULE_2","e4fe37b6-f19e-4928-8225-b2656d4acadc","Administration of first dose","TransitionRule_9","TransitionRule"
"ELEMENT_START_RULE_7","289786b3-b031-4150-88a6-bb05e9c2cf2e","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule"
"ELEMENT_END_RULE_7","bae4b596-721b-4d70-9a47-cbe3a1f52a29","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule"
"ELEMENT_START_RULE_3","ca39fb9b-3431-4e26-84af-f80177b416d6","Administration of first dose","TransitionRule_10","TransitionRule"
"ELEMENT_START_RULE_4","2c2f6e8c-eb26-4b15-b4e8-ad13fa12a32f","Randomized","TransitionRule_11","TransitionRule"
"ELEMENT_START_RULE_5","9b0a9da4-fe81-4216-96d1-b57951be949c","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule"
"ELEMENT_START_RULE_6","a66be034-136f-48a8-b93c-4b007f14b9a4","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule"
