"label","name","uuid:ID","text","id","description","instanceType","purpose"
"","END1","92aa854f-3559-4fa9-8ca1-5c7e7c0bbbce","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","","Endpoint",""
"","END2","1bf7e0ff-4a58-4015-b202-d2c3103520bf","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","","Endpoint",""
"","END3","961adf06-2f7c-4071-bdd5-2a371730cbbe","Adverse events","Endpoint_3","","Endpoint",""
"","END4","15a531dd-a38f-47eb-b0c7-936c39f3da04","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","","Endpoint",""
"","END5","b05a1c36-afc4-4706-a1eb-21f51e072eb3","Laboratory evaluations (Change from Baseline)","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint",""
"","END6","7d021cc7-d544-4a2e-b760-b52105cdbcbe","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","","Endpoint",""
"","END7","48dcc6c4-c3ec-4d78-8331-34de1ff284b4","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","","Endpoint",""
"","END8","213444b2-0069-49d2-806b-633577cbd775","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","","Endpoint",""
"","END9","1ac2b694-6e30-4376-8ab3-4c219d7b74db","*** To be determined from protocol ***","Endpoint_9","","Endpoint",""
"","END10","8fa59a1f-48ce-4542-b914-fe647c19a008","*** To be determined from protocol ***","Endpoint_10","","Endpoint",""
"","END11","2394c1e4-6ae5-41df-a4e2-2f148cc712d4","*** To be determined from protocol ***","Endpoint_11","","Endpoint",""
