"label","name","windowLabel","uuid:ID","windowLower","id","valueLabel","windowUpper","value","description","instanceType"
"Screening","TIM1","","72fee0f2-51a4-4d86-b448-13bebeb4e77b","","Timing_1","2 weeks","","P2W","Screening timing","Timing"
"Pre dose","TIM2","-4..0 hours","a5dea9e6-fc6f-4e85-8d5d-d0f76dd295ba","PT4H","Timing_2","2 days","PT0H","P2D","Pre dose timing","Timing"
"Dosing","TIM3","","9f0b9d02-01c1-4029-9fc8-829f5ae51d8b","","Timing_3","1 Day","","P1D","Dosing anchor","Timing"
"Week 2","TIM4","-3..3 days","787d8e66-a394-461b-92c7-424345aa4b41","P3D","Timing_4","2 Weeks","P3D","P2W","Week 2 timing","Timing"
"Week 4","TIM5","-3..3 days","2f731c16-e5b5-4e6b-904b-c28c9f21424a","P3D","Timing_5","4 Weeks","P3D","P4W","Week 4 timing","Timing"
"Week 6","TIM6","-3..3 days","65b752c7-4dee-44db-bc37-b7781307ed43","P3D","Timing_6","6 Weeks","P3D","P6W","Week 6 timing","Timing"
"Week 8","TIM7","-3..3 days","5dff4f1c-5df4-49f5-b20c-049e2a2c265c","P3D","Timing_7","8 Weeks","P3D","P8W","Week 8 timing","Timing"
"Week 12","TIM9","-4..4 days","2e795e4d-bdc0-4a31-930d-84e4226b62c9","P4D","Timing_9","12 Weeks","P4D","P12W","Week 12 timing","Timing"
"Week 16","TIM11","-4..4 days","11274e25-9312-45d7-9b71-7400caa2986e","P4D","Timing_11","16 Weeks","P4D","P16W","Week 16 timing","Timing"
"Week 20","TIM13","-4..4 days","678f2447-b46c-4855-b5b6-bde6fce44f89","P4D","Timing_13","20 Weeks","P4D","P20W","Week 20 timing","Timing"
"Week 24","TIM15","-4..4 days","0a9739e7-d320-4106-8a4b-76d3d0148e82","P4D","Timing_15","24 Weeks","P4D","P24W","Week 24 timing","Timing"
"Week 26","TIM16","-3..3 days","6303b978-0ad1-4657-a5d6-dd4b719123e4","P3D","Timing_16","26 Weeks","P3D","P26W","Week 26 timing","Timing"
"Week 8 Home","TIM8","","f5f8fa10-c8b3-4aac-99f0-8787c7e02f7f","","Timing_8","2 Weeks","","P2W","Week 8 at home timing","Timing"
"Week 12 Home","TIM10","","74f90008-5404-4b24-8f50-8208ae3badf0","","Timing_10","2 Weeks","","P2W","Week 12 at home timing","Timing"
"Week 16 Home","TIM12","","64b52e03-78fe-4f72-888a-43879b015744","","Timing_12","2 Weeks","","P2W","Week 16 at home timing","Timing"
"Week 20 Home","TIM14","","2392f8ac-56f0-41da-a9f4-cf5b9f599075","","Timing_14","2 Weeks","","P2W","Week 20 at home timing","Timing"
"Adverse Event","TIM17","","9b39ab5f-5c0b-4a05-97ab-4a62bb6465cd","","Timing_17","1 Day","","P1D","Adverse Event","Timing"
"Early Termination","TIM18","","472af547-f1b9-44c6-a357-10cf8d5ac9a1","","Timing_18","1 Day","","P1D","Early Termination","Timing"
"Supine","TIM19","","3a00888f-d6a8-4a49-bf07-44e198068847","","Timing_19","0 mins","","PT0M","Supine","Timing"
"VS while supine","TIM20","","5a07e04c-7fe5-4dcd-9e3d-daa6249d72b1","","Timing_20","5 mins","","PT5M","VS while supine","Timing"
"Standing","TIM21","","dfc2f2f7-1dbf-41e7-a340-6241acad90b9","","Timing_21","0 min","","PT0M","Standing","Timing"
"VS while standing","TIM22","","a45223ca-04e7-4cb4-bb3b-eedd41db7c19","","Timing_22","1 min","","PT1M","VS while standing","Timing"
"Standing","TIM23","","1fb87377-9636-4700-b322-2f2dcfd42942","","Timing_23","0 min","","PT0M","Standing","Timing"
"VS while standing","TIM24","","0e983c93-fcc0-4b3e-8529-067a294fab05","","Timing_24","2 min","","PT2M","VS while standing","Timing"
