"instanceType","id","text","uuid:ID","name"
"TransitionRule","TransitionRule_1","Study Start","267184dd-bd5a-427d-931c-89473614f48d","ELEMENT_START_RULE_1"
"TransitionRule","TransitionRule_2","Day -1 of treatment period 1","36434483-f484-4682-bb38-191d4b630ec4","ELEMENT_END_RULE_1"
"TransitionRule","TransitionRule_3","Day -1 of treatment period","bd829691-1b37-4c36-81ee-2d7726681459","ELEMENT_START_RULE_2"
"TransitionRule","TransitionRule_4","End of Day 1 of treatment period","887875d4-40f3-4e02-bb6e-0578e85a9dc6","ELEMENT_END_RULE_2"
"TransitionRule","TransitionRule_7","End of Day 1 of Treatment period 1","8a8df3df-d527-4ad6-be32-73c049abfcde","ELEMENT_START_RULE_4"
"TransitionRule","TransitionRule_8","Day -1 of treatment period 2","cfadcc19-69df-4fa9-b4af-9ad0a1c020af","ELEMENT_END_RULE_4"
"TransitionRule","TransitionRule_5","Day -1 of treatment period","91e84c8e-736c-4d44-841b-313325b0c412","ELEMENT_START_RULE_3"
"TransitionRule","TransitionRule_6","End of Day 1 of treatment period","2ea82171-f6b1-4b73-b0c6-bbab3728dd39","ELEMENT_END_RULE_3"
"TransitionRule","TransitionRule_9","End of Day 1 of Treatment period 2","d240798e-a4fd-4ab9-887c-b51f26cba8c2","ELEMENT_START_RULE_5"
"TransitionRule","TransitionRule_10","Leave Study","cc679948-c855-489c-aa91-a738c9f3be2c","ELEMENT_END_RULE_5"
