"instanceType","id","reference","description","label","uuid:ID","name"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_2","None set","Informed Consent Obtained","Informed Consent Obtained","4fe3f177-839d-4353-bc08-eff5f73b2ff4","Informed Consent Obtained"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_3","None set","Medical History Free Text Format","Medical History Free Text Format","624c5f70-ece2-4ad0-8cf8-f80e472e9e8d","Medical History Free Text Format"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_4","None set","Weight","Weight","f5f6a490-1966-4d03-8f8d-7b9c923dc981","Weight"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_5","None set","Height","Height","1a70375c-bce5-4d8a-affd-1759d6da580e","Height"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_6","None set","Concomitant Medication Free Text Format","Concomitant Medication Free Text Format","2b20a947-62c5-4ea8-b59e-53262d002571","Concomitant Medication Free Text Format"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_7","None set","SYSBP","SYSBP","b450298c-3d48-495f-83ab-84cd29b2d65c","SYSBP"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_8","None set","DIABP","DIABP","eb9e7e74-f97d-45df-b3c1-576f056e683a","DIABP"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_9","None set","Hepatitis B surface antigen","Hepatitis B surface antigen","5c3ced81-1f0e-4b18-8563-b5e759f9df9d","Hepatitis B surface antigen"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_10","None set","Hepatitis C antibody","Hepatitis C antibody","8fd369cb-821b-4164-90a1-2214afb850cd","Hepatitis C antibody"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_11","None set","HIV","HIV","1d8bd54b-c8b4-4339-820b-ccfca98cb6f8","HIV"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_12","None set","Syphilis","Syphilis","5d95c618-4240-42dc-9dd8-1f778fcb4464","Syphilis"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_13","None set","Hematocrit","Hematocrit","d6bf3bf1-2e6e-4251-b174-cfb4d6d48d00","Hematocrit"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_14","None set","Hemoglobin","Hemoglobin","a2d4fa8e-9683-4ccd-95c0-6a19ead5e714","Hemoglobin"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_15","None set","Erythrocyte count (RBC)","Erythrocyte count (RBC)","ace013d9-1699-435e-8209-fcfc78f17f39","Erythrocyte count (RBC)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_16","None set","Mean cell volume","Mean cell volume","5e29662d-7d85-440d-80fb-e795b7c1ca0c","Mean cell volume"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_17","None set","Mean cell hemoglobin","Mean cell hemoglobin","6128f4cd-1931-4a70-ad65-b5bb2e496cb3","Mean cell hemoglobin"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_18","None set","Mean cell hemoglobin concentration","Mean cell hemoglobin concentration","0ccd52d9-d5ba-44a1-b6ab-89a7565cc855","Mean cell hemoglobin concentration"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_19","None set","Platelets","Platelets","8f4d37ab-f7ab-4c54-956f-c04d8cb81511","Platelets"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_20","None set","Leukocytes (WBC)","Leukocytes (WBC)","258a1d22-1a1d-4f73-a978-f942ea54cbe1","Leukocytes (WBC)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_21","None set","Cell morphology","Cell morphology","11a53d1a-2235-485d-8d6f-efac32b02ba0","Cell morphology"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_22","None set","Neutrophils","Neutrophils","1bc7a71e-e2c1-483e-9212-63a5b077767b","Neutrophils"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_23","None set","Lymphocytes","Lymphocytes","8416bdfa-d0be-4c3e-9f19-8fc1bcd65182","Lymphocytes"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_24","None set","Monocytes","Monocytes","9fa0a582-8d07-4d9c-936a-9514df1e2048","Monocytes"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_25","None set","Eosinophils","Eosinophils","7f23086c-f91a-4fd7-b42d-0e892aed67f2","Eosinophils"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_26","None set","Basophils","Basophils","5ad9800c-c518-4570-9bd3-06d896964bf2","Basophils"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_27","None set","Sodium","Sodium","a4fee64f-cbd8-4199-80aa-3af4d20a782c","Sodium"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_28","None set","Potassium","Potassium","9c5463cb-b5c9-4834-b151-3b343115429b","Potassium"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_29","None set","Chloride","Chloride","3529a297-2c0d-4536-be5b-6533f81d9733","Chloride"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_30","None set","Calcium","Calcium","0d442d95-3308-413b-881d-b859639dbc8b","Calcium"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_31","None set","Phosphorus","Phosphorus","df36169f-f92f-4a72-b29b-954ab3b8a7c3","Phosphorus"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_32","None set","Plasma Glucose","Plasma Glucose","8e1b14d7-3906-47e9-85dc-10ff0f12ddbe","Plasma Glucose"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_33","None set","Blood urea nitrogen (BUN)","Blood urea nitrogen (BUN)","85891185-2d25-45b7-9ee0-74bebede93ef","Blood urea nitrogen (BUN)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_34","None set","Uric acid","Uric acid","0efec3a4-15ed-424b-97a0-73bf5f7f4488","Uric acid"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_35","None set","Total cholesterol","Total cholesterol","c9a40037-3d51-4d38-a23d-ab4d2600b3b7","Total cholesterol"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_36","None set","Total protein","Total protein","5613d3e8-49c8-4a83-ac1f-c429c0bb5662","Total protein"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_37","None set","Albumin","Albumin","7adff18a-8e8f-47d6-ac8b-674cb7c3c860","Albumin"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_38","None set","Total bilirubin","Total bilirubin","61144a15-fccb-471d-af87-c2d51217d30a","Total bilirubin"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_39","None set","Alkaline phosphatase (ALP)","Alkaline phosphatase (ALP)","1efab86c-0e45-4137-9ff0-2a21e9b911da","Alkaline phosphatase (ALP)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_40","None set","Aspartate aminotransferase (AST)","Aspartate aminotransferase (AST)","3ae3c5d9-ef3b-4fa2-beba-ba70f3681482","Aspartate aminotransferase (AST)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_41","None set","Alanine aminotransferase (ALT)","Alanine aminotransferase (ALT)","58149e04-03da-430a-abb3-9ad7e04a449e","Alanine aminotransferase (ALT)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_42","None set","Creatinine","Creatinine","95e9181a-42fe-41d4-9dcf-cb9a5012984e","Creatinine"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_43","None set","Urinalysisa Gamma-glutamyl transferase (GGT)","Urinalysisa Gamma-glutamyl transferase (GGT)","0a3cac07-c4b2-4e82-8e0b-71b95d5614bf","Urinalysisa Gamma-glutamyl transferase (GGT)"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_44","None set","Insulin","Insulin","41bc2e73-96d3-40e3-8514-47efa8018288","Insulin"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_45","None set","Specific gravity","Specific gravity","d47a7f08-e75a-4f1b-a968-ec987bdf3dcf","Specific gravity"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_46","None set","pH","pH","c1317f50-5349-42b5-b8bf-c2888460a583","pH"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_47","None set","Protein","Protein","c33e9393-43c7-48a6-a6ae-2e665ba9df06","Protein"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_48","None set","Glucose","Glucose","d0ba2fbb-913f-49c0-8b99-6695ff2e37ef","Glucose"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_49","None set","Ketones","Ketones","74dc0639-1966-463b-9eab-a249935d9188","Ketones"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_50","None set","Bilirubin","Bilirubin","83e7f432-2799-498f-8a55-9bf7aa2160e8","Bilirubin"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_51","None set","Urobilinogen","Urobilinogen","670ed8d2-e2c9-4f4c-88b7-62d8bbe0a525","Urobilinogen"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_52","None set","Blood","Blood","ae6a8e05-f38e-4aa1-a9e6-140c48ebeb5d","Blood"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_53","None set","Nitrite","Nitrite","5aecf51e-606d-4697-b24d-660e1d8e9280","Nitrite"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_54","None set","HbA1c","HbA1c","c8ad15a4-0d79-4eb9-a6fb-948acb13bf58","HbA1c"
"BiomedicalConceptSurrogate","BiomedicalConceptSurrogate_1","None set","Weight","Weight","b573591a-e303-40e1-901d-fb4447b7449a","Weight"
