"instanceType","id","value","windowUpper","description","window","windowLower","label","uuid:ID","name"
"Timing","Timing_1","P28D","P26D","Screening visit timing","0..26 Days","P0D","-28 Days","5bca7b88-13ff-475a-bbee-0c336a6a8501","TIMING_1"
"Timing","Timing_2","P1D","","Period 1, Day Minus 1 timing","","","-1 Day","87e52488-665e-4866-93de-40796dfef00b","TIMING_2"
"Timing","Timing_3","PT0M","","Period 1, Radomisation timing","","","Radomisation","4db54458-72ee-4cc2-89ea-1a6254226c19","TIMING_3"
"Timing","Timing_4","PT0M","","Period 1, Pre infusion timing","","","Pre infusion","6dae0f70-47e0-4b17-bf1f-341aae17031c","TIMING_4"
"Timing","Timing_5","PT0M","","Period 1, Infusion timing","","","Infusion","42ec3116-974e-4349-bab6-042292325e08","TIMING_5"
"Timing","Timing_6","P1D","","Period 1, Treatment anchor","","","Day 1","563b822e-56e3-46aa-a036-ec1425437b81","TIMING_6"
"Timing","Timing_7","PT0M","","Period 1, Discharge timing","","","Discharge","d193eb5c-426f-420a-beb3-bb82b14feaef","TIMING_7"
"Timing","Timing_8","P3D","P11D","Washout timing","0.. 11 Days","P0D","Washout","97ee5b71-c823-47e2-86c3-b4042c27e548","TIMING_8"
"Timing","Timing_9","P0D","","Period 2, Day Minus 1 timing","","","-1 Day","68f066f1-b9ea-4edd-a5fb-d2913d1b412f","TIMING_9"
"Timing","Timing_10","P1D","","Period 2, Pre infusion timing","","","Pre infusion","1c38dde8-3f20-4f8a-931c-9b6b3d999542","TIMING_10"
"Timing","Timing_11","PT0M","","Period 2, Infusion timing","","","Infusion","5c175770-eea0-4f2d-9902-47d002ba6d07","TIMING_11"
"Timing","Timing_12","PT0M","","Period 2, Treatment anchor","","","Day 1","75297722-dd55-4ce4-b00e-d0284b63d502","TIMING_12"
"Timing","Timing_13","PT0M","","Period 2, Discharge timing","","","Discharge","d25232aa-da90-48a5-9f87-543c9ed8c181","TIMING_13"
"Timing","Timing_14","P28D","P2D","Follow Up timing","2..2 Days","P2D","Follow up","44ba411d-1439-44c6-a26c-2a94da8c43ce","TIMING_14"
"Timing","Timing_15","P1D","","Additional Follow Up timing","","","Additional Follow Up","7c2b3226-b700-4430-9e29-ab9725541a09","TIMING_15"
"Timing","Timing_31","PT0M","","Pre Hypoglycemia Induction timing","","","Pre Hypoglycemia Induction","f9ff8316-964e-45c0-95b9-0e0509df5397","TIMING_31"
"Timing","Timing_32","PT30M","","30 min before timing","","","30 min before","f66ad1d1-f5b3-4a48-a734-7e9b606dfc17","TIMING_32"
"Timing","Timing_33","PT15M","","15 min before timing","","","15 min before","8bc63794-f65b-4cc8-86d6-eb140639ada6","TIMING_33"
"Timing","Timing_34","PT0M","","Hypoglycemia Induction timing","","","Hypoglycemia Induction","d13aecd0-c7b9-48c2-b516-9a77d1931f27","TIMING_34"
"Timing","Timing_35","PT0M","","Hypoglycemia Induction complete timing","","","Hypoglycemia Induction finished","b1f48229-152b-4bd5-9cd7-1de0ef9ad938","TIMING_36"
"Timing","Timing_16","PT0M","","Pre Dose timing","","","Pre Dose","251c0697-a042-42e1-9699-6a1e8d65d605","TIMING_16"
"Timing","Timing_17","PT0M","","Dose Timing","","","Dose","898af9ed-b95c-4ba6-84db-1e8547145658","TIMING_17"
"Timing","Timing_18","PT5M","","5 min","","","5 min","e73bd9e9-bfad-4bde-91c6-d8763bd34f48","TIMING_18"
"Timing","Timing_19","PT10M","","10 min","","","10 min","254f701d-d68e-4563-b40f-4cdb36b94a73","TIMING_19"
"Timing","Timing_20","PT15M","","15 min","","","15 min","b8b1229a-aff1-4d88-90ea-975c7b373f48","TIMING_20"
"Timing","Timing_21","PT20M","","20 min","","","20 min","30e76d3a-071e-4de7-a723-5b508c6ecb37","TIMING_21"
"Timing","Timing_22","PT25M","","25 min","","","25 min","1fdad5e3-09c7-44d4-80d2-5bfbd0d3d656","TIMING_22"
"Timing","Timing_23","PT30M","","30 min","","","30 min","ed802e2d-552e-4ad4-af9c-8782c35c472b","TIMING_23"
"Timing","Timing_24","PT40M","","40 min","","","40 min","bbc1d200-5824-4464-ad70-0c6384aed3db","TIMING_24"
"Timing","Timing_25","PT50M","","50min","","","50min","32bd9fee-e596-4887-a66f-6cfaee235ee8","TIMING_25"
"Timing","Timing_26","PT60M","","60min","","","60min","e6c3bb84-cdf3-4fd2-bd58-16711275e549","TIMING_26"
"Timing","Timing_27","PT90M","","90 min","","","90 min","e4cefab2-2039-416a-8b05-539a39f7cf86","TIMING_27"
"Timing","Timing_28","PT120M","","120 min","","","120 min","91ab87bf-0fc5-4ff0-90e2-f4d139eb9b73","TIMING_28"
"Timing","Timing_29","PT240M","","240 min","","","240 min","25dc399d-f700-4248-9fc1-beffd5a3f12a","TIMING_29"
"Timing","Timing_30","PT0M","","Meal Timing","","","Meal","a8d0b57d-1f28-48db-90d5-05282d268b65","TIMING_30"
