"instanceType","id","text","description","identifier","label","uuid:ID","name"
"EligibilityCriterion","EligibilityCriterion_1","<p>have had a diagnosis of either:</p>
<ul>
  <li>
    <p>[1a] T1DM based on the World Health Organization (WHO) diagnostic criteria, and have been on the following daily insulin therapy for at least 1 year</p>
    <ul>
      <p>[A] multiple daily injection of long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) and rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine), or</p>
      <p>[B] continuous subcutaneous insulin infusion (CSII)</p>    
    </ul>
  </li>
  <p>Or</p>
  <li>
    <p>[1b] T2DM based on the WHO diagnostic criteria, and have received the</p>
    <p>following daily insulin therapy with or without oral anti-hyperglycemic medications (OAMs) for at least 1 year</p>
    <ul>
      <p>[A] insulin: long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) alone, or in combination with rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine) or CSII</p>
      <p>[B] OAM: up to 3 of the following OAMs in accordance with local regulations: metformin, dipeptidyl peptidase-4 inhibitor, sodium glucose cotransporter 2 inhibitor, sulfonylurea (should not be more than half of maximum approved doses), glinides, alpha-glucosidase inhibitor, or thiazolidine</p>
    </ul>
  </li>
</ul>","","1","","05d16117-acd6-4ee6-92d9-7f46cc29538b","INC1"
"EligibilityCriterion","EligibilityCriterion_2","<p>male patients: agree to use an effective method of contraception for the duration of the study and for 28 days following the last study treatment</p>","Male contraception critierion","2","","7ff40824-d20b-437d-847d-1b8cb3096a45","INC2"
"EligibilityCriterion","EligibilityCriterion_3","<ul>
  <li>
    [3a] women of childbearing potential who are abstinent (if this is complete
    abstinence, as their preferred and usual lifestyle) or in a same sex
    relationship (as part of their preferred and usual lifestyle) must agree to
    either remain abstinent or stay in a same sex relationship without sexual
    relationships with males. Periodic abstinence (eg, calendar, ovulation,
    symptothermal, post-ovulation methods), declaration of abstinence just for
    the duration of a trial, and withdrawal are not acceptable methods of
    contraception.
  </li>
  <li>
    [3b] otherwise, women of childbearing potential participating must agree to use
    one highly effective method (less than 1% failure rate) of contraception, or a
    combination of 2 effective methods of contraception for the entirety of the
    study.
    <ul>
      <li>[A] women of childbearing potential participating must test negative for
        pregnancy prior to initiation of treatment as indicated by a negative serum
        pregnancy test at the screening visit followed by a negative urine
        pregnancy test within 24 hours prior to exposure.</li>
      <li>[B] either one highly effective method of contraception or a combination
        of 2 effective methods of contraception will be used. The patient may
        choose to use a double barrier method of contraception. Barrier protection
        methods without concomitant use of a spermicide are not a reliable or
        acceptable method. Thus, each barrier method must include use of a
        spermicide. It should be noted that the use of male and female condoms
        as a double barrier method is not considered acceptable due to the high
        failure rate when these methods are combined.</li>
    </ul>
  </li>
  <li>
    [3c] women not of childbearing potential may participate, and include those who are:
    <ul>
      <li>
        [A] infertile due to surgical sterilization (hysterectomy, bilateral
        oophorectomy, or tubal ligation), congenital anomaly such as mullerian
        agenesis
      </li>
      <li>
        Or
        [B] postmenopausal, defined as either:
        <ul>
          <li>[i] a woman at least 50 years of age with an intact uterus, not on hormone therapy, who has had either:
          </li>
          <ul>
            <li>[a] cessation of menses for at least 1 year, or</li>
            <li>[b] at least 6 months of spontaneous amenorrhea with a follicle-stimulating hormone >40 mIU/mL; or</li>
          </ul>
          <li>[ii] a woman 55 or older not on hormone therapy, who has had at least 6 months of spontaneous amenorrhea,
            or</li>
          <li>[iii] a woman at least 55 years of age with a diagnosis of menopause prior to starting hormone replacement
            therapy</li>
        </ul>
      </li>
    </ul>
  </li>
</ul>","Female contraception criterion","3","","ff6dc785-900d-434e-9acb-e7f07ffd71d1","INC3"
"EligibilityCriterion","EligibilityCriterion_4","<p>are between 18 and 64 years old for T1DM, or between 20 and 70 years old for T2DM at the time of informed consent</p>","Age critierion","4","","13fe5f65-da65-40e9-b02c-003c13c967de","INC4"
"EligibilityCriterion","EligibilityCriterion_5","<p>have a body mass index of 18.5 to 30.0 kg/m 2 for T1DM, or 18.5 to 35.0 kg/m 2 for T2DM at the time of screening</p>","Weight critierion","5","","1117c0aa-167e-46e4-ae12-e7b8df527351","INC5"
"EligibilityCriterion","EligibilityCriterion_6","<p>have a hemoglobin A1c value ≤10% at the time of screening</p>","A1c critierion","6","","859aa3f6-3a8a-49a5-bdb0-6851b3a5157c","INC6"
"EligibilityCriterion","EligibilityCriterion_7","<p>have clinical laboratory test results within normal reference range (except for glycemic parameters) for the population or investigative site, or results with acceptable deviations that are judged to be not clinically significant by the investigator</p>","Labs critierion","7","","bb98f8d4-9bd3-4834-9a3b-3480c0119abc","INC7"
"EligibilityCriterion","EligibilityCriterion_8","<p>have venous access sufficient to allow for blood sampling and administration of insulin for IV administration as per the protocol</p>","Venous critierion","8","","ac544ff7-d6ca-4848-b94f-b42236bbb082","INC8"
"EligibilityCriterion","EligibilityCriterion_9","<p>are reliable and willing to make themselves available for the duration of the study and are willing to follow study procedures</p>","Availability critierion","9","","9d6eb848-20d7-4d96-b2db-bc81bb2476b0","INC9"
"EligibilityCriterion","EligibilityCriterion_10","<p>are able and willing to give signed informed consent</p>","IC critierion","10","","037729d3-7bd6-43aa-8e65-f0374a2549a1","INC10"
