"id","uuid:ID","reference","instanceType","name","synonyms","label"
"BiomedicalConcept_20","610180a9-5f59-4a4a-b764-0634de7d2e18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature"
"BiomedicalConcept_21","9dc1307b-7050-44bf-9d6b-f3c3e74c6d1c","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight","['Weight']","Body Weight"
"BiomedicalConcept_22","2488ba71-faf1-4813-bdd2-74d5daa97fa2","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height","['Height']","Body Height"
"BiomedicalConcept_23","36e13896-6921-473a-a20e-aca31add0f5e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept_24","9e29895c-e2db-4eef-8eba-a00ef7233295","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement"
"BiomedicalConcept_25","24909900-5d26-457c-b67b-98c58c31b965","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept_26","5c353750-f756-4cf9-8055-995cd68439ee","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_27","27134236-49a9-47d5-9ce2-fdce19e43446","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept_28","2056f1a5-ceab-43a0-b5d2-af91fd2d3e62","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept_29","c8428fb0-f5f5-41ba-89ac-bc06a7a0f183","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept_1","d25a15bf-68a6-4d8f-bea4-3ae807cf6284","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event"
"BiomedicalConcept_2","12efad3b-57ae-4733-9eb8-1e4a5d913fd1","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_3","d5059daa-2f3b-4ead-ba6a-87aa373388bc","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_4","05f556bf-4680-419b-ae98-99be264e0099","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature"
"BiomedicalConcept_5","97931652-6f93-4696-ae78-7996cdda6e2b","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight","['Weight']","Body Weight"
"BiomedicalConcept_6","e38cd53e-fede-42dc-b569-e7b679903a37","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height","['Height']","Body Height"
"BiomedicalConcept_7","1a8903c0-7174-4f93-96d7-ef22e0bd0c7c","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","87083464-312c-4da7-b923-ce70e611fb5c","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement"
"BiomedicalConcept_9","db60dd2c-6043-41de-9c0b-0edfe9655c49","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","48b50592-6dd6-4eb5-bfd6-71f7beaac0dc","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_11","aa62ca8c-2e40-410d-9724-8f3a291dd487","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept_12","ddf14276-c8bd-40b9-bb34-015eca997f9d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept_13","68257a83-6364-4740-b3c6-d90e239816a2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept_14","5c4d82c1-a299-4923-bc13-550c3b581d72","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_15","7645d8a9-d13d-4bbc-bbe7-79aa63596f46","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_16","a86c597b-ced1-4f58-bd80-287d99b54fd9","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate","","Heart Rate"
"BiomedicalConcept_17","cecc8a68-4021-4976-88be-c8f0cce2f237","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_18","b4d60907-93b4-425b-9921-541c7d024c6c","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_19","4240e431-87e4-417d-9163-91c36e894cfb","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate","","Heart Rate"
