"isRequired","id","uuid:ID","instanceType","isEnabled","name","datatype","label"
"True","BiomedicalConceptProperty_98","055466c3-48b6-4031-914f-be065d3c1668","BiomedicalConceptProperty","True","Vital Signs Result","decimal","Vital Signs Result"
"True","BiomedicalConceptProperty_99","55fe266a-11b3-4ac1-923f-ad1f1fcd1bc8","BiomedicalConceptProperty","True","Unit of Temperature","string","Unit of Temperature"
"True","BiomedicalConceptProperty_100","981e68ce-0fef-4457-b5a1-e40ddcdb4dd4","BiomedicalConceptProperty","True","Vital Signs Location","string","Vital Signs Location"
"True","BiomedicalConceptProperty_101","bdb2967b-5899-408e-8aab-28c758c33da3","BiomedicalConceptProperty","True","Vital Signs Result","decimal","Vital Signs Result"
"True","BiomedicalConceptProperty_102","9d7d2fe6-8852-4a27-8e86-ccdc98ce8ef1","BiomedicalConceptProperty","True","Unit of Weight","string","Unit of Weight"
"True","BiomedicalConceptProperty_103","ad34d985-29e7-4d09-bd14-f420264f35a4","BiomedicalConceptProperty","True","Vital Signs Result","decimal","Vital Signs Result"
"True","BiomedicalConceptProperty_104","c58253cd-d08d-49d1-927c-4d532f989cc1","BiomedicalConceptProperty","True","Unit of Height","string","Unit of Height"
"True","BiomedicalConceptProperty_105","51138c33-dce7-41e9-a58f-522ff752cd42","BiomedicalConceptProperty","True","Laboratory Test Result","decimal","Laboratory Test Result"
"True","BiomedicalConceptProperty_106","7051474b-d83e-4c75-a485-4111ea5e7194","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status"
"True","BiomedicalConceptProperty_107","0112e4b8-f3fd-4aaf-8c3e-e2c05455c1c0","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","string","Unit of Catalytic Activity Concentration"
"True","BiomedicalConceptProperty_108","9d32daeb-315d-4657-b37c-bae2b29813fd","BiomedicalConceptProperty","True","Biospecimen Type","string","Biospecimen Type"
"True","BiomedicalConceptProperty_109","a6c21c64-c0aa-4a9f-8e95-3c65a14ed447","BiomedicalConceptProperty","True","Laboratory Test Result","string","Laboratory Test Result"
"True","BiomedicalConceptProperty_110","da447c0f-f358-49ce-aa64-aa6ecc9ff1d5","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status"
"True","BiomedicalConceptProperty_111","b9877ea0-5f83-4b43-a706-b96e3640f80f","BiomedicalConceptProperty","True","Unit of Concentration","string","Unit of Concentration"
"True","BiomedicalConceptProperty_112","253bfc5c-2ee3-4a99-b79b-0a6da3ef7416","BiomedicalConceptProperty","True","Biospecimen Type","string","Biospecimen Type"
"True","BiomedicalConceptProperty_113","a4d580f5-d019-4e0e-9bfa-a5e2ba0e85d2","BiomedicalConceptProperty","True","Laboratory Test Result","decimal","Laboratory Test Result"
"True","BiomedicalConceptProperty_114","2b506f4f-2602-4963-b995-cb9eaa8c0518","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status"
