"id","uuid:ID","instanceType","name","text"
"TransitionRule_1","26338a3b-61dd-4366-8ac2-1542f3a89536","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","6e986f5c-0eff-436a-b4f1-495c4e6f5574","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","c58ab59b-aa41-4267-a50d-2edcbe780ea3","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","68a99da3-28aa-49e1-928c-072196479874","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","2c0ac046-f260-4704-815c-b148638fab25","TransitionRule","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","521fb7da-2d14-403c-a344-bd8bce52ba16","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","41bdb3ad-000b-4f23-8c20-034c9f5d3d6c","TransitionRule","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","7383950c-0160-421a-b372-f078b49e97f4","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","025ab04a-4824-479b-8d49-b664664a2a42","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","1b7e96ed-3007-48e0-b549-3ca4a1174356","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","b328cf5f-e91f-41d4-b9cd-6647ac68965e","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","e7b86611-72fb-4593-a89a-1092cf42073d","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","2297dcce-44fd-4b36-b338-0f686c7326c5","TransitionRule","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","a26f4c0d-590d-42fc-a3bf-d945c23484ac","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","2401831b-3da7-431f-bb0c-44e0146b8c97","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
