"id","uuid:ID","instanceType","sectionTitle","sectionNumber","name","text"
"NarrativeContent_1","2d8caf7f-1ffc-4803-a759-de621ed52754","NarrativeContent","Root","0","ROOT",""
"NarrativeContent_2","0188503b-39f3-479b-91b0-f17ba69bd056","NarrativeContent","TITLE PAGE","0","SECTION 0","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","ba828184-2dce-4dd2-a1c7-c5d5e4b3455f","NarrativeContent","PROTOCOL SUMMARY","1","SECTION 1","<div></div>"
"NarrativeContent_4","2ac478d1-64ac-48cd-8a0f-d3b922f12b45","NarrativeContent","Protocol Synopsis","1.1","SECTION 1.1","<div></div>"
"NarrativeContent_5","c06e7e1f-1917-47d8-824a-4322be8b371f","NarrativeContent","Trial Schema","1.2","SECTION 1.2","<div></div>"
"NarrativeContent_6","cbf5b59c-5cbf-41a9-b533-45c982494d3a","NarrativeContent","Schedule of Activities","1.3","SECTION 1.3","<div></div>"
"NarrativeContent_7","8991a3c2-b264-438d-a9e8-da61c0c4ba90","NarrativeContent","INTRODUCTION","2","SECTION 2","<div></div>"
"NarrativeContent_8","d01a3825-29df-4fb4-987b-137f88f670c3","NarrativeContent","Purpose of Trial","2.1","SECTION 2.1","<div></div>"
"NarrativeContent_9","1a73f822-254f-47e7-8544-eb817c0e426d","NarrativeContent","Summary of Benefits and Risks","2.2","SECTION 2.2","<div></div>"
"NarrativeContent_10","09c70caf-a7a1-4688-9d10-3ecb765516b5","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","SECTION 3","<div></div>"
"NarrativeContent_11","fa83ff24-021c-42f3-be21-6fd222a9f5f4","NarrativeContent","Primary Objectives","3.1","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","0a5bae10-17d9-4b88-8b82-9830f44b3710","NarrativeContent","TRIAL DESIGN","4","SECTION 4","<div></div>"
"NarrativeContent_13","afdcce8a-52c7-4f74-a332-95a54dc1fd75","NarrativeContent","Description of Trial Design","4.1","SECTION 4.1","<div></div>"
"NarrativeContent_14","23a1c3b8-a7e2-4f4d-b130-c5009df05df9","NarrativeContent","Participant Input into Design","4.1.1","SECTION 4.1.1","<div></div>"
"NarrativeContent_15","22e50759-304e-4575-bfbb-22b371a11a3c","NarrativeContent","Rationale for Trial Design","4.2","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"NarrativeContent_16","ac485b19-d371-4f33-b850-1b0370cf876a","NarrativeContent","Rationale for Comparator","4.2.1","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"NarrativeContent_17","844311cd-8968-443e-b765-0cca310bd51e","NarrativeContent","Rationale for Adaptive or Novel Trial Design","4.2.2","SECTION 4.2.2","<div></div>"
"NarrativeContent_18","0fe729f9-f89e-474c-8b3a-ce7b9c5883a7","NarrativeContent","Other Trial Design Considerations","4.2.3","SECTION 4.2.3","<div></div>"
"NarrativeContent_19","c2c6d56a-6b2a-4288-9405-5417600cc44c","NarrativeContent","Access to Trial Intervention After End of Trial","4.3","SECTION 4.3","<div></div>"
"NarrativeContent_20","8edd23f0-c23a-4f9e-b840-20c85c678007","NarrativeContent","Start of Trial and End of Trial","4.4","SECTION 4.4","<div></div>"
"NarrativeContent_21","fd2b453f-5c24-4347-808d-2ba36701d924","NarrativeContent","TRIAL POPULATION","5","SECTION 5","<div></div>"
"NarrativeContent_22","1895f655-a69a-4c8c-bf37-6013878604a9","NarrativeContent","Selection of Trial Population","5.1","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"NarrativeContent_23","d471cccf-6664-4699-afbf-42aa7e6ede4a","NarrativeContent","Rationale for Trial Population","5.2","SECTION 5.2","<div></div>"
"NarrativeContent_24","3ec3e8d9-7c0d-4b6a-8bf9-6f48ad6e0eed","NarrativeContent","Inclusion Criteria","5.3","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>"
"NarrativeContent_25","8c7c8e93-2e49-45ac-ba65-17a5fed0c770","NarrativeContent","Exclusion Criteria","5.4","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>"
"NarrativeContent_26","033db345-f1df-4e20-b67c-8de9b24a5766","NarrativeContent","Lifestyle Considerations","5.5","SECTION 5.5","<div></div>"
"NarrativeContent_27","f424630b-5d2f-4a86-92e0-800ace8bb961","NarrativeContent","Meals and Dietary Restrictions","5.5.1","SECTION 5.5.1","<div></div>"
