"id","uuid:ID","codeSystemVersion","decode","code","instanceType","codeSystem"
"Code_1","6d1818ac-fa30-4304-b13b-6a54f95b14ff","2023-09-29","Interventional Study","C98388","Code","http://www.cdisc.org"
"Code_2","d3dec298-4103-4a08-b5db-b3fa30b8d39a","2023-09-29","Phase II Trial","C15601","Code","http://www.cdisc.org"
"Code_9","a5e92794-dec5-4f39-aebd-657f98945c99","2023-09-29","Sponsor Approval Date","C132352","Code","http://www.cdisc.org"
"Code_10","8a61bb75-f9ff-4af5-a5d0-079daea53669","2023-09-29","Global","C68846","Code","http://www.cdisc.org"
"Code_72","e0065c8b-fea7-43d2-b91b-31c4e58c096c","2023-09-29","IRB/IEC Feedback","C99904x3","Code","http://www.cdisc.org"
"Code_73","ae4737c9-8365-450d-b4b4-ce25ac6f1629","2023-09-29","Other","C17649","Code","http://www.cdisc.org"
"Code_75","4c566819-d0e0-4b76-b2c5-e570d639631e","2023-09-29","Region","C41129","Code","http://www.cdisc.org"
"Code_74","21d3dce3-1405-434d-8bae-18f642fcb3c9","2020-08","Europe","150","Code","ISO 3166 1 alpha3"
"Code_4","3d4ee7c0-16bf-4158-a461-d25fe99237ec","12","Eli Lilly","PHARMA","Code","SPONSOR"
"Code_76","a4af8e53-9fdd-4d31-96ce-60ad7e2660a7","2023-09-29","Clinical Study Sponsor","C70793","Code","http://www.cdisc.org"
"Code_77","e66eb435-bf9a-4268-b477-5f4904d8145b","2020-08","Denmark","DNK","Code","ISO 3166 1 alpha3"
"Code_78","41bc89c8-2f51-4cd9-bada-3d63ed87cafe","2023-09-29","Study Registry","C93453","Code","http://www.cdisc.org"
"Code_136","e008decc-6c2b-483f-b71a-98641f6ba961","2023-09-29","Treatment Study","C49656","Code","http://www.cdisc.org"
"Code_137","5fd830c1-a576-4563-a1b9-ed695eaf9a34","2023-09-29","Efficacy Study","C49666","Code","http://www.cdisc.org"
"Code_138","75557e3c-58da-42cd-b21b-c462e971d7f2","2023-09-29","Safety Study","C49667","Code","http://www.cdisc.org"
"Code_139","3d750fa4-81db-41a8-ade3-30f767b89f78","2023-09-29","Pharmacokinetic Study","C49663","Code","http://www.cdisc.org"
"Code_133","6bc243f4-7e54-401f-8cd3-767f6e1c74b3","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","Code","SPONSOR"
"Code_134","bc34f5b5-9075-49a8-bb04-f5e411ce4e11","January 31, 2018","Alzheimer's disease","26929004","Code","SNOMED"
"Code_142","7709f0e3-4835-46aa-ab36-b6c9944c98ae","2023-09-29","EXTENSION","C99907x1","Code","http://www.cdisc.org"
"Code_143","80088ff1-ac9f-4cb0-bd65-aaf856880a92","2023-09-29","ADAPTIVE","C98704","Code","http://www.cdisc.org"
"Code_140","6f03dd35-1ae9-458c-a3b9-5d10f8396a15","2023-09-29","Parallel Study","C82639","Code","http://www.cdisc.org"
"Code_82","bd04277e-5264-48f4-97e6-724b01586352","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_83","f409db06-e9b4-4081-a538-81afed3058ee","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_84","7a2b2215-93f9-49e5-8f80-9fbf4829eaa4","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_85","bbc1683f-0cff-4dcf-bf30-9ce8065d5d29","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_86","c307a130-2568-4a0e-9972-496ec6569ccb","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_87","02def065-8429-4cba-b357-fe5750ca5395","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_88","233c7b01-1c49-48e0-84d3-b03aaa95d37e","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_89","c7e9c062-993e-4a03-9fd3-d0236b917848","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_90","90b727ee-71d6-440d-a7e0-097c872a8c86","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_91","05ab629b-b957-4302-b5fc-f2f17b130efc","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_92","db994fcb-ef54-4f22-964b-4b2cb106eebc","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_93","75bb07ee-0a73-4e79-a264-cca71f9e308b","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_94","29360b27-b243-4f2c-8ce2-34ce704f0a99","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_95","ed7dc194-bc91-4a09-b660-a26fe8bd8ebb","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_96","a3904063-2d7c-46b5-8a99-b8acf0df8d7c","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_97","381b6cff-70fb-49fc-be32-ed0583346f9e","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_98","278fad21-eed4-4861-8fd4-d5d63606547e","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_99","1ff816ae-92be-43a5-9269-57de312e5306","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_100","66c213fe-52d0-411b-8460-0e51cb76ec9e","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_101","1609d21c-585e-489d-8b8d-6a51441539ea","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_102","4227cfc8-5c5f-456f-a17b-c6ce7945de27","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_103","8be1461c-e803-4df9-b6b5-7b9e9272b248","2023-09-29","Telephone Call","C171537","Code","http://www.cdisc.org"
