"id","uuid:ID","description","instanceType","name","label"
"Encounter_1","e69c06aa-2a49-4c80-9bfe-e6fc35aea4bd","Screening encounter","Encounter","E1","Screening 1"
"Encounter_2","6a2b96c2-6116-47b1-b0d3-9ac486810384","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Screening 2"
"Encounter_3","0cf1127a-b705-4cd0-9dcf-92b32482a448","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Baseline"
"Encounter_4","ad5ae048-7fe7-491b-8c8f-d0a66a93479f","Day 14","Encounter","E4","Week 2"
"Encounter_5","a8bfc81b-7e33-48d6-a850-edc67f5a74e2","Day 28","Encounter","E5","Week 4"
"Encounter_6","eec9a1f8-23a9-47cc-b000-a9fa9eec8ae9","Day 42","Encounter","E7","Week 6"
"Encounter_7","30dab8e9-69d7-4797-899e-ca80d6d6696d","Day 56","Encounter","E8","Week 8"
"Encounter_8","54e81320-ca76-404d-a98c-9008ee75480c","Day 84","Encounter","E9","Week 12"
"Encounter_9","6ba9851e-a257-461e-8f75-e720f6004431","Day 112","Encounter","E10","Week 16"
"Encounter_10","1050c00b-bf6d-4b57-8c0a-b5348fc7a05e","Day 140","Encounter","E11","Week 20"
"Encounter_11","358b39c8-0b66-4511-a6ea-275d3826cf5c","Day 168","Encounter","E12","Week 24"
"Encounter_12","9ae36528-dff8-4acc-b5ca-c2a35580d31f","Day 182","Encounter","E13","Week 26"
