"windowLower","id","uuid:ID","description","instanceType","windowUpper","name","value","window","label"
"","Timing_1","7810f216-7bff-4093-b326-3fe95ae72f72","Screening timing","Timing","","TIM1","P2W","","Screening"
"PT4H","Timing_2","4e7552fe-aae1-432d-8fd6-0a97cf1e00bd","Pre dose timing","Timing","PT0H","TIM2","P2D","-4..0 hours","Pre dose"
"","Timing_3","c1d32d2f-ce9e-4888-8687-8c83f0b80fe3","Dosing anchor","Timing","","TIM3","P1D","","Dosing"
"P3D","Timing_4","e874960a-f91a-4ae2-886f-1237cf19f193","Week 2 timing","Timing","P3D","TIM4","P2W","-3..3 days","Week 2"
"P3D","Timing_5","b509ab74-4ab1-45d7-845b-f622f7fadc65","Week 4 timing","Timing","P3D","TIM5","P4W","-3..3 days","Week 4"
"P3D","Timing_6","fb42a6d2-9697-4260-a3d8-ba59a4e81ca6","Week 6 timing","Timing","P3D","TIM6","P6W","-3..3 days","Week 6"
"P3D","Timing_7","c22e1e21-82a9-4225-b2dc-58e05000bf49","Week 8 timing","Timing","P3D","TIM7","P8W","-3..3 days","Week 8"
"P4D","Timing_9","069514ab-ba85-47b9-88ea-8118127188f2","Week 12 timing","Timing","P4D","TIM9","P12W","-4..4 days","Week 12"
"P4D","Timing_11","3ad1aa2d-fa3a-48bb-a54c-ff35d959e88b","Week 16 timing","Timing","P4D","TIM11","P16W","-4..4 days","Week 16"
"P4D","Timing_13","3e779fef-63d0-49de-a98f-ceb9d3780a58","Week 20 timing","Timing","P4D","TIM13","P20W","-4..4 days","Week 20"
"P4D","Timing_15","3ebce003-bb94-4d32-867a-79bd709d120b","Week 24 timing","Timing","P4D","TIM15","P24W","-4..4 days","Week 24"
"P3D","Timing_16","fa136aac-3073-402a-8725-2f4f033066cb","Week 26 timing","Timing","P3D","TIM16","P26W","-3..3 days","Week 26"
"","Timing_8","ee458d44-0851-42a9-9319-cd8dd4f285dc","Week 8 at home timing","Timing","","TIM8","P2W","","Week 8 Home"
"","Timing_10","e8339817-447d-4366-add3-f0aecfe72995","Week 12 at home timing","Timing","","TIM10","P2W","","Week 12 Home"
"","Timing_12","03ae8ce9-78a5-4c99-bf00-89a365dae4fd","Week 16 at home timing","Timing","","TIM12","P2W","","Week 16 Home"
"","Timing_14","51d196a5-d0aa-4f13-a408-d43fbe60a1b7","Week 20 at home timing","Timing","","TIM14","P2W","","Week 20 Home"
"","Timing_17","ec5d2b21-22f7-4e94-b5ff-44cb5203f919","Adverse Event","Timing","","TIM17","P1D","","Adverse Event"
"","Timing_18","33496e57-41ef-4e01-aa92-21789c18721a","Early Termination","Timing","","TIM18","P1D","","Early Termination"
"","Timing_19","396f75ec-a620-4707-a62f-a51fa426ddfd","Supine","Timing","","TIM19","PT0M","","Supine"
"","Timing_20","73cd74ed-a151-4e02-a38f-f5189cfb7dbd","VS while supine","Timing","","TIM20","PT5M","","VS while supine"
"","Timing_21","bdff340b-ae73-44e0-b08c-4cffef341d74","Standing","Timing","","TIM21","PT0M","","Standing"
"","Timing_22","43096f51-fe95-485d-b26e-4967f842965c","VS while standing","Timing","","TIM22","PT1M","","VS while standing"
"","Timing_23","108350e1-02a9-469e-8406-9b2272058262","Standing","Timing","","TIM23","PT0M","","Standing"
"","Timing_24","cdd50344-cd24-4796-9dc2-f352b5309b00","VS while standing","Timing","","TIM24","PT2M","","VS while standing"
