"name","reference","synonyms","uuid:ID","id","instanceType","label"
"Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","eecb4f50-e0c1-4cf4-9b69-bc77b5bdebb9","BiomedicalConcept_20","BiomedicalConcept","Informed Consent Obtained"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","7d3e3558-025f-4f51-b951-1da3bd396d61","BiomedicalConcept_21","BiomedicalConcept","Sex"
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","7a4a86b0-5f55-478d-b439-b413a7e79b67","BiomedicalConcept_22","BiomedicalConcept","Race"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","161505a1-eee3-47f2-b131-fdbdb94fb3d3","BiomedicalConcept_23","BiomedicalConcept","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","74974dac-527e-4cd9-a946-f95e03785fab","BiomedicalConcept_24","BiomedicalConcept","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","4fcb20b5-5fb9-421f-a1ed-f062146432d5","BiomedicalConcept_25","BiomedicalConcept","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","142dedff-69b9-4315-a132-985dc0b231f8","BiomedicalConcept_26","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","4b185b1d-237a-4ff2-89b6-2ab21bfc3a76","BiomedicalConcept_27","BiomedicalConcept","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","d4255065-2e93-48e0-8661-93aed52b759f","BiomedicalConcept_28","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","bb21207f-5a7f-45ad-8d46-1fb41f1c57c0","BiomedicalConcept_29","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","7fbf66b5-7e48-4bf5-abfa-316a2a2a2ac1","BiomedicalConcept_30","BiomedicalConcept","Creatinine Concentration in Urine"
