"name","id","text","instanceType","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule","518cef92-7e4d-4552-bdc7-b05e6bee06c5"
"ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule","00bb12f9-bc7f-462f-ab97-be0ef9ff911b"
"ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","432ab6cb-339b-456a-89df-e7d3f1cfcaac"
"ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","5a77f4a9-237d-4978-83f1-76dc22825472"
"ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule","9d64123f-627c-48ef-bd1d-5383c6598e12"
"ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule","7f30858c-0f79-48b9-9852-149ebc5397b9"
"ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule","47cb5083-6030-4a8b-8c65-b7f7081aa13d"
"ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","b553fd17-6394-4c29-b650-be216b88aa2e"
"ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule","efdbe88e-8108-40a3-b08f-1fdf716d4b49"
"ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","beefddb4-49ef-456c-95e2-cb3517a70911"
"ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","85c943cd-a372-4674-991e-d6bb0d66af27"
"ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule","ad225fef-b308-4031-ac5e-bb671b75c240"
"ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule","461d3838-2fb1-49f4-a93e-f3db2dd6864b"
"ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","b5e92785-b750-4f8e-9fd7-1a52562217bf"
"ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","e44e9aee-5a78-4013-8708-d54b65f61b2b"
