"name","description","uuid:ID","id","instanceType","label"
"Informed consent","","2cc9b747-96bd-4a0f-aee5-2f34b47e2168","Activity_1","Activity","Informed consent"
"Inclusion/exclusion criteria","","38b240ce-3f08-490c-a594-77b6e60cc0bd","Activity_2","Activity","Inclusion and exclusion criteria"
"Patient number assigned","","5c7aba70-c4dd-4b27-bbb1-5d62f0dd8e8a","Activity_3","Activity","Patient number assigned"
"Demographics","","2e5cb861-7ff3-459f-bbdd-e798067bbe29","Activity_4","Activity","Demographics"
"Hachinski","","9789d3a3-7543-4911-befe-2974adc83415","Activity_5","Activity","Hachinski Ischemic Scale"
"MMSE","","ea86dcc0-2bb1-4a07-8697-b6fad011be2a","Activity_6","Activity","MMSE"
"Physical examination","","dfeba61f-87ce-400a-94ec-db24ef2d4bed","Activity_7","Activity","Physical examination"
"Medical history","","f6b61fa6-661f-419a-8f83-6aa7fe73bc97","Activity_8","Activity","Medical history"
"Habits","","b538765c-5194-4769-9ab1-789e6926f1d5","Activity_9","Activity","Habits"
"Chest X-ray","","1b5edb2f-f7ef-4998-a621-2fd8629ea18f","Activity_10","Activity","Chest X-ray"
"Apo E genotyping","","07cab6dc-2ceb-4ce4-8175-d9e43b261013","Activity_11","Activity","Apo E genotyping"
"Patient randomised","","001cfa19-50a8-4448-8ad3-25fe10319599","Activity_12","Activity","Patient randomised"
"Vital signs / Temperature","","fc28ba06-7e5c-4442-ab94-025d406144ef","Activity_13","Activity","Vital Signs and Temperature"
"Ambulatory ECG placed","","54e86bbf-d70c-49da-bbc1-c019cb5ee08a","Activity_14","Activity","Ambulatory ECG placed"
"Ambulatory ECG removed","","596cfc10-220e-42fc-b49c-44657d5207e8","Activity_15","Activity","Ambulatory ECG removed"
"ECG","","1fabe608-a034-4968-b071-efc0d33bf1b1","Activity_16","Activity","ECG"
"Placebo TTS test","","27008ec1-3599-4fde-a175-1640adc48563","Activity_17","Activity","Placebo TTS test"
"CT scan","","0b9ddc1b-1d4e-4d78-9ae4-1cd85de0bba0","Activity_18","Activity","CT scan"
"Concomitant medications","","af169e7f-1f91-4bbe-adec-abbb8e756cbe","Activity_19","Activity","Concomitant medications"
"Hematology","","11249579-83d8-4a3a-b48f-22b708b3500f","Activity_20","Activity","Hematology"
"Chemistry","","0cc99a3f-6da8-47a3-b7df-f0cddcd5fd60","Activity_21","Activity","Chemistry"
"Uninalysis","","9acdc22f-5fb8-4b1d-aa81-18d7b7ee1908","Activity_22","Activity","Uninalysis"
"Plasma Specimen (Xanomeline)","","17ab33a3-6dcb-4fdc-b9da-c176bc1e1aae","Activity_23","Activity","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","","a871d6c8-addb-4f03-9b8b-c7e72a345141","Activity_24","Activity","Hemoglobin A1C"
"Study drug","","0c1e5569-8bf5-475c-9086-82fbf51df477","Activity_25","Activity","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","","2bd11285-f226-4e52-948d-40eb96649046","Activity_26","Activity","TTS Acceptability Survey"
"ADAS-Cog","","4cdb99b0-e4ac-4136-a46e-52fd85653053","Activity_27","Activity","ADAS-Cog"
"CIBIC+","","f971ebd9-a766-49e3-adec-03336fd3d1c5","Activity_28","Activity","CIBIC+"
"DAD","","294dc0df-c3e8-439c-828e-1a17fe9bdc30","Activity_29","Activity","DAD"
"NPI-X","","501caa7c-1557-479e-84ff-eb588140e281","Activity_30","Activity","NPI-X"
"Adverse events","","d1fec4b5-f244-44b8-9749-9ef4b5a33f6c","Activity_31","Activity","Adverse events"
"Check adverse events","","285952c4-7d0c-41e5-9159-1851f4fe47fa","Activity_32","Activity","Check adverse events"
"Supine","","d3bce941-b43a-4a71-856c-53d3c345d014","Activity_33","Activity","Subject supine"
"Vital Signs Supine","","643f3d34-dcc2-4c09-84b8-64e453ec3206","Activity_34","Activity","Vital signs while supine"
"Stand","","49f8fe79-4433-4f51-96cf-1dc181ad4783","Activity_35","Activity","Subject Standing"
"Vital Signs Standing","","f8eaddc4-06a4-42d3-90c2-a8e23de90fd0","Activity_36","Activity","Vital signs while standing"
