"windowUpper","name","description","value","uuid:ID","id","windowLower","instanceType","windowLabel","label","valueLabel"
"","TIM1","Screening timing","P2W","585bdd80-5a56-4f96-9063-fa499a08c64f","Timing_1","","Timing","","Screening","2 weeks"
"PT0H","TIM2","Pre dose timing","P2D","88d4b74f-4ffd-49b6-840a-02a84168a22b","Timing_2","PT4H","Timing","-4..0 hours","Pre dose","2 days"
"","TIM3","Dosing anchor","P1D","4eae4700-1133-4268-b154-9368bd7ad70f","Timing_3","","Timing","","Dosing","1 Day"
"P3D","TIM4","Week 2 timing","P2W","5320334c-d262-43d1-813d-f352b4b766a9","Timing_4","P3D","Timing","-3..3 days","Week 2","2 Weeks"
"P3D","TIM5","Week 4 timing","P4W","5aea6efd-8ad9-46d1-b9c0-22a7e4435649","Timing_5","P3D","Timing","-3..3 days","Week 4","4 Weeks"
"P3D","TIM6","Week 6 timing","P6W","b7408f59-34eb-47d4-946d-7a8288584ec3","Timing_6","P3D","Timing","-3..3 days","Week 6","6 Weeks"
"P3D","TIM7","Week 8 timing","P8W","4643c22a-6043-46d4-8f93-970ab7f62054","Timing_7","P3D","Timing","-3..3 days","Week 8","8 Weeks"
"P4D","TIM9","Week 12 timing","P12W","39b66dc1-6d32-46df-819c-615f66bba64a","Timing_9","P4D","Timing","-4..4 days","Week 12","12 Weeks"
"P4D","TIM11","Week 16 timing","P16W","1bf5c7ce-72c6-4d7b-9153-8a7435c07d27","Timing_11","P4D","Timing","-4..4 days","Week 16","16 Weeks"
"P4D","TIM13","Week 20 timing","P20W","5ce7c110-1dc6-4a66-be54-710b631e19d7","Timing_13","P4D","Timing","-4..4 days","Week 20","20 Weeks"
"P4D","TIM15","Week 24 timing","P24W","d3a86265-9e52-4856-9784-d44aeed1573f","Timing_15","P4D","Timing","-4..4 days","Week 24","24 Weeks"
"P3D","TIM16","Week 26 timing","P26W","0156a306-2bc9-42fa-bb41-b882fd79ddd3","Timing_16","P3D","Timing","-3..3 days","Week 26","26 Weeks"
"","TIM8","Week 8 at home timing","P2W","27de2038-a5b2-4584-bfbe-2faebf96dbf1","Timing_8","","Timing","","Week 8 Home","2 Weeks"
"","TIM10","Week 12 at home timing","P2W","3763daa0-58e3-48bb-8198-2b4ad792206f","Timing_10","","Timing","","Week 12 Home","2 Weeks"
"","TIM12","Week 16 at home timing","P2W","16129b58-2068-4d3b-bc11-8f8a4beb24ba","Timing_12","","Timing","","Week 16 Home","2 Weeks"
"","TIM14","Week 20 at home timing","P2W","c523cf0e-1bc1-4675-bf59-5992a9a07bcc","Timing_14","","Timing","","Week 20 Home","2 Weeks"
"","TIM17","Adverse Event","P1D","82f4d537-c130-416f-89bc-045064ad798f","Timing_17","","Timing","","Adverse Event","1 Day"
"","TIM18","Early Termination","P1D","5e921573-a164-44e3-8f74-f909bef8ae03","Timing_18","","Timing","","Early Termination","1 Day"
"","TIM19","Supine","PT0M","abba13b9-0a9e-4d56-a5d6-98a24bfcbccf","Timing_19","","Timing","","Supine","0 mins"
"","TIM20","VS while supine","PT5M","0629de36-4fb9-444b-9bc8-5e03e37e0a1e","Timing_20","","Timing","","VS while supine","5 mins"
"","TIM21","Standing","PT0M","239b423f-1b36-4d44-a11b-e8218241f170","Timing_21","","Timing","","Standing","0 min"
"","TIM22","VS while standing","PT1M","7160d5df-619c-4c21-99db-5876ab3c1159","Timing_22","","Timing","","VS while standing","1 min"
"","TIM23","Standing","PT0M","618c0af5-5887-426d-8fc7-1886a164f092","Timing_23","","Timing","","Standing","0 min"
"","TIM24","VS while standing","PT2M","403b8cd2-d622-43df-8e86-d1dcd4df9c59","Timing_24","","Timing","","VS while standing","2 min"
