"name","description","uuid:ID","id","instanceType","label"
"E1","Screening encounter","c99fe765-045b-47ab-b437-f62ff1e581c5","Encounter_1","Encounter","Screening 1"
"E2","Screening encounter - Ambulatory ECG Placement","1e0935e3-80e3-400c-b325-e4ca10874de4","Encounter_2","Encounter","Screening 2"
"E3","Baseline encounter - Ambulatory ECG Removal","a94c3911-ff6b-4706-93a4-a27c6e384b88","Encounter_3","Encounter","Baseline"
"E4","Day 14","ddccb0bc-6962-4c95-bd49-e2703ceb9948","Encounter_4","Encounter","Week 2"
"E5","Day 28","a2ff9536-82bd-41f3-80d2-bdfa1b086888","Encounter_5","Encounter","Week 4"
"E7","Day 42","9eefdfa5-acfa-454c-bc20-d5385d721b42","Encounter_6","Encounter","Week 6"
"E8","Day 56","6bcd8330-8e96-41cf-8174-92b409c7b92e","Encounter_7","Encounter","Week 8"
"E9","Day 84","1e3c2083-5899-4fd9-b3b6-36ffcfad9359","Encounter_8","Encounter","Week 12"
"E10","Day 112","0e95632c-e5f5-4e47-b606-0a4c67bf14cd","Encounter_9","Encounter","Week 16"
"E11","Day 140","709d1e6c-342d-47a9-a19b-95b0045ac208","Encounter_10","Encounter","Week 20"
"E12","Day 168","d0ec2e8a-0f23-4703-a787-2e3f4b0e97bd","Encounter_11","Encounter","Week 24"
"E13","Day 182","a102dc24-1b81-41ca-ba83-098e737909f6","Encounter_12","Encounter","Week 26"
