"name","datatype","uuid:ID","isEnabled","isRequired","id","instanceType","label"
"DSDECOD","text","7f874dff-c1a1-41f6-9d4c-f15a9fb8deb5","True","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty","DSDECOD"
"DSTERM","text","4e9b0aa4-1c74-42b5-bc9a-7f16ee3f992c","True","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty","DSTERM"
"DSSTDTC","datetime","a5a458fc-eb66-4916-b484-447c6f02493b","True","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty","DSSTDTC"
"Sex","string","f333d28e-7fa4-47f9-9c03-f90f260361b4","True","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty","Sex"
"Race","string","1b68a1a6-44c1-4fcf-9df7-95d8441df273","True","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty","Race"
"VSTESTCD","","1e4d229f-a0e7-4257-bf4d-ef1a3cf534a4","True","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSTESTCD"
"VSORRES","float","a20a8fd1-24ad-415b-adb0-a234869b4b8d","True","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSORRES"
"VSORRESU","","cd1085bd-b9b1-4471-8806-2e9edfb42718","True","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRESU"
"VSLOC","","ab0b6bb0-1ebb-4c92-909c-d664083c7261","True","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSLOC"
"VSTESTCD","","262c3430-f7d4-43da-ba2c-e26c562e227e","True","True","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD"
"VSORRES","float","a7cfb222-e7d0-4951-9c0e-e7c23167fa53","True","True","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES"
"VSORRESU","","be5d87a9-6a9f-4597-9728-810ead5c8b12","True","True","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU"
"VSTESTCD","","e489c323-e507-44f9-a6c2-85997c1aa2e5","True","True","BiomedicalConceptProperty_128","BiomedicalConceptProperty","VSTESTCD"
"VSORRES","float","a3e675c2-940c-404a-b130-56414a994f42","True","True","BiomedicalConceptProperty_129","BiomedicalConceptProperty","VSORRES"
"VSORRESU","","e9180021-355a-4322-a03a-f20589898d3f","True","True","BiomedicalConceptProperty_130","BiomedicalConceptProperty","VSORRESU"
"LBTESTCD","","6f90aed3-184c-4224-b227-231b9dc1b104","True","True","BiomedicalConceptProperty_131","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","float","6fb9a0dd-258d-4222-b69b-2dfccbb668a1","True","True","BiomedicalConceptProperty_132","BiomedicalConceptProperty","LBORRES"
"LBORRESU","","38d85043-d9d7-4441-8fbf-d60e7b502447","True","True","BiomedicalConceptProperty_133","BiomedicalConceptProperty","LBORRESU"
"LBSPEC","","381d5cb8-9601-4c91-84b5-c549fec09211","True","True","BiomedicalConceptProperty_134","BiomedicalConceptProperty","LBSPEC"
"LBFAST","","9d009812-9148-4238-9bac-7dfc84a00990","True","True","BiomedicalConceptProperty_135","BiomedicalConceptProperty","LBFAST"
"LBTESTCD","","015851c6-7cc2-45e3-900d-9907d44be665","True","True","BiomedicalConceptProperty_136","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","text","7f108f07-c14b-4b58-b0a7-8bb843d46320","True","True","BiomedicalConceptProperty_137","BiomedicalConceptProperty","LBORRES"
"LBSPEC","","814a0d55-2c0e-4c2e-b46c-c90d1d6fa990","True","True","BiomedicalConceptProperty_138","BiomedicalConceptProperty","LBSPEC"
"LBFAST","","60ccb87d-ae70-4ff7-89bf-63711285b076","True","True","BiomedicalConceptProperty_139","BiomedicalConceptProperty","LBFAST"
"LBTESTCD","","7bdef9c1-6cc4-4203-a1b0-1637f3e6848e","True","True","BiomedicalConceptProperty_140","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","float","292a0b77-591b-4d4a-82bb-ef88a9d9791f","True","True","BiomedicalConceptProperty_141","BiomedicalConceptProperty","LBORRES"
"LBORRESU","","80364f6c-1875-4465-be60-d0a2434be85d","True","True","BiomedicalConceptProperty_142","BiomedicalConceptProperty","LBORRESU"
"LBSPEC","","edcda88b-b451-4ca5-92ce-2181cf0af36b","True","True","BiomedicalConceptProperty_143","BiomedicalConceptProperty","LBSPEC"
"LBFAST","","e9dbed1b-e757-4349-abbb-88c575bdc13e","True","True","BiomedicalConceptProperty_144","BiomedicalConceptProperty","LBFAST"
"LBTESTCD","","5770dea6-9cca-414d-96a8-15652847916d","True","True","BiomedicalConceptProperty_145","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","float","73741423-0811-4b0d-90d7-c2eceee0c507","True","True","BiomedicalConceptProperty_146","BiomedicalConceptProperty","LBORRES"
"LBORRESU","","ec8fdaf7-ef58-48ca-8cb5-6b59c1380bb4","True","True","BiomedicalConceptProperty_147","BiomedicalConceptProperty","LBORRESU"
"LBSPEC","","564e7b47-bf1d-4ccb-86a5-b1ffb87a2e47","True","True","BiomedicalConceptProperty_148","BiomedicalConceptProperty","LBSPEC"
"LBFAST","","dc66b1ef-8aad-436e-b227-6a04474dcfd4","True","True","BiomedicalConceptProperty_149","BiomedicalConceptProperty","LBFAST"
"LBTESTCD","","fcb858a6-fdcd-4673-a13a-9032e27208db","True","True","BiomedicalConceptProperty_150","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","float","9a19b540-d476-42a1-a221-7657c9000adb","True","True","BiomedicalConceptProperty_151","BiomedicalConceptProperty","LBORRES"
"LBORRESU","","60d7ae8e-eeb4-4ef9-b044-2b4c0b0b20ac","True","True","BiomedicalConceptProperty_152","BiomedicalConceptProperty","LBORRESU"
"LBSPEC","","9132c806-436d-4508-bc69-ba6a20d8f851","True","True","BiomedicalConceptProperty_153","BiomedicalConceptProperty","LBSPEC"
"LBFAST","","25a14e49-a242-423b-996d-d6c47a380b69","True","True","BiomedicalConceptProperty_154","BiomedicalConceptProperty","LBFAST"
"LBTESTCD","","78f65d3f-c357-4199-9328-2bcfcd9b32e4","True","True","BiomedicalConceptProperty_155","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","float","02fb3177-2d9e-4858-b98c-c1c16910c3c0","True","True","BiomedicalConceptProperty_156","BiomedicalConceptProperty","LBORRES"
"LBORRESU","","398f6c63-6416-4181-a84a-23d08824606f","True","True","BiomedicalConceptProperty_157","BiomedicalConceptProperty","LBORRESU"
"LBSPEC","","b4825b62-815c-4f6a-ab15-dcb47220bdf3","True","True","BiomedicalConceptProperty_158","BiomedicalConceptProperty","LBSPEC"
"LBFAST","","a9573308-acad-4b38-9c09-3fd2968cb262","True","True","BiomedicalConceptProperty_159","BiomedicalConceptProperty","LBFAST"
"LBTESTCD","","cd42a61c-5817-4528-8935-573f5941e539","True","True","BiomedicalConceptProperty_160","BiomedicalConceptProperty","LBTESTCD"
"LBORRES","float","727113fe-8f6c-4add-a56f-9cbd25cf21d9","True","True","BiomedicalConceptProperty_161","BiomedicalConceptProperty","LBORRES"
"LBORRESU","","8565ca0e-12b1-43bc-bd2d-0745d49ba335","True","True","BiomedicalConceptProperty_162","BiomedicalConceptProperty","LBORRESU"
"LBSPEC","","3c5c4142-db39-4b26-9c04-d7eb1d37ce56","True","True","BiomedicalConceptProperty_163","BiomedicalConceptProperty","LBSPEC"
