"name","description","uuid:ID","id","text","instanceType","purpose","label"
"END1","","4c10dbfd-7334-40e0-9b99-fd7f1bdc60fe","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","",""
"END2","","ec77d2d6-63fa-459e-8bb4-627847ff0092","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","",""
"END3","","fe754152-c5f5-4361-b936-08a374bd0e83","Endpoint_3","Adverse events","Endpoint","",""
"END4","","42910bec-1de4-4200-ac01-9d526a14a258","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","",""
"END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","3e977660-e98b-4fb4-bfd4-d1b28ca5544d","Endpoint_5","Laboratory evaluations (Change from Baseline)","Endpoint","",""
"END6","","6ac4883b-05c0-4271-95ce-71d9b4b62f11","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","",""
"END7","","1f2cd349-ffc2-4fbc-ac18-918dd7f487af","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","",""
"END8","","e47f0ce5-f5c8-4a55-bab8-04243fd9353f","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","",""
"END9","","ad3dcc77-a351-403f-b9a2-15e06a2a5672","Endpoint_9","*** To be determined from protocol ***","Endpoint","",""
"END10","","00cbfec1-363a-42ce-82e4-6c73fa395cda","Endpoint_10","*** To be determined from protocol ***","Endpoint","",""
"END11","","40775ec7-b4e4-41c9-93d9-1436ec8582e9","Endpoint_11","*** To be determined from protocol ***","Endpoint","",""
