"name","description","uuid:ID","id","instanceType","label"
"SCREEN1","-","4422d489-5544-443b-bcb9-8111c2eea083","ScheduledActivityInstance_9","ScheduledActivityInstance","Screen One"
"SCREEN2","-","2a538b30-fdb7-4d62-af73-5683d1cf59d6","ScheduledActivityInstance_10","ScheduledActivityInstance","Screen Two"
"DOSE","-","e9e211a5-cf5e-4565-879a-dc81bafa0225","ScheduledActivityInstance_11","ScheduledActivityInstance","Dose"
"WK2","-","55190b4d-3ece-4537-8724-c2c9f285e02d","ScheduledActivityInstance_12","ScheduledActivityInstance","Week 2"
"WK4","-","2e72170b-4030-48ac-aa62-30456f894768","ScheduledActivityInstance_13","ScheduledActivityInstance","Week 4"
"WK6","-","6d2e44a1-1bce-4bb2-a1f4-592d576ecfc1","ScheduledActivityInstance_14","ScheduledActivityInstance","Week 6"
"WK8","-","f271cf87-5ca8-4e15-b1fe-7b382f88e18e","ScheduledActivityInstance_15","ScheduledActivityInstance","Week 8"
"WK8N","-","d0dc7bc1-f949-4bde-ab45-2a7f40a2f403","ScheduledActivityInstance_16","ScheduledActivityInstance","Week NPI"
"WK12","-","4b914ec4-735d-4910-a0f5-c66c382db6d4","ScheduledActivityInstance_17","ScheduledActivityInstance","Week 12"
"WK12N","-","e31b8945-beca-4911-806b-9eced7a06348","ScheduledActivityInstance_18","ScheduledActivityInstance","Week 12 NPI"
"WK16","-","f108b170-d588-4f59-b7c3-c5707689a0b7","ScheduledActivityInstance_19","ScheduledActivityInstance","Week 16"
"WK16N","-","5b2f18cd-642e-444f-a9fd-3a869feadce6","ScheduledActivityInstance_20","ScheduledActivityInstance","Week 16 NPI"
"WK20","-","2e0baa9e-c8f1-44c0-8327-c176cc70cf76","ScheduledActivityInstance_21","ScheduledActivityInstance","Week 20"
"WK20N","-","4b5200ad-979a-4c6c-b0d0-2eb41140ace2","ScheduledActivityInstance_22","ScheduledActivityInstance","Week 20 NPI"
"WK24","-","e7c7e35a-7bd6-4c06-93f2-481a62ec29bb","ScheduledActivityInstance_23","ScheduledActivityInstance","Week 24"
"WK26","-","a222d346-8a2a-46bb-b9f4-d542163ec38c","ScheduledActivityInstance_24","ScheduledActivityInstance","Week 26"
"AE","-","5ae40388-2921-4d1a-b405-23f52636c27a","ScheduledActivityInstance_1","ScheduledActivityInstance","Adevers Event"
"ET","-","f5f0457a-a201-4023-be10-75531dbd50d0","ScheduledActivityInstance_2","ScheduledActivityInstance","Early Termination"
"VS_5MIN","","f5877af3-e02b-41c1-8812-75824855a2c4","ScheduledActivityInstance_3","ScheduledActivityInstance","5 minute supine"
"VS_SUPINE","","889a8cc8-7034-457c-853f-5537cd9b0791","ScheduledActivityInstance_4","ScheduledActivityInstance","Vital signs supine"
"VS_1MIN","","dc348896-ac7e-4632-8b17-f4b1d18188c6","ScheduledActivityInstance_5","ScheduledActivityInstance","1 minute standing"
"VS_STAND1","","ffa8ae0e-9551-462c-a930-e25a22c41103","ScheduledActivityInstance_6","ScheduledActivityInstance","Vital signs after 1 min standing"
"VS_2MIN","","4a33caaf-9151-4478-aeef-c8f95e0d5250","ScheduledActivityInstance_7","ScheduledActivityInstance","2 minute standing"
"VS_STAND3","","380bfda7-64a6-4bad-bd26-080bb28e4bd1","ScheduledActivityInstance_8","ScheduledActivityInstance","Vital signs after 3 min standing"
