"uuid:ID","label","instanceType","description","name","id"
"61e27eaf-ba45-429e-8b49-27f48c92fcdb","Screening 1","Encounter","Screening encounter","E1","Encounter_1"
"786d3949-5931-47a2-a65f-0114246bf9c1","Screening 2","Encounter","Screening encounter - Ambulatory ECG Placement","E2","Encounter_2"
"a0cae9f3-7b61-4a68-a607-78bb5349a3e8","Baseline","Encounter","Baseline encounter - Ambulatory ECG Removal","E3","Encounter_3"
"83ffa10b-eddc-4f1f-b15a-f0b8d6938627","Week 2","Encounter","Day 14","E4","Encounter_4"
"c8c4c958-2b94-49bd-bc21-3938010c6b32","Week 4","Encounter","Day 28","E5","Encounter_5"
"1e96f700-36cf-484e-9891-e111f4e89140","Week 6","Encounter","Day 42","E7","Encounter_6"
"e3febf81-91f1-4eff-8fe1-1dfffc13e951","Week 8","Encounter","Day 56","E8","Encounter_7"
"9e0180a3-ad67-4964-b689-e0a062a59b3c","Week 12","Encounter","Day 84","E9","Encounter_8"
"efa2a7bf-c028-4c30-8022-6d754d0ec40f","Week 16","Encounter","Day 112","E10","Encounter_9"
"933b4b38-1672-47e7-8ec8-54719a7d20f2","Week 20","Encounter","Day 140","E11","Encounter_10"
"c032e39d-57c3-4cb9-ba7d-8164991273cb","Week 24","Encounter","Day 168","E12","Encounter_11"
"e8926c2c-ce4b-4f6c-8eb5-1ab9742bb604","Week 26","Encounter","Day 182","E13","Encounter_12"
