"uuid:ID","instanceType","name","text","id"
"d2c73b78-5429-47c4-a19d-791a6269aa5a","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1"
"c447f8e8-04bc-4e41-9f1c-a07e6e6d4324","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2"
"caa25b42-1ce6-4692-a67a-02a9620e9dc9","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"6631bec9-625b-4433-a26f-d827372b3dd1","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"d80d304d-e863-4d71-9e8c-62b20b7fa444","TransitionRule","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5"
"aefb7bdf-836e-4dea-85dd-bfcc5175c6cc","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6"
"13aec05a-d248-4477-a231-6db41392ae55","TransitionRule","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7"
"f74f0af5-3e41-44d9-8c4e-8d83ef0360dc","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"d5c94ad4-25e8-4623-b2ab-232da01687dc","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9"
"d069f1e2-1af5-4dd9-ba32-088bf4468511","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"23be7473-a5cf-434f-8c53-70ab8ee5b6e1","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"9b38c2f7-2e9b-4d71-bf92-37c290b2e339","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10"
"b4afbd0b-87ac-44d0-9708-2f8f80347589","TransitionRule","ELEMENT_START_RULE_4","Randomized","TransitionRule_11"
"1c691abb-4526-409f-8829-fc4f3af3bb6f","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"7e29bf52-c083-42f8-a3a2-d950ed180af7","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
