"uuid:ID","label","instanceType","description","name","id"
"083b7416-030f-4c0e-b943-9c9e717ff5c3","Screen One","ScheduledActivityInstance","-","SCREEN1","ScheduledActivityInstance_9"
"e86d6770-5126-4db1-b0c2-90c101dfa63d","Screen Two","ScheduledActivityInstance","-","SCREEN2","ScheduledActivityInstance_10"
"15732f3f-667d-48dc-aa1a-f73a42cda46b","Dose","ScheduledActivityInstance","-","DOSE","ScheduledActivityInstance_11"
"93c1960a-b371-4656-9398-111bba7f8884","Week 2","ScheduledActivityInstance","-","WK2","ScheduledActivityInstance_12"
"d49bee3a-b731-4573-95a6-765e65b1a521","Week 4","ScheduledActivityInstance","-","WK4","ScheduledActivityInstance_13"
"f165e891-ec4e-489f-9b20-6eb39fdd5c7c","Week 6","ScheduledActivityInstance","-","WK6","ScheduledActivityInstance_14"
"f33e8940-37f8-4d59-a578-1187e6bd1ed3","Week 8","ScheduledActivityInstance","-","WK8","ScheduledActivityInstance_15"
"1584e822-bc11-4df6-b864-29e1d0280cbe","Week NPI","ScheduledActivityInstance","-","WK8N","ScheduledActivityInstance_16"
"2932dd10-05e2-4dd9-92b3-31b850918d0b","Week 12","ScheduledActivityInstance","-","WK12","ScheduledActivityInstance_17"
"241a1575-081a-4136-823e-7271f0dd9685","Week 12 NPI","ScheduledActivityInstance","-","WK12N","ScheduledActivityInstance_18"
"9337baf1-9954-46f1-9c8b-7155083e0e14","Week 16","ScheduledActivityInstance","-","WK16","ScheduledActivityInstance_19"
"a76a41dc-1ac9-4b23-84d3-a1096e5351ba","Week 16 NPI","ScheduledActivityInstance","-","WK16N","ScheduledActivityInstance_20"
"6ba4ac46-6951-4975-ab02-11da7b8ff2cc","Week 20","ScheduledActivityInstance","-","WK20","ScheduledActivityInstance_21"
"800b4d70-84f2-4b85-bced-1a88823efe76","Week 20 NPI","ScheduledActivityInstance","-","WK20N","ScheduledActivityInstance_22"
"ac5c024e-1174-4fd2-98b6-13d2dfe7001a","Week 24","ScheduledActivityInstance","-","WK24","ScheduledActivityInstance_23"
"e929c29e-4d02-415e-9e35-f1ab848edd19","Week 26","ScheduledActivityInstance","-","WK26","ScheduledActivityInstance_24"
"49639617-72c3-4b20-aa23-83be864b0168","Adevers Event","ScheduledActivityInstance","-","AE","ScheduledActivityInstance_1"
"25f249be-b6b3-4e6f-b707-eb0773a7f0de","Early Termination","ScheduledActivityInstance","-","ET","ScheduledActivityInstance_2"
"12e2ed37-2e18-490b-8588-af0733a06a09","5 minute supine","ScheduledActivityInstance","","VS_5MIN","ScheduledActivityInstance_3"
"7bc6f214-3763-4f15-aaf5-d26459b3504c","Vital signs supine","ScheduledActivityInstance","","VS_SUPINE","ScheduledActivityInstance_4"
"04fdd9fd-23b2-4b7b-8743-23bf7d87f7e9","1 minute standing","ScheduledActivityInstance","","VS_1MIN","ScheduledActivityInstance_5"
"a81435b4-59be-4459-b8fd-532af9e6c1e0","Vital signs after 1 min standing","ScheduledActivityInstance","","VS_STAND1","ScheduledActivityInstance_6"
"e18ddf5a-7df4-4b05-a439-09433f174e51","2 minute standing","ScheduledActivityInstance","","VS_2MIN","ScheduledActivityInstance_7"
"7c97b6a8-357a-4ba6-b616-aa7e15cafc66","Vital signs after 3 min standing","ScheduledActivityInstance","","VS_STAND3","ScheduledActivityInstance_8"
