"uuid:ID","label","instanceType","description","name","id"
"fce36837-c6da-4636-9642-dfe3150594bf","Informed consent","Activity","","Informed consent","Activity_1"
"7afd61ed-8c68-4992-9e3a-9d1fde443e67","Inclusion and exclusion criteria","Activity","","Inclusion/exclusion criteria","Activity_2"
"d6b67cb0-a345-4aa6-a981-f533d1089e43","Patient number assigned","Activity","","Patient number assigned","Activity_3"
"54a2cde6-6fca-4c32-9e05-24aa4ae318d8","Demographics","Activity","","Demographics","Activity_4"
"9a5d78bd-4a6c-4a13-8cad-128ee41a1f0f","Hachinski Ischemic Scale","Activity","","Hachinski","Activity_5"
"154c73ba-6ae2-40af-a13b-ecf8941a7f5b","MMSE","Activity","","MMSE","Activity_6"
"9e2e22ed-1dc7-413a-b084-5318c178e88e","Physical examination","Activity","","Physical examination","Activity_7"
"a71a348e-289b-4da5-a9d9-9f7663be6781","Medical history","Activity","","Medical history","Activity_8"
"9b0fc23c-4f6b-41e6-a516-cd7705a3ea87","Habits","Activity","","Habits","Activity_9"
"0975b751-4d81-474b-b82f-8821af1d4c0b","Chest X-ray","Activity","","Chest X-ray","Activity_10"
"3c0ec2c1-0ee0-4aaf-8358-8789f1c28a45","Apo E genotyping","Activity","","Apo E genotyping","Activity_11"
"391315c9-3948-4542-a207-54eef25188cd","Patient randomised","Activity","","Patient randomised","Activity_12"
"ad851142-3b5b-4a6b-9862-fb0633663838","Vital Signs and Temperature","Activity","","Vital signs / Temperature","Activity_13"
"87c2d593-77e1-42ba-88fd-579dd49d4c5f","Ambulatory ECG placed","Activity","","Ambulatory ECG placed","Activity_14"
"39119748-f20d-4b3e-809f-fd0509237040","Ambulatory ECG removed","Activity","","Ambulatory ECG removed","Activity_15"
"30d8049c-4a51-431c-b9c1-22be531aa1ec","ECG","Activity","","ECG","Activity_16"
"91fa8bc8-7f0e-4197-83af-e2b30d6ecd73","Placebo TTS test","Activity","","Placebo TTS test","Activity_17"
"bcbc2ddb-66a5-47f1-b975-3eb77aca6dc2","CT scan","Activity","","CT scan","Activity_18"
"746af565-cccd-4479-aecb-2c5fdb375c41","Concomitant medications","Activity","","Concomitant medications","Activity_19"
"b320b0ff-ad3b-4b43-b9a0-0a8fb2b0f31c","Hematology","Activity","","Hematology","Activity_20"
"6cf216b2-a24d-47df-8629-1ba5e02b7aff","Chemistry","Activity","","Chemistry","Activity_21"
"6c856358-a613-4875-a23e-2a9f1ede51a5","Uninalysis","Activity","","Uninalysis","Activity_22"
"44dd3eea-64db-444e-9744-68061aa353fe","Plasma Specimen (Xanomeline)","Activity","","Plasma Specimen (Xanomeline)","Activity_23"
"0eed4a73-d163-4e1d-9b6d-7eb092ae038d","Hemoglobin A1C","Activity","","Hemoglobin A1C","Activity_24"
"266be903-e324-4ed3-97ed-543be4177726","Study drug record , Medications dispensed, Medications returned","Activity","","Study drug","Activity_25"
"04bf116b-bec3-47e1-991d-78b30e24409f","TTS Acceptability Survey","Activity","","TTS Acceptability Survey","Activity_26"
"c28d10dd-07b5-4883-af59-637a500e08e2","ADAS-Cog","Activity","","ADAS-Cog","Activity_27"
"730a07c2-5189-4b85-a427-8a594133ed82","CIBIC+","Activity","","CIBIC+","Activity_28"
"617f1b12-d664-4b2a-97f7-2cf90fd86dea","DAD","Activity","","DAD","Activity_29"
"cb42b0e1-2d51-43c0-87a9-4195fe4465c0","NPI-X","Activity","","NPI-X","Activity_30"
"e9e19d88-524f-4608-94b5-a9015bb797b5","Adverse events","Activity","","Adverse events","Activity_31"
"3ce229be-d77e-4f07-92d5-76ee73d11e7d","Check adverse events","Activity","","Check adverse events","Activity_32"
"9b69e063-7eea-4126-bb6c-e40c499f493c","Subject supine","Activity","","Supine","Activity_33"
"09251578-29c9-4f07-b4ab-9286f0a0c9ff","Vital signs while supine","Activity","","Vital Signs Supine","Activity_34"
"0afafd09-b1f7-4322-9fe3-ae1bd511363b","Subject Standing","Activity","","Stand","Activity_35"
"a32b85a0-749b-4c5d-bd3b-c483248ac451","Vital signs while standing","Activity","","Vital Signs Standing","Activity_36"
