"uuid:ID","codeSystemVersion","code","decode","instanceType","codeSystem","id"
"75f5cf91-4bbf-4994-abe7-53f7f3d59999","2023-12-15","C98388","Interventional Study","Code","http://www.cdisc.org","Code_1"
"26cb5a96-ca8d-4f18-b1e9-e02dcc774d9f","2023-12-15","C15601","Phase II Trial","Code","http://www.cdisc.org","Code_2"
"ba3e821e-fcc8-43aa-a83a-37ff7f138525","2023-12-15","C132352","Sponsor Approval Date","Code","http://www.cdisc.org","Code_9"
"4e213764-d200-42bc-b680-fbb9335b6dab","2023-12-15","C68846","Global","Code","http://www.cdisc.org","Code_10"
"dffa689c-abd5-4726-8b2c-b2363b71d94f","2023-12-15","C99904x3","IRB/IEC Feedback","Code","http://www.cdisc.org","Code_72"
"621dc612-0ce1-46e6-a068-2e95883292eb","2023-12-15","C17649","Other","Code","http://www.cdisc.org","Code_73"
"5371541e-6549-4a5a-8494-e069b69811b1","2023-12-15","C41129","Region","Code","http://www.cdisc.org","Code_75"
"37abf435-097b-40c5-aacc-a61cf7c7bca8","2020-08","150","Europe","Code","ISO 3166 1 alpha3","Code_74"
"0dd42948-a18b-4b23-b8dc-b32f0f09bf97","12","PHARMA","Eli Lilly","Code","SPONSOR","Code_4"
"bb2395d6-9b90-4d8c-b77c-e4220983640e","2023-12-15","C70793","Clinical Study Sponsor","Code","http://www.cdisc.org","Code_76"
"dd482b92-cced-4b49-8018-c9e386401a4a","2020-08","USA","United States of America","Code","ISO 3166 1 alpha3","Code_77"
"6585c857-b7e9-4ac4-adff-4d8a194e2c2e","2023-12-15","C93453","Study Registry","Code","http://www.cdisc.org","Code_78"
"13f4e59b-f92d-497d-a72f-443263f1a691","2020-08","USA","United States of America","Code","ISO 3166 1 alpha3","Code_79"
"28d6f499-3c68-412c-bde4-a929b067dbb2","2023-12-15","C49656","Treatment Study","Code","http://www.cdisc.org","Code_137"
"87f666a9-9af1-4961-9632-b3a615a4b473","2023-12-15","C49666","Efficacy Study","Code","http://www.cdisc.org","Code_138"
"23eb410d-6084-4e27-bcb0-46a5960deb43","2023-12-15","C49667","Safety Study","Code","http://www.cdisc.org","Code_139"
"e9304200-a5ca-4098-a3fb-d802c8a36d48","2023-12-15","C49663","Pharmacokinetic Study","Code","http://www.cdisc.org","Code_140"
"08b4aed2-5452-4d07-9520-757a60b0699d","12","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code","SPONSOR","Code_134"
"afbfa43e-35e4-4309-9d65-89f5e53bdfd0","January 31, 2018","26929004","Alzheimer's disease","Code","SNOMED","Code_135"
"963cd7b1-3283-4e29-a7c7-cdd1672bd02f","2023-12-15","C99907x1","EXTENSION","Code","http://www.cdisc.org","Code_143"
"68720c07-273f-469f-bfdf-9cde8cb065d2","2023-12-15","C98704","ADAPTIVE","Code","http://www.cdisc.org","Code_144"
"38c89e54-673f-43b3-ab55-2cc0aff5d868","2023-12-15","C82639","Parallel Study","Code","http://www.cdisc.org","Code_141"
"57d03f13-23fe-40e0-bb53-e6f5305f0032","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_83"
"b98314ef-6961-4659-b7ee-fc56816ce305","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_84"
"e1affd09-67ae-461e-aeab-c839c1f6fb15","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_85"
"2650c5f6-c9a0-421d-801d-c6c4d11a8487","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_86"
"670604af-42fb-4f7c-94ab-d9567f08b8f1","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_87"
"83d1ed11-0cbf-4aff-8295-3786a4f7a54b","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_88"
"1f89b93d-9746-4412-9287-f0e13a9041dc","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_89"
"c32e8633-d29c-4ebd-9f63-dd7ced5888bd","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_90"
"e9a039c7-32f9-4ccd-9e1c-242835dab4ac","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_91"
"c22234da-d8bb-45b6-bae5-4d0a676e3ad0","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_92"
"3010d972-f4a6-400e-81fd-ef315e2aa2bd","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_93"
"8fc910bd-2bb8-4749-b349-486d2bb709c5","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_94"
"c1fc48e3-6409-4863-97e0-b1787e97b13c","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_95"
"ce876ea7-fd88-4cc3-ad82-62d5147ec36d","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_96"
"ca1641f4-db80-485f-8403-ab7d1d0101b3","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_97"
"697ab9e7-43dc-4210-a81c-4e283c6ad263","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_98"
"ce5446cd-b85f-43a9-895d-89f37d00c078","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_99"
"0ecb0d39-2955-4cee-bafc-3bc21dbd14a7","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_100"
"7c680f0b-d9df-4bd6-ae11-c0d3c4cbcbe0","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_101"
"7aa797c7-46d2-4f66-86f7-7a0b0d67a785","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_102"
"713308a3-892a-4d36-b3b5-991e2a8b7d0b","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_103"
"0aae3717-e73f-4904-8029-d2fe8993f665","2023-12-15","C171537","Telephone Call","Code","http://www.cdisc.org","Code_104"
"f216a55d-3e78-4422-a33f-de23455f4dc1","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_105"
"aee63278-92bc-4c4d-9aec-8e912ad7cda8","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_106"
"55eed852-8957-4851-be8c-0a0721162e09","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_107"
"994dc611-5736-4994-802b-0e21fc610b4a","2023-12-15","C171537","Telephone Call","Code","http://www.cdisc.org","Code_108"
"df73feb0-701c-42fe-bb22-6ef5ea7785f5","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_109"
"695caad5-9fb9-4aa5-a45a-c4194e3eaec3","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_110"
"872c7dfe-624d-45e6-b5a7-0d89cbc1b14a","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_111"
"67ee0df5-cf06-4577-82b4-b10bc0c0de49","2023-12-15","C171537","Telephone Call","Code","http://www.cdisc.org","Code_112"
"a1875449-0695-4ea1-97d7-ef65d576ad28","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_113"
"8d9d49e0-f968-4377-8825-eeedbe015b1c","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_114"
"9a9d927c-8df9-4526-983d-74a9bcf550a6","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_115"
"7705d01e-aa27-46d0-8d23-f74167fa8ebc","2023-12-15","C171537","Telephone Call","Code","http://www.cdisc.org","Code_116"
"02d769c1-98ca-41ae-805f-b85ee26cc208","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_117"
"fa8c588e-367f-47bf-8317-39d84f3cef3d","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_118"
"d7d05bef-b853-4aec-8c1d-0db52a6ff9ad","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_119"
"28a20ddf-1e92-42c1-8ed5-a89df725bd28","2023-12-15","C25716","Visit","Code","http://www.cdisc.org","Code_120"
"62e96973-62b1-43f8-9766-3a4836eefd06","2023-12-15","C51282","Clinic","Code","http://www.cdisc.org","Code_121"
"d0310e97-562e-470d-99a6-a3374d6a0fce","2023-12-15","C175574","In Person","Code","http://www.cdisc.org","Code_122"
"6e3920c0-aeeb-43f2-997b-ac2ade58ba57","January 31, 2018","383371000119108","CT of head without contrast","Code","SNOMED","Code_80"
"7e2c8eb1-8001-4c3f-824d-5cc4ff13a0fd","12","123","Subject Supine","Code","SPONSOR","Code_81"
"dee4276d-4ec7-4d16-a464-bf3b0cda779b","12","124","Subject Standing","Code","SPONSOR","Code_82"
"4ea6d4e7-6e6f-4794-805d-382474d610ab","2023-12-15","C82977","Dictionary-derived Term","Code","http://www.cdisc.org","Code_429"
"8929b356-134e-4ac7-a176-f66e8f775d0b","2023-12-15","C82571","Reported Event Term","Code","http://www.cdisc.org","Code_430"
"403710ce-f3d3-423f-934d-5b86344cb62e","2023-12-15","C82517","Observation Start Date Time","Code","http://www.cdisc.org","Code_431"
"553ec83d-5258-44c6-b388-85d92fbe6c44","2023-12-15","C16735","Informed Consent","Code","http://www.cdisc.org","Code_432"
"bbcbff6e-a0c0-4dd6-9c8f-ea8690a58e21","2023-12-15","C20197","Male","Code","http://www.cdisc.org","Code_433"
"cefb8551-196d-42c2-afcb-bfe4627591f7","2023-12-15","C16576","Female","Code","http://www.cdisc.org","Code_434"
"56fd695d-01fb-4cfe-8d36-1d147c14f5e8","2023-12-15","C28421","Sex","Code","http://www.cdisc.org","Code_435"
"a1d74dcb-49e9-4fbb-9de6-913c828c81cb","2023-12-15","C28421","Sex","Code","http://www.cdisc.org","Code_436"
"d071209e-8c46-493a-95aa-7ab59f8c6759","2023-12-15","C17049","Race","Code","http://www.cdisc.org","Code_437"
"6dbcf380-488d-42db-8275-8a84f0cc41b6","2023-12-15","C17049","Race","Code","http://www.cdisc.org","Code_438"
"52811136-cb2a-4b1f-bd37-97dcf78d0607","2023-12-15","C174446","TEMP","Code","http://www.cdisc.org","Code_439"
"7fc9fcee-11ba-4fde-9674-498eb1fd48f8","2023-12-15","C77140","Clinical Test Result","Code","http://www.cdisc.org","Code_440"
"353b600b-9338-44c5-a8d1-2ae3f921b467","2023-12-15","C42559","Degree Celsius","Code","http://www.cdisc.org","Code_441"
"7835ff24-f912-41a1-8986-44f490c9d0be","2023-12-15","C44277","Degree Fahrenheit","Code","http://www.cdisc.org","Code_442"
"c12cc546-483e-4995-804e-259a8b044b3b","2023-12-15","C42537","Kelvin","Code","http://www.cdisc.org","Code_443"
"4d603d88-8cc8-4db9-8beb-bfccd4b4a3d2","2023-12-15","C44276","Unit of Temperature","Code","http://www.cdisc.org","Code_444"
"efeb2ea4-24ca-41e3-a73a-316cea2a94de","2023-12-15","C12674","Axilla","Code","http://www.cdisc.org","Code_445"
"2f931097-a9be-4f48-b2f7-702c4b8f5e64","2023-12-15","C12394","Ear","Code","http://www.cdisc.org","Code_446"
"170ac6c6-c913-454f-85cf-ecc164b853bd","2023-12-15","C89803","Forehead","Code","http://www.cdisc.org","Code_447"
"163cd8be-86b9-4f2c-ab4f-2e7cc7489081","2023-12-15","C12421","Oral Cavity","Code","http://www.cdisc.org","Code_448"
"ca2fe29a-bbc7-44cd-a85f-e6e95210de07","2023-12-15","C12390","Rectum","Code","http://www.cdisc.org","Code_449"
"3093515a-c3a0-497c-a0fa-e7931841da17","2023-12-15","C13717","Anatomic Site","Code","http://www.cdisc.org","Code_450"
"41966f6d-5a48-4a2e-a5a1-89a5ca2130b9","2023-12-15","C174446","TEMP","Code","http://www.cdisc.org","Code_451"
"2930bc00-b4d9-4455-8182-b2b462d778a8","2023-12-15","C25208","WEIGHT","Code","http://www.cdisc.org","Code_452"
"c93b4126-936a-4d76-9672-cc3ea6bd2f2b","2023-12-15","C77140","Clinical Test Result","Code","http://www.cdisc.org","Code_453"
"27af7f44-1fb9-434b-9ee9-596f8254f3a8","2023-12-15","C48531","Pound","Code","http://www.cdisc.org","Code_454"
