"uuid:ID","label","purpose","description","instanceType","name","text","id"
"5da87250-5ae8-44f8-95f3-d42700091053","","","","Endpoint","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1"
"f1d11d11-8839-42a9-9dbb-3538b4e6c6b9","","","","Endpoint","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2"
"f947b902-9168-4545-a961-eeb2de43bae7","","","","Endpoint","END3","Adverse events","Endpoint_3"
"47ea4ed9-1e36-479b-a4fb-39be7108bff8","","","","Endpoint","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4"
"aa233a1a-6c8f-443f-8be9-44979de23956","","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","Laboratory evaluations (Change from Baseline)","Endpoint_5"
"4f51429e-4686-47f6-8bfa-083ecf291ec7","","","","Endpoint","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6"
"6438aa14-1bee-4ecd-8e28-33ffdb3d0e28","","","","Endpoint","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7"
"ec47ee6a-8b97-41fb-8f17-838c16a488b0","","","","Endpoint","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8"
"933765a3-b217-4126-a86e-f6709fe61ea9","","","","Endpoint","END9","*** To be determined from protocol ***","Endpoint_9"
"81fd8596-62e4-4a77-81c8-3da1e8ed8c45","","","","Endpoint","END10","*** To be determined from protocol ***","Endpoint_10"
"b811b352-c3b4-42c8-992d-8e321fd9c5b4","","","","Endpoint","END11","*** To be determined from protocol ***","Endpoint_11"
