"window","id","description","windowUpper","windowLower","instanceType","value","name","label","uuid:ID"
"","Timing_1","Screening timing","","","Timing","P2W","TIM1","Screening","d89c6a1c-d674-42dc-9367-a94d72888e27"
"-4..0 hours","Timing_2","Pre dose timing","PT0H","PT4H","Timing","P2D","TIM2","Pre dose","a3646e20-af70-4163-a02e-b95fa1d27e24"
"","Timing_3","Dosing anchor","","","Timing","P1D","TIM3","Dosing","fe28263d-192d-4acd-a0bd-f325ab57f355"
"-3..3 days","Timing_4","Week 2 timing","P3D","P3D","Timing","P2W","TIM4","Week 2","587fcb46-be9e-4c7b-b67c-18cfbb379b0d"
"-3..3 days","Timing_5","Week 4 timing","P3D","P3D","Timing","P4W","TIM5","Week 4","cacfb441-c3ae-4a88-829c-bfcc407e082f"
"-3..3 days","Timing_6","Week 6 timing","P3D","P3D","Timing","P6W","TIM6","Week 6","b019f57a-ad8e-4740-9ec1-a0d8afa5eae0"
"-3..3 days","Timing_7","Week 8 timing","P3D","P3D","Timing","P8W","TIM7","Week 8","99920b85-41d3-4765-b58f-8e0623b36cc3"
"-4..4 days","Timing_9","Week 12 timing","P4D","P4D","Timing","P12W","TIM9","Week 12","35170ed7-8b85-4125-91c5-fbbfa3d8722c"
"-4..4 days","Timing_11","Week 16 timing","P4D","P4D","Timing","P16W","TIM11","Week 16","83900450-abac-46c9-9e64-09ad5756e859"
"-4..4 days","Timing_13","Week 20 timing","P4D","P4D","Timing","P20W","TIM13","Week 20","60218d95-c259-4e02-a83f-02b8a0ea8138"
"-4..4 days","Timing_15","Week 24 timing","P4D","P4D","Timing","P24W","TIM15","Week 24","9b54510b-dc09-41fd-9d4c-e0a39b7bae93"
"-3..3 days","Timing_16","Week 26 timing","P3D","P3D","Timing","P26W","TIM16","Week 26","e64f4da8-a4b0-4608-bebb-e70ec69ed11b"
"","Timing_8","Week 8 at home timing","","","Timing","P2W","TIM8","Week 8 Home","4d68e45c-e799-4b9d-8073-4773fd2ed530"
"","Timing_10","Week 12 at home timing","","","Timing","P2W","TIM10","Week 12 Home","56010e17-714d-4570-9e5f-d9105d78c274"
"","Timing_12","Week 16 at home timing","","","Timing","P2W","TIM12","Week 16 Home","b2646132-4d26-4e5b-ac8d-f93b945aa310"
"","Timing_14","Week 20 at home timing","","","Timing","P2W","TIM14","Week 20 Home","ec9eee2e-0f26-41fa-8881-9bf2968fb9e7"
"","Timing_17","Adverse Event","","","Timing","P1D","TIM17","Adverse Event","e21a7806-eafd-47ff-95ec-c6c156501982"
"","Timing_18","Early Termination","","","Timing","P1D","TIM18","Early Termination","82197c9b-49df-4a9d-bb06-a4850395bf43"
"","Timing_19","Supine","","","Timing","PT0M","TIM19","Supine","f1ffccbb-fcfb-463f-92c4-d303272c314d"
"","Timing_20","VS while supine","","","Timing","PT5M","TIM20","VS while supine","60d91b4a-1b44-4c41-b70b-6162ddbd09bf"
"","Timing_21","Standing","","","Timing","PT0M","TIM21","Standing","674676cb-a6d1-49b2-8041-f4ab98d87c00"
"","Timing_22","VS while standing","","","Timing","PT1M","TIM22","VS while standing","11cded04-272c-4fa5-9310-bb6954b2de83"
"","Timing_23","Standing","","","Timing","PT0M","TIM23","Standing","dd7bf51c-b41a-4e4b-b6f6-546a130e42cc"
"","Timing_24","VS while standing","","","Timing","PT2M","TIM24","VS while standing","540e7ce0-76bf-4932-aaa2-9e1a104dbc33"
