"isRequired","isEnabled","id","instanceType","datatype","name","label","uuid:ID"
"True","True","BiomedicalConceptProperty_98","BiomedicalConceptProperty","decimal","Vital Signs Result","Vital Signs Result","a6f1e993-ed6a-4345-8ebb-2a68573bfc32"
"True","True","BiomedicalConceptProperty_99","BiomedicalConceptProperty","string","Unit of Temperature","Unit of Temperature","120624cf-af3c-4d2d-947a-b03e32b039d4"
"True","True","BiomedicalConceptProperty_100","BiomedicalConceptProperty","string","Vital Signs Location","Vital Signs Location","dfe5ac7b-feca-4334-9120-64f41fc43af8"
"True","True","BiomedicalConceptProperty_101","BiomedicalConceptProperty","decimal","Vital Signs Result","Vital Signs Result","b98aab1e-7074-4a9c-b3bf-1f5192b8f4b5"
"True","True","BiomedicalConceptProperty_102","BiomedicalConceptProperty","string","Unit of Weight","Unit of Weight","d5a07a85-ac49-4dfd-8ad6-cae992ad8a11"
"True","True","BiomedicalConceptProperty_103","BiomedicalConceptProperty","decimal","Vital Signs Result","Vital Signs Result","c3814206-100c-4889-bec9-c55d19b6979d"
"True","True","BiomedicalConceptProperty_104","BiomedicalConceptProperty","string","Unit of Height","Unit of Height","72f55931-0473-4c28-82d8-e91b684c55e5"
"True","True","BiomedicalConceptProperty_105","BiomedicalConceptProperty","decimal","Laboratory Test Result","Laboratory Test Result","5a9aa538-bd3e-4a42-b0f2-05ca9c74a20a"
"True","True","BiomedicalConceptProperty_106","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","c53bdc5e-8c59-4aa1-a0f9-45a7f9731873"
"True","True","BiomedicalConceptProperty_107","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","67addefc-1bd2-4d17-a413-365ea3ba181d"
"True","True","BiomedicalConceptProperty_108","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","61f2e5d1-92db-4ff4-851b-08f48972686b"
"True","True","BiomedicalConceptProperty_109","BiomedicalConceptProperty","string","Laboratory Test Result","Laboratory Test Result","195fbbdf-97f1-470a-ac69-763e933fa53d"
"True","True","BiomedicalConceptProperty_110","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","eb87870b-36eb-4def-bf3a-6f1ccde66af9"
"True","True","BiomedicalConceptProperty_111","BiomedicalConceptProperty","string","Unit of Concentration","Unit of Concentration","cd8ff6ae-0b6a-47ad-ac91-5d43a04cf2f3"
"True","True","BiomedicalConceptProperty_112","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","dcdfd629-0514-48f6-b0db-41cd48c86f27"
"True","True","BiomedicalConceptProperty_113","BiomedicalConceptProperty","decimal","Laboratory Test Result","Laboratory Test Result","6c56e432-219e-46dc-b6b6-8cb38a0e79bf"
"True","True","BiomedicalConceptProperty_114","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","301e468e-9b78-4fbf-9555-1a7fd2cdd543"
"True","True","BiomedicalConceptProperty_115","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","8c6d8e6e-2c16-4079-9d9b-a7819208c6b4"
"True","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","cb601efd-7eb8-410a-9e00-f4708fdf0d82"
"True","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty","decimal","Laboratory Test Result","Laboratory Test Result","31b76c99-e26f-4cae-8f79-bcf2c7041b0d"
"True","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","0102cd49-8411-46cc-a167-4aeca483ceab"
"True","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","873a67ac-0994-4064-ac05-96410527e350"
"True","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","1992581f-f93d-4b87-8163-4d169eacf462"
"True","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty","string","Laboratory Test Result","Laboratory Test Result","1c0d512d-bf46-411e-b7d7-5423e39e324d"
"True","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","4a24ca26-18a3-4de5-8584-edf47debadd1"
"True","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty","string","Unit of Concentration","Unit of Concentration","bf130436-f71c-45f1-8b50-226d13528171"
"True","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","9569f32c-c741-4db6-a1a5-57d03518d019"
