"reference","id","instanceType","synonyms","name","label","uuid:ID"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","BiomedicalConcept","['Temperature']","Body Temperature","Body Temperature","4ceff6dd-e1e2-4111-b1c0-9199089ddd2c"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","BiomedicalConcept","['Weight']","Body Weight","Body Weight","bd1aaf5a-616d-4f80-989b-acf41deef9f0"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","BiomedicalConcept","['Height']","Body Height","Body Height","2e910b4b-cb3e-4e5c-b341-2bd916822316"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","BiomedicalConcept","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","83afbae5-9ba2-4332-b8d5-8e0f0f32670c"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","BiomedicalConcept","['Albumin']","Albumin Measurement","Albumin Measurement","d71b36a9-7f18-4305-9b5f-a5b4471b38fa"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","BiomedicalConcept","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","eb28650d-8ff5-414b-ae0e-35234bc91e4b"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","BiomedicalConcept","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","4931d9db-3045-40bb-9fd5-f97743c8b907"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","BiomedicalConcept","['Creatinine']","Creatinine Measurement","Creatinine Measurement","72879b01-f0b8-4b14-9c56-352c37cb1ee4"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","BiomedicalConcept","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","e718c4b3-e539-40a0-901e-c4f6177a41c1"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","BiomedicalConcept","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","58b5beb2-c414-44d3-9c8c-97af37ba2527"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","BiomedicalConcept","['Adverse Event Reported Term', 'AETERM']","Adverse Event","Adverse Event","b1aaa0c7-2306-4243-95a7-dc213220c0b6"
